,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Roffle,0,0,1,3,0,0,0,0,0,1,1,3,0,2,0,0,2,1,1
2,3,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
3,4,27,30,P2 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,4,2,1
4,5,27,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1
5,6,20,30,P2 Roffle,0,0,1,2,0,0,0,3,1,1,1,5,0,3,0,0,7,3,1
6,7,20,30,P1 Viper,0,0,1,3,0,0,0,0,0,3,0,3,0,0,0,0,5,4,1
7,8,17,28,P2 Roffle,0,0,2,2,0,0,0,6,1,2,4,8,0,3,1,0,11,4,1
8,9,17,20,P1 Viper,0,0,1,1,0,0,0,2,0,1,1,3,0,0,0,4,6,1,1
9,10,3,20,P2 Roffle,0,0,1,2,0,0,0,6,1,0,1,8,0,5,1,0,16,5,1
10,11,3,0,P1 Viper,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,6,6,0,1
11,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
12,2,30,30,P2 Roffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
13,3,30,30,P1 Viper,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,2,2,2
14,4,25,30,P2 Roffle,0,0,1,2,0,0,0,2,0,1,1,4,0,2,0,0,4,2,2
15,5,25,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,4,2,2
16,6,23,30,P2 Roffle,0,0,1,2,0,0,0,3,1,2,2,5,0,2,0,0,7,3,2
17,7,23,30,P1 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,8,4,2
18,8,23,30,P2 Roffle,0,0,1,1,0,0,0,3,0,1,3,4,0,2,0,2,9,2,2
19,9,23,30,P1 Viper,0,0,1,2,0,0,0,1,1,2,2,3,0,2,0,0,13,5,2
20,10,20,25,P2 Roffle,0,0,2,2,0,0,0,2,0,2,0,4,0,2,1,0,14,5,2
21,11,20,12,P1 Viper,0,0,1,2,0,0,0,2,1,0,1,4,0,4,0,1,18,5,2
22,12,9,12,P2 Roffle,0,0,1,0,0,0,0,5,2,0,4,5,0,2,1,6,14,0,2
23,13,9,-1,P1 Viper,0,0,1,0,0,0,0,3,0,0,0,3,0,4,0,7,18,0,2
24,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
