,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Viper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,30,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,1
3,4,30,30,P2 Viper,0,0,4,2,0,0,0,2,1,1,2,4,0,2,0,0,4,2,1
4,5,30,30,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,1
5,6,29,25,P2 Viper,0,0,1,3,0,0,0,3,1,3,2,6,0,2,0,0,7,3,1
6,7,29,25,P1 Viper,0,0,1,2,0,0,0,2,2,2,4,4,0,0,0,1,8,3,1
7,8,19,25,P2 Viper,0,0,1,2,0,0,0,3,0,2,1,5,0,2,0,0,11,4,1
8,9,19,11,P1 Viper,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,2,11,3,1
9,10,9,11,P2 Viper,0,0,1,1,0,0,0,5,2,1,3,6,0,2,0,2,14,3,1
10,11,9,8,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,5,12,1,1
11,12,-2,8,P2 Viper,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,6,14,0,1
12,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
13,2,30,30,P2 Viper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
14,3,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
15,4,30,27,P2 Viper,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,1,3,1,2
16,5,30,27,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,2
17,6,29,27,P2 Viper,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,2,4,1,2
18,7,29,26,P1 Viper,0,0,4,3,0,0,0,2,1,2,2,5,0,1,0,0,9,4,2
19,8,29,26,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,8,4,2
20,9,29,20,P1 Viper,0,0,1,4,0,0,0,3,0,3,4,7,0,2,0,-2,16,7,2
21,10,29,20,P2 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,13,5,2
22,11,29,10,P1 Viper,0,0,1,0,0,0,0,7,3,0,6,7,0,2,0,6,16,0,2
23,12,29,10,P2 Viper,0,0,4,3,0,0,0,1,0,2,1,4,0,3,0,0,19,6,2
24,13,29,0,P1 Viper,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,7,16,0,2
25,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
26,2,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
27,3,30,29,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
28,4,30,29,P2 Viper,0,0,1,3,0,0,0,1,1,2,2,4,0,1,0,0,4,2,3
29,5,30,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,3
30,6,30,28,P2 Viper,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,7,3,3
31,7,30,21,P1 Viper,0,0,1,3,0,0,0,3,1,2,1,6,0,1,0,0,9,4,3
32,8,20,21,P2 Viper,0,0,1,2,0,0,0,5,0,2,1,7,0,1,0,0,11,4,3
33,9,20,13,P1 Viper,0,0,1,2,0,0,0,3,1,2,3,5,0,1,0,3,11,2,3
34,10,4,13,P2 Viper,0,0,1,2,0,0,0,6,1,2,2,8,0,1,0,0,16,5,3
35,11,4,-3,P1 Viper,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,6,11,0,3
