,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,29,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,26,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,1,3,1,1
4,5,30,21,P1 Viper,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,1,5,2,1
5,6,30,21,P2 Wabeka,0,0,1,1,0,0,0,2,1,1,3,3,0,1,0,0,6,3,1
6,7,30,21,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,8,3,1
7,8,30,21,P2 Wabeka,0,0,1,1,0,0,0,2,1,0,2,3,0,2,0,0,10,4,1
8,9,30,21,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,11,3,1
9,10,28,21,P2 Wabeka,0,0,1,2,0,0,0,5,2,2,5,7,0,2,0,0,15,5,1
10,11,28,21,P1 Viper,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,17,6,1
