,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,1
3,4,28,24,P2 Pizza,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,0,4,2,1
4,5,28,24,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,4,2,1
5,6,26,24,P2 Pizza,0,0,1,1,0,0,0,4,0,1,2,5,0,1,0,0,7,3,1
6,7,26,21,P1 Wabeka,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,0,8,4,1
7,8,17,19,P2 Pizza,0,0,2,3,0,0,0,5,1,3,5,8,0,1,1,0,11,4,1
8,9,17,19,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,13,5,1
9,10,0,19,P2 Pizza,0,0,1,0,0,0,0,2,0,0,0,2,0,1,1,5,11,0,1
10,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
11,2,30,27,P2 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
12,3,30,27,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
13,4,29,27,P2 Pizza,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,0,4,2,2
14,5,29,27,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2
15,6,25,24,P2 Pizza,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,2,5,1,2
16,7,25,24,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,6,4,2
17,8,23,24,P2 Pizza,0,0,1,3,0,0,0,1,1,2,3,4,0,2,0,0,9,4,2
18,9,26,20,P1 Wabeka,3,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,11,5,2
19,10,11,20,P2 Pizza,0,0,1,2,0,0,0,7,2,2,5,9,0,2,0,2,12,3,2
20,11,11,20,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,3,14,3,2
21,12,-5,20,P2 Pizza,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,6,12,0,2
22,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
23,2,30,30,P2 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,3
24,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
25,4,30,30,P2 Pizza,0,0,1,2,0,0,0,2,1,2,2,4,0,1,0,0,4,2,3
26,5,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3
27,6,24,30,P2 Pizza,0,0,1,2,0,0,0,4,0,2,0,6,0,1,0,0,7,3,3
28,7,24,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,6,4,3
29,8,21,27,P2 Pizza,0,0,4,3,0,0,0,6,3,2,7,9,0,2,0,0,11,4,3
30,9,21,25,P1 Wabeka,0,0,1,2,0,0,0,0,1,1,1,2,0,2,0,0,11,5,3
31,10,8,23,P2 Pizza,0,0,1,1,0,0,0,6,0,1,2,7,0,2,0,2,14,3,3
32,11,8,23,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,0,17,6,3
33,12,0,23,P2 Pizza,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,6,14,0,3
34,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
35,2,30,30,P2 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,4
36,3,30,30,P1 Wabeka,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,2,1,0,4
37,4,28,30,P2 Pizza,0,0,4,2,0,0,0,2,0,1,0,4,0,2,0,0,4,2,4
38,5,28,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,3,4
39,6,23,27,P2 Pizza,0,0,1,2,0,0,0,3,0,2,0,5,0,2,0,0,7,3,4
40,7,23,27,P1 Wabeka,0,0,4,3,0,0,0,1,1,1,2,4,0,2,0,0,8,4,4
41,8,18,27,P2 Pizza,0,0,1,1,0,0,0,4,1,0,4,5,0,3,0,0,11,4,4
42,9,18,27,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,1,12,4,4
43,10,13,27,P2 Pizza,0,0,1,2,0,0,0,7,2,2,6,9,0,3,0,1,15,4,4
44,11,13,27,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,0,18,6,4
45,12,-2,27,P2 Pizza,0,0,1,0,0,0,0,4,0,0,0,4,0,3,0,6,15,0,4
46,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
47,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
48,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,5
49,4,30,25,P2 Pizza,0,0,1,2,0,0,0,1,1,2,2,3,0,1,0,0,4,2,5
50,5,30,25,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5
51,6,28,25,P2 Pizza,0,0,2,1,0,0,0,2,0,1,0,3,0,1,1,0,7,3,5
52,7,28,25,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,6,4,5
53,8,28,25,P2 Pizza,0,0,1,2,0,0,0,4,1,2,5,6,0,1,1,0,11,4,5
54,9,28,25,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,11,5,5
55,10,23,25,P2 Pizza,0,0,1,2,0,0,0,5,1,1,2,7,0,2,1,0,16,5,5
56,11,23,25,P1 Wabeka,0,0,1,4,0,0,0,0,1,3,1,4,0,2,0,1,16,5,5
57,12,17,25,P2 Pizza,0,0,1,1,0,0,0,8,1,1,6,9,0,2,1,5,17,1,5
58,13,17,25,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,2,21,5,5
59,14,-1,25,P2 Pizza,0,0,1,2,0,0,0,7,1,1,2,9,0,3,1,5,19,2,5
60,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
61,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,6
62,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,6
63,4,30,30,P2 Pizza,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,1,3,1,6
64,5,30,30,P1 Wabeka,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,5,3,6
65,6,28,30,P2 Pizza,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,6,3,6
66,7,28,26,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,9,4,6
67,8,22,21,P2 Pizza,0,0,1,3,0,0,0,4,3,2,4,7,0,3,0,0,10,4,6
68,9,22,21,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,14,5,6
69,10,14,21,P2 Pizza,0,0,1,2,0,0,0,7,2,2,3,9,0,3,0,0,15,5,6
70,11,14,21,P1 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,3,0,0,20,6,6
71,12,-1,21,P2 Pizza,0,0,1,1,0,0,0,4,1,1,2,5,0,3,0,5,16,1,6
72,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
73,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,7
74,3,30,28,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,7
75,4,30,25,P2 Pizza,0,0,1,2,0,0,0,1,0,2,2,3,0,1,0,0,4,2,7
76,5,30,25,P1 Wabeka,0,0,4,2,0,0,0,0,0,1,0,2,0,2,0,0,6,3,7
77,6,23,25,P2 Pizza,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,1,6,2,7
