,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,26,27,P2 Solegit,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,1
2,3,26,26,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1
3,4,21,26,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,3,1,1
4,5,21,23,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,4,3,1
5,6,17,23,P2 Solegit,0,0,4,2,0,0,0,2,0,1,0,4,0,3,0,0,6,3,1
6,7,17,20,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,8,4,1
7,8,12,20,P2 Solegit,0,0,1,1,0,0,0,3,0,0,4,4,0,4,0,0,10,4,1
8,9,18,14,P1 Wabeka,6,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,13,5,1
9,10,28,12,P2 Solegit,0,0,2,2,0,0,0,2,2,2,2,4,0,4,1,1,14,4,1
10,11,30,4,P1 Wabeka,2,0,1,3,0,0,0,1,0,3,0,4,0,1,0,0,19,6,1
11,12,23,4,P2 Solegit,0,0,1,2,0,0,0,7,3,2,6,9,0,4,1,2,18,4,1
12,13,23,0,P1 Wabeka,0,0,1,0,0,0,0,4,1,0,2,4,0,1,0,7,19,0,1
13,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
14,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
15,3,30,30,P1 Wabeka,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,2,1,0,2
16,4,29,30,P2 Solegit,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,4,2,2
17,5,29,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2
18,6,25,25,P2 Solegit,0,0,1,3,0,0,0,4,0,3,0,7,0,1,0,0,7,3,2
19,7,25,25,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,5,4,2
20,8,19,25,P2 Solegit,0,0,2,2,0,0,0,6,2,1,6,8,0,2,1,0,11,4,2
21,9,19,25,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,10,5,2
22,10,8,25,P2 Solegit,0,0,1,1,0,0,0,7,2,1,3,8,0,2,1,3,13,2,2
23,11,11,25,P1 Wabeka,3,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,15,5,2
24,12,1,25,P2 Solegit,0,0,2,2,0,0,0,6,1,2,2,8,0,2,2,0,19,6,2
25,13,1,25,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,20,5,2
26,14,0,25,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,2,7,19,0,2
27,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
28,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
29,3,30,30,P1 Wabeka,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,2,2,3
30,4,30,30,P2 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,3
31,5,30,27,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,3,1,3
32,6,25,22,P2 Solegit,0,0,1,2,0,0,0,3,1,2,3,5,0,1,0,0,7,3,3
33,7,25,22,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,6,3,3
34,8,19,22,P2 Solegit,0,0,1,1,0,0,0,5,1,0,2,6,0,2,0,0,11,4,3
35,9,19,22,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,11,5,3
36,10,10,22,P2 Solegit,0,0,1,2,0,0,0,7,2,2,2,9,0,2,0,0,16,5,3
37,11,10,20,P1 Wabeka,0,0,1,3,0,0,0,1,2,1,2,4,0,3,0,2,15,4,3
38,12,0,20,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,6,16,0,3
39,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
40,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,4
41,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,3,2,4
42,4,30,30,P2 Solegit,0,0,1,1,0,0,0,2,2,1,4,3,0,1,0,0,4,2,4
43,5,30,30,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,6,3,4
44,6,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,1,6,2,4
45,7,30,25,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,1,3,0,0,0,3,7,1,4
46,8,28,25,P2 Solegit,0,0,1,1,0,0,0,3,1,0,2,4,0,2,0,0,10,4,4
47,9,30,22,P1 Wabeka,2,0,1,1,0,0,0,3,0,1,2,4,0,0,0,0,12,5,4
48,10,27,22,P2 Solegit,0,0,1,3,0,0,0,6,2,3,5,9,0,2,0,0,15,5,4
49,11,27,22,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,17,5,4
50,12,22,22,P2 Solegit,0,0,1,1,0,0,0,6,0,1,1,7,0,2,0,5,16,1,4
51,13,22,22,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,24,7,4
52,14,18,20,P2 Solegit,0,0,2,1,0,0,0,6,1,1,3,7,0,2,1,4,19,3,4
53,15,18,20,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,5,27,3,4
54,16,15,20,P2 Solegit,0,0,1,1,0,0,0,7,1,1,4,8,0,2,1,3,24,5,4
55,17,15,20,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,27,0,4
56,18,0,20,P2 Solegit,0,0,1,1,0,0,0,5,1,0,1,6,0,3,1,8,25,1,4
57,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
