,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,29,28,P2 Wabeka,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,1
4,5,29,24,P1 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,3,3,0,1
5,6,29,24,P2 Wabeka,0,0,1,0,0,0,0,2,1,0,2,2,0,1,0,3,4,0,1
6,7,29,23,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,7,4,1
7,8,29,21,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,2,3,0,1,0,2,6,2,1
8,9,29,15,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,12,5,1
9,10,29,19,P2 Wabeka,6,0,1,1,0,0,0,3,0,1,3,4,0,1,0,0,11,5,1
10,11,30,19,P1 Wabeka,1,0,1,1,0,0,0,1,0,1,1,2,0,0,0,1,17,5,1
11,12,26,16,P2 Wabeka,0,0,1,2,0,0,0,3,1,2,2,5,0,1,0,0,17,6,1
12,13,26,15,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,1,2,0,0,0,1,23,6,1
13,14,20,13,P2 Wabeka,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,24,7,1
14,15,20,6,P1 Wabeka,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,0,31,8,1
15,16,1,4,P2 Wabeka,0,0,1,3,0,0,0,4,0,3,1,7,0,1,0,1,31,7,1
16,17,1,0,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,9,31,0,1
17,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
18,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
19,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
20,4,30,30,P2 Wabeka,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,1,3,1,2
21,5,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,2
22,6,29,30,P2 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,2
23,7,29,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,9,4,2
24,8,28,29,P2 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,0,7,4,2
25,9,28,20,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,14,5,2
26,10,25,19,P2 Wabeka,3,0,1,1,0,0,0,6,0,1,2,7,0,2,0,0,12,5,2
27,11,28,14,P1 Wabeka,3,0,1,1,0,0,0,3,0,1,1,4,0,0,0,1,19,5,2
28,12,26,14,P2 Wabeka,0,0,1,2,0,0,0,5,2,2,3,7,0,2,0,0,18,6,2
29,13,26,0,P1 Wabeka,0,0,1,3,0,0,0,2,1,2,1,5,0,1,0,0,26,7,2
30,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
31,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
32,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
33,4,30,30,P2 Wabeka,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,1,3,1,3
34,5,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,3
35,6,29,30,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,6,3,3
36,7,29,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,9,4,3
37,8,29,28,P2 Wabeka,0,0,1,1,0,0,0,2,1,0,3,3,0,2,0,0,10,4,3
38,9,29,19,P1 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,14,5,3
39,10,24,19,P2 Wabeka,0,0,1,2,0,0,0,6,1,2,3,8,0,2,0,1,14,4,3
40,11,24,12,P1 Wabeka,0,0,1,3,0,0,0,1,0,3,0,4,0,1,0,0,20,6,3
41,12,20,7,P2 Wabeka,0,0,1,2,0,0,0,7,2,2,7,9,0,2,0,0,20,6,3
42,13,20,0,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,7,20,0,3
43,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
44,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
45,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
46,4,30,30,P2 Wabeka,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,1,3,1,4
47,5,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4
48,6,27,30,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,4,1,4
49,7,27,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,6,4,4
50,8,26,30,P2 Wabeka,0,0,1,1,0,0,0,2,0,0,1,3,0,2,0,0,8,4,4
51,9,26,29,P1 Wabeka,0,0,1,1,0,0,0,3,2,1,3,4,0,1,0,0,11,5,4
52,10,21,29,P2 Wabeka,0,0,1,2,0,0,0,6,0,2,1,8,0,2,0,1,12,4,4
53,11,29,29,P1 Wabeka,8,0,1,1,0,0,0,1,0,1,1,2,0,1,0,1,16,5,4
54,12,27,29,P2 Wabeka,0,0,1,2,0,0,0,7,4,2,5,9,0,2,0,0,18,6,4
55,13,27,29,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,21,5,4
56,14,25,26,P2 Wabeka,0,0,1,3,0,0,0,4,2,3,3,7,0,2,0,0,25,7,4
