,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,28,30,P2 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,1
4,5,28,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,26,30,P2 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,2,0,1
6,7,26,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,23,30,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,6,4,1
8,9,26,30,P1 Krebs1996,3,0,1,1,0,0,0,2,0,1,2,3,0,0,0,0,9,5,1
9,10,23,27,P2 Krebs1996,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,1,10,4,1
10,11,23,23,P1 Krebs1996,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,15,6,1
11,12,23,23,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,15,5,1
12,13,21,23,P1 Krebs1996,0,0,2,2,0,0,0,3,2,2,3,5,0,0,1,0,22,7,1
13,14,21,23,P2 Krebs1996,0,0,1,2,0,0,0,0,1,1,2,2,0,3,0,1,21,6,1
14,15,27,14,P1 Krebs1996,8,0,2,1,0,0,0,2,0,1,0,3,0,0,2,1,29,7,1
15,16,27,14,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,1,28,7,1
16,17,24,-2,P1 Krebs1996,0,0,1,1,0,0,0,3,3,0,3,4,0,1,2,5,33,4,1
