,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1
5,6,30,30,P2 Orasha,0,0,7,3,0,0,0,0,0,1,0,3,0,2,0,0,4,3,1
6,7,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1
7,8,30,30,P2 Orasha,0,0,1,1,0,0,0,0,1,1,1,1,0,2,0,1,7,3,1
8,9,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,5,1
9,10,30,30,P2 Orasha,0,0,1,1,0,0,0,2,0,1,1,3,0,2,0,0,12,5,1
10,11,30,30,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,1,12,5,1
11,12,30,30,P2 Orasha,0,0,1,1,0,0,0,1,1,1,2,2,0,2,0,1,17,5,1
12,13,27,27,P1 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,19,7,1
13,14,20,30,P2 Orasha,6,0,3,2,0,0,0,1,1,0,2,3,0,4,0,0,24,7,1
14,15,20,30,P1 Krebs1996,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,27,8,1
15,16,20,30,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,0,32,8,1
16,17,21,30,P1 Krebs1996,3,0,2,1,0,1,0,1,0,0,2,2,0,2,1,1,35,8,1
17,18,21,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,9,32,0,1
18,19,21,22,P1 Krebs1996,0,0,1,2,0,0,0,1,0,2,0,3,0,2,1,1,44,9,1
19,20,21,20,P2 Orasha,0,0,2,2,0,0,0,0,0,1,5,2,0,5,1,0,42,10,1
20,21,24,20,P1 Krebs1996,3,0,1,2,0,0,0,0,0,2,0,2,0,2,1,2,52,8,1
21,22,20,20,P2 Orasha,0,0,1,2,0,0,0,1,0,2,0,3,0,5,1,-6,58,16,1
22,23,20,12,P1 Krebs1996,0,0,1,1,0,0,0,4,4,1,7,5,0,2,1,3,59,7,1
23,24,20,12,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,5,1,3,65,7,1
24,25,20,8,P1 Krebs1996,0,0,1,1,0,0,1,1,0,1,0,2,0,2,1,1,68,9,1
25,26,14,8,P2 Orasha,0,0,1,2,0,0,0,1,0,2,0,3,0,5,1,0,75,10,1
26,27,14,0,P1 Krebs1996,0,0,1,0,0,1,0,1,0,0,0,1,0,2,1,10,68,0,1
27,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
28,2,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
29,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
30,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,2
31,5,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2
