,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
4,5,30,30,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,4,2,1
5,6,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1
6,7,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,8,4,1
7,8,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,1
8,9,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,3,10,2,1
9,10,26,30,P2 Slage,0,0,1,2,0,0,0,1,0,0,1,3,0,2,0,0,12,5,1
10,11,23,27,P1 Krebs1996,0,0,1,1,0,0,0,1,1,0,1,2,0,1,0,2,14,4,1
11,12,19,27,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,2,16,4,1
12,13,19,27,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,3,18,4,1
13,14,11,27,P2 Slage,0,0,1,1,0,0,0,2,1,0,2,3,0,3,0,3,20,4,1
14,15,12,27,P1 Krebs1996,3,0,2,1,0,0,0,0,0,0,1,1,0,2,1,0,26,8,1
15,16,12,30,P2 Slage,3,0,6,2,0,0,0,0,0,1,0,2,0,4,0,4,24,4,1
16,17,12,30,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,0,35,9,1
17,18,12,30,P2 Slage,0,0,1,1,0,0,0,0,1,0,3,1,0,5,0,1,32,8,1
18,19,15,30,P1 Krebs1996,3,0,1,2,0,0,0,0,0,2,0,2,0,2,1,2,43,8,1
19,20,12,27,P2 Slage,0,0,4,3,0,0,0,0,0,1,1,3,0,7,0,0,42,10,1
20,21,16,23,P1 Krebs1996,4,0,1,2,0,0,0,1,1,1,2,3,0,3,1,4,49,6,1
21,22,16,26,P2 Slage,3,0,1,2,0,0,0,0,0,1,1,2,0,8,0,1,51,9,1
22,23,11,23,P1 Krebs1996,0,0,2,2,0,0,0,0,0,1,1,2,0,4,2,1,58,9,1
23,24,8,20,P2 Slage,0,0,1,2,0,0,0,0,0,1,1,2,0,9,0,4,57,6,1
24,25,9,20,P1 Krebs1996,3,0,2,2,0,0,0,0,0,2,0,2,0,4,3,0,68,10,1
25,26,9,20,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,9,0,6,61,4,1
26,27,11,20,P1 Krebs1996,4,0,2,1,0,0,0,2,1,1,3,3,0,4,4,6,72,4,1
27,28,11,20,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,9,0,3,68,7,1
28,29,8,20,P1 Krebs1996,0,0,1,1,0,0,0,2,2,1,3,4,0,4,4,1,81,9,1
29,30,8,20,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,6,0,9,0,8,70,2,1
30,31,8,17,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,1,0,4,5,8,83,2,1
31,32,8,17,P2 Slage,0,0,1,1,0,0,0,0,1,1,1,1,0,9,0,7,73,3,1
32,33,8,8,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,3,0,4,6,1,92,9,1
33,34,8,8,P2 Slage,0,0,1,1,0,0,1,0,0,1,0,1,0,9,0,5,78,5,1
34,35,8,-2,P1 Krebs1996,0,0,1,0,0,0,0,2,0,0,0,2,0,4,6,10,92,0,1
35,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
36,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
37,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
38,4,27,30,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,2
39,5,27,27,P1 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,2
40,6,24,27,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,2,0,2
41,7,24,27,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,5,3,2
42,8,24,27,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,4,2
43,9,24,27,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,9,4,2
44,10,24,27,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,6,0,2
45,11,22,25,P1 Krebs1996,0,0,2,1,0,0,0,1,0,1,0,2,0,0,1,2,13,4,2
46,12,22,28,P2 Slage,3,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,12,6,2
47,13,22,25,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,1,3,17,4,2
48,14,22,28,P2 Slage,3,0,1,1,0,0,0,0,0,0,1,1,0,3,0,1,18,6,2
49,15,20,26,P1 Krebs1996,0,0,2,2,0,0,0,1,0,2,0,3,0,0,2,0,25,8,2
50,16,20,26,P2 Slage,0,0,7,3,0,0,0,0,0,2,0,3,0,4,0,0,26,8,2
51,17,23,22,P1 Krebs1996,3,0,1,2,0,0,0,3,1,1,3,5,0,1,2,1,33,8,2
52,18,23,22,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,9,26,0,2
53,19,23,22,P1 Krebs1996,0,0,1,2,0,0,0,0,3,2,3,2,0,1,2,0,43,10,2
54,20,17,16,P2 Slage,0,0,1,3,0,0,0,0,0,1,4,3,0,6,0,0,36,10,2
55,21,17,16,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,5,48,5,2
56,22,17,16,P2 Slage,0,0,1,2,0,0,0,0,1,1,1,2,0,7,0,2,44,8,2
57,23,15,12,P1 Krebs1996,0,0,2,2,0,0,0,1,1,1,2,3,0,2,3,1,57,9,2
58,24,15,12,P2 Slage,0,0,1,1,0,0,1,0,0,1,0,1,0,7,0,1,53,9,2
59,25,13,8,P1 Krebs1996,0,0,2,2,0,0,0,1,0,2,0,3,0,2,4,2,65,8,2
60,26,13,8,P2 Slage,0,0,1,0,0,1,0,0,0,0,0,0,0,7,0,10,53,0,2
61,27,21,8,P1 Krebs1996,8,0,1,1,0,0,1,0,3,1,4,1,0,2,4,0,75,10,2
62,28,21,8,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,7,0,-4,67,14,2
63,29,21,8,P1 Krebs1996,0,0,1,1,0,1,1,1,0,1,1,2,0,2,4,0,85,10,2
64,30,14,8,P2 Slage,0,0,1,2,0,0,0,1,0,2,0,3,0,7,0,1,76,9,2
65,31,14,0,P1 Krebs1996,0,0,1,1,0,1,0,1,0,1,1,2,0,2,4,4,91,6,2
66,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
67,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
68,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
69,4,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
70,5,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
71,6,27,30,P2 Slage,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,6,3,3
72,7,27,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,2,2,3
73,8,20,30,P2 Slage,0,0,1,1,0,0,0,2,1,0,2,3,0,2,0,0,10,4,3
74,9,23,30,P1 Krebs1996,3,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,7,5,3
75,10,23,30,P2 Slage,0,0,5,2,0,0,0,0,0,1,0,2,0,3,0,1,14,4,3
76,11,26,30,P1 Krebs1996,3,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,12,5,3
77,12,23,27,P2 Slage,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,2,18,4,3
78,13,26,23,P1 Krebs1996,3,0,1,1,0,0,0,1,0,0,1,2,0,1,0,1,18,6,3
79,14,26,23,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,4,0,1,24,6,3
80,15,30,19,P1 Krebs1996,4,0,1,1,0,0,0,1,1,1,3,2,0,1,0,1,25,7,3
81,16,30,19,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,8,24,0,3
82,17,30,15,P1 Krebs1996,0,0,1,2,0,0,1,1,0,2,0,3,0,1,0,0,34,9,3
83,18,30,18,P2 Slage,3,0,3,2,0,0,0,0,0,0,1,2,0,6,0,1,32,8,3
84,19,30,6,P1 Krebs1996,0,0,1,2,0,1,0,2,0,2,0,4,0,1,0,0,44,10,3
85,20,30,6,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,6,0,6,36,4,3
86,21,30,-2,P1 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,10,44,0,3
87,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
88,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
89,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
90,4,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,4
91,5,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,4
92,6,25,30,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,4
