,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,28,30,P2 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,1
4,5,28,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,26,30,P2 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,2,0,1
6,7,26,30,P1 Orasha,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,7,4,1
7,8,23,27,P2 Krebs1996,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,6,4,1
8,9,30,24,P1 Orasha,7,0,5,2,0,0,0,1,0,1,0,3,0,1,0,1,11,4,1
9,10,30,25,P2 Krebs1996,3,0,2,1,0,0,0,0,0,1,0,1,0,2,1,0,11,5,1
10,11,30,25,P1 Orasha,0,0,1,1,0,0,0,0,2,1,3,1,0,1,0,1,16,5,1
11,12,30,28,P2 Krebs1996,3,0,1,1,0,0,0,0,0,0,1,1,0,3,1,0,17,6,1
12,13,28,28,P1 Orasha,0,0,2,1,0,0,0,0,0,1,0,1,0,1,1,2,21,5,1
13,14,28,30,P2 Krebs1996,2,0,1,1,0,0,1,0,0,1,0,1,0,3,1,1,23,6,1
14,15,28,28,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,29,8,1
15,16,28,29,P2 Krebs1996,3,0,2,1,0,1,0,1,0,1,0,2,0,3,2,1,30,7,1
