,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,1
4,5,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1
6,7,30,28,P1 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,3,0,1
7,8,30,28,P2 Orasha,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,3,3,1,1
8,9,30,26,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,8,5,1
9,10,30,24,P2 Orasha,0,0,6,2,0,0,0,0,0,0,0,2,0,4,1,0,8,5,1
10,11,30,18,P1 Orasha,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,13,5,1
11,12,30,15,P2 Orasha,0,0,1,1,0,0,0,0,0,0,2,1,0,5,1,2,12,4,1
12,13,30,11,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,20,7,1
13,14,30,11,P2 Orasha,0,0,1,1,0,0,0,0,0,1,1,1,0,5,1,0,19,7,1
14,15,30,11,P1 Orasha,0,0,1,2,0,0,0,1,1,2,2,3,0,0,0,1,27,7,1
15,16,30,11,P2 Orasha,0,0,2,3,0,0,0,0,0,1,0,3,0,7,1,2,25,6,1
16,17,30,8,P1 Orasha,0,0,3,2,0,0,0,2,1,2,1,4,0,0,0,-2,38,11,1
17,18,30,8,P2 Orasha,0,0,1,0,0,0,0,1,1,0,2,1,0,7,1,9,25,0,1
18,19,30,-1,P1 Orasha,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,10,38,0,1
19,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
20,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
21,3,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
22,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
23,5,30,30,P1 Orasha,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,4,2,2
24,6,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
25,7,30,30,P1 Orasha,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,0,2
26,8,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,5,4,2
27,9,30,30,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,9,5,2
28,10,27,30,P2 Orasha,3,0,1,1,0,0,0,0,1,0,2,1,0,2,0,1,9,4,2
29,11,30,30,P1 Orasha,3,0,5,2,0,0,0,0,0,1,0,2,0,1,0,1,14,5,2
30,12,30,30,P2 Orasha,0,0,1,2,0,0,0,1,0,1,1,3,0,3,0,0,15,6,2
31,13,28,30,P1 Orasha,0,0,2,2,0,0,0,0,0,1,1,2,0,2,1,0,21,7,2
32,14,28,30,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,22,7,2
33,15,28,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,0,29,8,2
34,16,23,28,P2 Orasha,0,0,2,2,0,0,0,2,0,2,1,4,0,3,1,0,30,8,2
35,17,23,23,P1 Orasha,0,0,1,1,0,0,0,4,2,1,5,5,0,2,1,2,36,7,2
36,18,23,23,P2 Orasha,0,0,1,2,0,0,0,0,0,2,0,2,0,3,1,1,38,8,2
37,19,21,11,P1 Orasha,0,0,3,2,0,0,0,5,1,1,3,7,0,3,2,1,45,9,2
38,20,25,11,P2 Orasha,0,0,1,7,0,0,0,0,0,7,0,8,0,3,1,0,48,10,2
39,21,25,0,P1 Orasha,0,0,1,0,0,0,0,2,0,0,0,2,0,3,2,10,45,0,2
40,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
41,2,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
42,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
43,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,3
44,5,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
45,6,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,3
46,7,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,3
47,8,27,27,P2 Orasha,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,6,4,3
48,9,30,24,P1 Orasha,3,0,6,2,0,0,0,1,0,1,0,3,0,1,0,0,9,5,3
49,10,30,27,P2 Orasha,3,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,11,5,3
50,11,30,28,P1 Orasha,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,1,14,5,3
51,12,30,30,P2 Orasha,4,0,9,3,0,0,0,0,0,0,0,3,0,5,1,0,17,6,3
52,13,30,24,P1 Orasha,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,20,6,3
53,14,30,28,P2 Orasha,4,0,3,1,0,0,0,0,0,0,0,1,0,6,1,4,20,3,3
54,15,30,16,P1 Orasha,0,0,5,3,0,0,0,3,0,2,0,6,0,2,0,1,27,7,3
55,16,30,16,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,6,1,3,25,5,3
