,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Slage,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,3,1
5,6,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
6,7,30,30,P1 Slage,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,8,3,1
7,8,30,30,P2 Slage,0,0,8,4,0,0,0,0,0,1,1,4,0,3,0,0,8,4,1
8,9,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,12,4,1
9,10,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,1,12,4,1
10,11,30,26,P1 Slage,0,0,5,3,0,0,0,1,0,2,0,4,0,1,0,0,18,6,1
11,12,30,26,P2 Slage,0,0,1,2,0,0,0,1,0,2,0,3,0,3,0,0,18,6,1
12,13,30,24,P1 Slage,0,0,1,2,0,0,0,2,1,2,2,4,0,1,0,1,24,6,1
13,14,26,24,P2 Slage,0,0,1,1,0,0,0,2,1,0,4,3,0,4,0,3,22,4,1
14,15,26,24,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,31,7,1
15,16,23,21,P2 Slage,0,0,1,2,0,0,0,2,2,1,4,4,0,5,0,0,30,8,1
16,17,23,21,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,31,0,1
17,18,19,23,P2 Slage,4,0,2,1,0,0,0,1,0,1,0,2,0,5,1,0,39,9,1
18,19,17,23,P1 Slage,0,0,2,1,0,0,0,0,0,1,0,1,0,1,1,2,39,8,1
19,20,6,23,P2 Slage,0,0,1,1,0,0,0,3,0,1,1,4,0,5,1,1,48,9,1
20,21,6,23,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,6,0,1,1,1,48,9,1
21,22,-2,23,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,5,1,10,48,0,1
22,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
23,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
24,3,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
25,4,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2
26,5,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2
27,6,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,2
28,7,30,25,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,7,4,2
29,8,25,25,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,9,4,2
30,9,25,18,P1 Slage,0,0,6,2,0,0,0,2,0,1,0,4,0,1,0,1,11,4,2
31,10,16,20,P2 Slage,4,0,9,2,0,0,0,2,0,0,1,4,0,3,1,0,14,5,2
32,11,20,20,P1 Slage,4,0,1,0,0,0,0,0,2,0,5,0,0,1,0,6,11,0,2
33,12,20,22,P2 Slage,4,0,2,1,0,0,0,0,0,1,0,1,0,3,2,2,18,4,2
34,13,20,22,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,18,7,2
35,14,17,25,P2 Slage,3,0,1,1,0,0,0,1,0,0,1,2,0,4,2,1,24,6,2
36,15,17,25,P1 Slage,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,25,7,2
37,16,17,25,P2 Slage,0,0,1,1,0,0,1,0,0,1,0,1,0,4,2,1,31,7,2
38,17,17,21,P1 Slage,0,0,1,3,0,0,0,1,0,3,0,4,0,1,0,-6,40,15,2
39,18,9,21,P2 Slage,0,0,6,3,0,1,0,1,0,2,0,4,0,5,2,0,40,9,2
40,19,9,-1,P1 Slage,0,0,1,1,0,0,1,6,0,1,0,7,0,1,0,2,48,8,2
41,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
42,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
