,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Thijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,27,30,P2 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,1
4,5,27,30,P1 Slage,0,0,1,1,0,0,0,0,1,1,2,1,0,0,0,0,5,3,1
5,6,27,30,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,1
6,7,27,30,P1 Slage,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,0,9,4,1
7,8,27,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0,1
8,9,29,30,P1 Slage,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,11,2,1
9,10,29,28,P2 Thijs,0,0,2,1,0,0,0,0,0,0,0,1,0,2,1,0,10,5,1
10,11,29,24,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,1,2,15,4,1
11,12,29,24,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,0,16,6,1
12,13,30,22,P1 Slage,1,0,2,2,0,0,0,2,0,0,2,4,0,2,1,0,22,7,1
13,14,30,22,P2 Thijs,0,0,1,1,0,0,0,0,0,1,2,1,0,2,1,0,23,7,1
14,15,30,22,P1 Slage,0,0,1,2,0,0,0,0,0,1,1,2,0,3,1,0,30,8,1
15,16,30,22,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,0,31,8,1
16,17,30,22,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,3,1,1,38,8,1
17,18,23,26,P2 Thijs,6,0,2,2,0,0,0,4,0,2,1,6,0,2,2,0,40,9,1
18,19,23,26,P1 Slage,0,0,1,2,0,0,0,0,2,1,7,2,0,4,1,0,48,10,1
19,20,23,29,P2 Thijs,3,0,5,3,0,0,0,0,0,1,1,3,0,4,2,0,50,10,1
20,21,23,29,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,10,48,0,1
21,22,23,29,P2 Thijs,0,0,1,1,0,0,0,0,1,1,1,1,0,4,2,5,55,5,1
22,23,23,30,P1 Slage,0,0,1,3,0,0,0,0,1,2,2,3,0,5,1,1,57,9,1
23,24,20,27,P2 Thijs,0,0,9,4,0,0,0,0,0,1,1,4,0,7,2,0,65,10,1
24,25,15,24,P1 Slage,0,0,2,2,0,0,0,0,0,1,1,2,0,6,2,2,65,8,1
25,26,15,27,P2 Thijs,3,0,1,1,0,0,0,0,0,0,1,1,0,8,2,4,71,6,1
