,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,27,30,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,1
4,5,27,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,21,30,P2 Krebs1996,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,3,4,0,1
6,7,21,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,13,30,P2 Krebs1996,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,8,4,1
8,9,17,30,P1 Stonekeep,4,0,1,1,0,0,0,1,0,0,2,2,0,1,0,2,7,3,1
9,10,15,30,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,12,4,1
10,11,18,30,P1 Stonekeep,3,0,1,1,0,0,0,1,0,0,2,2,0,2,0,0,13,6,1
11,12,18,30,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,1,17,5,1
12,13,21,30,P1 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,3,0,1,19,6,1
13,14,21,30,P2 Krebs1996,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,24,7,1
14,15,21,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,2,25,6,1
15,16,10,30,P2 Krebs1996,3,0,1,2,0,1,0,1,0,1,0,3,0,2,0,1,31,7,1
16,17,15,25,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,3,0,3,0,0,34,9,1
17,18,-1,22,P2 Krebs1996,0,0,1,2,0,0,0,2,1,1,1,4,0,3,0,1,39,8,1
18,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
19,2,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
20,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
21,4,28,30,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,2
22,5,30,30,P1 Stonekeep,2,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,3,3,2
