,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
4,5,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,4,2,1
6,7,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,8,4,1
8,9,30,30,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,9,5,1
9,10,25,30,P2 Slage,3,0,4,3,0,0,0,1,1,0,1,4,0,3,0,0,14,5,1
10,11,28,26,P1 Stonekeep,3,0,1,1,0,0,0,2,1,0,3,3,0,1,0,0,15,6,1
11,12,28,26,P2 Slage,0,0,2,2,0,0,0,0,0,1,1,2,0,4,0,1,19,5,1
12,13,28,26,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,22,7,1
13,14,24,26,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,4,0,3,23,4,1
14,15,28,18,P1 Stonekeep,4,0,1,1,0,1,0,1,0,1,0,2,0,1,0,2,28,6,1
15,16,20,18,P2 Slage,0,0,1,0,0,0,0,2,0,0,0,2,0,4,0,8,23,0,1
16,17,20,8,P1 Stonekeep,0,0,1,2,0,0,0,2,1,1,3,4,0,2,0,0,37,9,1
17,18,20,8,P2 Slage,0,0,1,1,0,0,1,0,0,1,0,1,0,4,0,0,32,9,1
18,19,20,2,P1 Stonekeep,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,5,42,5,1
19,20,12,2,P2 Slage,0,0,1,2,0,1,0,1,1,1,6,3,0,5,0,4,38,6,1
20,21,12,2,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,4,48,6,1
21,22,12,2,P2 Slage,0,0,1,1,0,0,1,0,0,1,0,1,0,5,0,0,48,10,1
22,23,12,0,P1 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,10,48,0,1
23,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
24,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
25,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
26,4,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,2
27,5,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
28,6,25,30,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,2
29,7,25,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,2
30,8,20,30,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,7,4,2
31,9,20,26,P1 Stonekeep,0,0,1,1,0,0,0,1,0,0,1,2,0,1,0,2,7,3,2
32,10,16,26,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,11,4,2
33,11,13,23,P1 Stonekeep,0,0,1,2,0,0,0,1,1,1,3,3,0,2,0,0,13,6,2
34,12,13,26,P2 Slage,3,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,17,6,2
35,13,13,26,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,2,0,0,20,7,2
36,14,13,29,P2 Slage,3,0,1,1,0,0,0,0,0,0,1,1,0,3,0,1,23,6,2
37,15,13,29,P1 Stonekeep,0,0,1,1,0,1,0,0,0,1,0,1,0,2,0,1,27,7,2
38,16,10,26,P2 Slage,0,0,2,3,0,0,0,0,0,1,1,3,0,5,0,1,30,7,2
39,17,10,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,3,33,6,2
40,18,10,26,P2 Slage,0,0,1,2,0,0,1,0,0,2,0,2,0,5,0,0,39,9,2
41,19,8,26,P1 Stonekeep,0,0,2,2,0,0,0,1,0,1,2,3,0,3,1,2,41,8,2
42,20,8,26,P2 Slage,0,0,1,2,0,1,0,0,0,1,2,2,0,6,0,0,49,10,2
43,21,11,26,P1 Stonekeep,3,0,1,2,0,0,0,0,0,1,1,2,0,4,1,0,51,10,2
44,22,11,26,P2 Slage,0,0,4,3,0,0,0,0,0,2,0,3,0,7,0,1,58,9,2
45,23,14,26,P1 Stonekeep,3,0,1,2,0,0,0,1,0,0,2,3,0,6,1,2,59,8,2
46,24,14,26,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,7,0,6,62,4,2
47,25,14,26,P1 Stonekeep,0,0,1,2,0,0,0,1,1,2,1,3,0,6,1,1,68,9,2
48,26,10,28,P2 Slage,4,0,2,0,0,0,0,1,0,0,0,1,0,7,1,8,64,2,2
49,27,10,24,P1 Stonekeep,0,0,1,1,0,0,1,2,0,1,1,3,0,6,1,1,77,9,2
50,28,10,24,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,7,1,8,66,2,2
51,29,8,12,P1 Stonekeep,0,0,2,1,0,1,0,3,0,1,1,4,0,6,2,6,81,4,2
52,30,8,12,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,7,1,6,70,4,2
53,31,8,0,P1 Stonekeep,0,0,1,0,0,0,0,2,0,0,0,2,0,6,2,10,81,0,2
54,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
55,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
56,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
57,4,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,3
58,5,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,3
59,6,25,30,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,3
60,7,25,30,P1 Stonekeep,0,0,1,1,0,0,0,0,1,1,2,1,0,0,0,0,6,4,3
61,8,25,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,7,4,3
62,9,23,30,P1 Stonekeep,0,0,2,1,0,0,0,1,0,0,1,2,0,1,1,0,11,5,3
63,10,23,30,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,1,11,4,3
64,11,27,26,P1 Stonekeep,4,0,2,2,0,0,0,1,1,0,3,3,0,3,1,1,16,5,3
65,12,27,26,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,15,4,3
66,13,30,26,P1 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,4,1,1,22,6,3
67,14,30,26,P2 Slage,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,22,7,3
68,15,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,1,29,7,3
69,16,22,29,P2 Slage,3,0,1,1,0,1,0,1,0,0,1,2,0,2,0,2,28,6,3
70,17,23,29,P1 Stonekeep,3,0,2,1,0,0,0,0,0,0,1,1,0,5,2,1,37,8,3
71,18,23,29,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,2,35,7,3
72,19,20,26,P1 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,6,2,1,46,9,3
73,20,11,26,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,44,9,3
74,21,11,22,P1 Stonekeep,0,0,1,2,0,0,0,3,2,2,3,5,0,6,2,0,56,10,3
75,22,6,22,P2 Slage,0,0,1,3,0,0,0,1,0,3,0,4,0,2,0,2,52,8,3
76,23,6,10,P1 Stonekeep,0,0,1,2,0,0,0,5,0,1,6,7,0,7,2,4,62,6,3
77,24,6,10,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,8,54,2,3
78,25,6,0,P1 Stonekeep,0,0,1,0,0,0,0,3,0,0,0,3,0,7,2,10,62,0,3
79,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
80,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
81,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
82,4,30,30,P2 Slage,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,4,2,4
83,5,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
84,6,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,4
85,7,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,4
86,8,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,8,4,4
87,9,30,30,P1 Stonekeep,0,0,1,2,0,0,0,1,0,1,1,3,0,1,0,0,9,5,4
88,10,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,8,0,4
89,11,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,2,1,3,1,0,1,0,1,14,5,4
90,12,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,14,6,4
91,13,30,30,P1 Stonekeep,0,0,2,3,0,0,0,1,0,1,1,4,0,3,0,0,21,7,4
92,14,27,27,P2 Slage,0,0,1,2,0,0,0,0,0,1,2,2,0,2,0,1,20,6,4
93,15,25,27,P1 Stonekeep,0,0,2,2,0,0,0,0,0,2,0,2,0,3,1,0,29,8,4
94,16,22,30,P2 Slage,3,0,1,2,0,0,0,1,0,1,1,3,0,3,0,0,28,8,4
95,17,25,30,P1 Stonekeep,3,0,1,1,0,0,0,1,0,0,2,2,0,4,1,3,35,6,4
96,18,25,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,2,35,7,4
97,19,28,26,P1 Stonekeep,3,0,1,1,0,0,0,1,0,0,1,2,0,5,1,4,41,6,4
98,20,28,24,P2 Slage,0,0,2,3,0,0,0,1,1,3,2,4,0,3,1,1,44,9,4
99,21,28,24,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,5,1,1,50,9,4
100,22,22,24,P2 Slage,0,0,1,1,0,0,0,2,0,1,0,3,0,3,1,1,53,9,4
101,23,20,16,P1 Stonekeep,0,0,2,1,0,1,0,1,0,1,0,2,0,5,2,3,57,7,4
102,24,9,16,P2 Slage,0,0,1,2,0,0,0,3,0,2,0,5,0,3,1,2,61,8,4
103,25,6,-3,P1 Stonekeep,0,0,1,2,0,0,0,3,1,0,6,5,0,7,2,2,65,8,4
104,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
105,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
