,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,27,P1 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,1
5,6,30,30,P2 Orasha,3,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,3,3,1
6,7,30,27,P1 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,2,0,1
7,8,30,30,P2 Orasha,3,0,1,2,0,0,0,1,0,1,1,3,0,2,0,0,8,4,1
8,9,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,5,3,1
9,10,30,30,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,12,4,1
10,11,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,11,6,1
11,12,30,30,P2 Orasha,0,0,6,3,0,0,0,1,0,0,0,4,0,5,0,1,17,5,1
12,13,28,30,P1 Thijs,0,0,2,1,0,0,0,1,1,1,2,2,0,1,1,0,18,7,1
13,14,28,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,7,17,0,1
14,15,28,26,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,26,8,1
15,16,28,26,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,0,25,8,1
16,17,30,22,P1 Thijs,2,0,1,2,0,0,0,2,0,1,2,4,0,2,1,1,34,8,1
17,18,30,22,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,9,25,0,1
18,19,30,22,P1 Thijs,0,0,1,2,0,0,0,0,4,2,4,2,0,2,1,-4,48,14,1
19,20,30,22,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,10,25,0,1
20,21,30,22,P1 Thijs,0,0,1,2,0,0,0,0,6,2,6,2,0,2,1,0,58,10,1
21,22,30,22,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,0,35,10,1
22,23,30,22,P1 Thijs,0,0,3,3,0,0,0,2,1,3,2,5,0,2,1,-4,72,14,1
23,24,30,22,P2 Orasha,0,0,1,2,0,0,0,0,0,2,2,2,0,5,0,0,45,10,1
24,25,30,17,P1 Thijs,0,0,1,3,0,0,0,3,2,3,4,6,0,2,1,3,79,7,1
25,26,30,17,P2 Orasha,0,0,1,2,0,0,0,0,0,2,0,2,0,5,0,0,55,10,1
26,27,28,17,P1 Thijs,0,0,2,2,0,0,0,2,1,2,2,4,0,2,2,0,89,10,1
27,28,24,17,P2 Orasha,0,0,1,1,0,0,0,1,0,1,0,3,0,5,0,3,62,7,1
28,29,22,17,P1 Thijs,0,0,2,1,0,0,0,4,2,1,4,5,0,2,3,6,93,4,1
29,30,20,17,P2 Orasha,0,0,1,2,0,0,0,0,0,2,0,3,0,5,0,1,71,9,1
30,31,20,-1,P1 Thijs,0,0,1,0,0,0,0,3,0,0,0,3,0,2,3,10,93,0,1
31,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
32,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
33,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
34,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
35,5,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
36,6,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
37,7,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,3,3,2
38,8,30,30,P2 Orasha,0,0,2,2,0,0,0,0,0,1,1,2,0,1,0,0,4,4,2
39,9,30,30,P1 Thijs,0,0,12,3,0,0,0,0,0,1,0,3,0,2,0,0,8,5,2
40,10,24,27,P2 Orasha,0,0,1,1,0,0,0,1,0,0,1,2,0,2,0,1,8,4,2
41,11,24,27,P1 Thijs,0,0,2,2,0,0,0,0,0,1,1,2,0,3,0,0,14,6,2
