,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Thijs,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1
5,6,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
6,7,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1
7,8,30,30,P2 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,4,4,1
8,9,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,5,1
9,10,22,30,P2 Stonekeep,0,0,2,2,0,1,0,1,0,0,1,3,0,2,0,1,8,4,1
10,11,22,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,13,6,1
11,12,22,30,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,2,2,0,2,0,0,14,6,1
12,13,22,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,18,5,1
13,14,15,30,P2 Stonekeep,3,0,2,2,0,0,0,2,1,0,2,4,0,4,0,0,21,7,1
14,15,18,30,P1 Thijs,3,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,24,6,1
15,16,18,30,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,3,26,5,1
16,17,16,30,P1 Thijs,0,0,3,3,0,0,0,0,0,1,1,3,0,3,1,1,32,8,1
17,18,16,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,9,26,0,1
18,19,18,30,P1 Thijs,4,0,2,1,0,0,0,0,1,1,1,1,0,3,2,1,41,9,1
19,20,18,30,P2 Stonekeep,0,0,1,2,0,0,0,0,0,2,1,2,0,4,0,0,36,10,1
20,21,18,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,2,2,49,8,1
21,22,10,30,P2 Stonekeep,0,0,1,2,0,0,0,4,0,2,1,6,0,4,0,0,46,10,1
22,23,10,30,P1 Thijs,0,0,1,1,0,0,1,0,0,1,0,1,0,3,2,3,56,7,1
23,24,0,28,P2 Stonekeep,0,0,1,0,0,0,0,2,0,0,0,2,0,4,0,10,46,0,1
24,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
25,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
26,3,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
27,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
28,5,30,30,P1 Thijs,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,3,2
29,6,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
30,7,30,29,P1 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,5,0,2
31,8,30,29,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
32,9,30,28,P1 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,5,0,2
33,10,30,30,P2 Stonekeep,2,0,1,2,0,0,0,0,0,0,1,2,0,2,0,0,6,5,2
34,11,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,11,6,2
35,12,30,30,P2 Stonekeep,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,3,9,3,2
36,13,30,26,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,18,7,2
37,14,27,23,P2 Stonekeep,0,0,2,2,0,0,0,0,0,0,1,2,0,5,0,2,14,5,2
38,15,27,16,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,26,8,2
39,16,27,16,P2 Stonekeep,0,0,1,1,0,0,0,0,0,0,3,1,0,6,0,0,22,8,2
40,17,27,11,P1 Thijs,0,0,1,3,0,0,0,0,0,3,0,4,0,0,0,0,35,9,2
41,18,27,15,P2 Stonekeep,4,0,2,4,0,0,0,0,0,1,0,4,0,9,0,0,31,9,2
42,19,30,0,P1 Thijs,3,0,1,0,0,0,0,3,0,0,0,4,0,0,0,10,35,0,2
43,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
44,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
45,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
46,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
47,5,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
48,6,30,30,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,3
49,7,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
50,8,26,30,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,8,4,3
51,9,29,30,P1 Thijs,3,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,5,3
52,10,25,30,P2 Stonekeep,0,0,1,1,0,0,0,1,1,0,2,2,0,2,0,1,12,4,3
53,11,28,30,P1 Thijs,3,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,11,6,3
54,12,28,30,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,18,6,3
55,13,28,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,18,7,3
56,14,26,30,P2 Stonekeep,0,0,1,1,0,0,0,1,0,0,1,2,0,3,0,1,24,6,3
57,15,24,30,P1 Thijs,0,0,2,2,0,0,0,0,0,2,0,4,0,1,1,0,26,8,3
58,16,22,30,P2 Stonekeep,0,0,1,2,0,0,1,1,0,2,0,3,0,3,0,1,31,7,3
59,17,20,25,P1 Thijs,0,0,2,2,0,0,0,2,0,2,1,4,0,1,2,0,35,9,3
60,18,10,28,P2 Stonekeep,3,0,1,1,0,1,0,2,0,0,1,3,0,4,0,3,37,6,3
61,19,10,14,P1 Thijs,0,0,1,1,0,0,0,4,0,1,2,5,0,1,2,0,45,10,3
62,20,0,14,P2 Stonekeep,0,0,1,0,0,0,0,2,0,0,0,2,0,4,0,10,37,0,3
63,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
64,2,30,30,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
65,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
66,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,4
67,5,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,4
