,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Thijs,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1
5,6,30,30,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,1
6,7,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1
7,8,30,30,P2 Thijs,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,2,0,1
8,9,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1
9,10,30,30,P2 Thijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,8,5,1
10,11,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,8,6,1
11,12,26,30,P2 Thijs,0,0,1,1,0,0,0,1,0,0,1,2,0,2,0,0,14,6,1
12,13,26,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,15,7,1
13,14,22,30,P2 Thijs,0,0,5,4,0,0,0,1,1,2,2,5,0,4,0,0,21,7,1
14,15,22,30,P1 Thijs,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,1,22,7,1
15,16,15,30,P2 Thijs,3,0,2,2,0,0,0,2,2,0,3,4,0,6,0,1,28,7,1
16,17,30,30,P1 Thijs,15,0,3,2,0,0,0,1,0,2,0,3,0,0,0,-9,40,18,1
17,18,30,30,P2 Thijs,0,0,1,2,0,0,0,0,0,2,0,2,0,6,0,0,37,9,1
18,19,30,30,P1 Thijs,0,0,1,3,0,0,0,3,2,3,4,6,0,0,0,0,50,10,1
19,20,15,30,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,6,0,2,45,8,1
20,21,15,25,P1 Thijs,0,0,1,2,0,0,0,4,2,2,3,6,0,0,0,1,59,9,1
21,22,15,25,P2 Thijs,0,0,1,6,0,0,0,0,0,6,0,7,0,6,0,0,55,10,1
22,23,15,12,P1 Thijs,0,0,1,2,0,0,0,7,0,0,1,9,0,2,0,8,61,2,1
23,24,-1,12,P2 Thijs,0,0,1,0,0,0,0,3,0,0,0,3,0,6,0,10,55,0,1
24,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
25,2,30,30,P2 Thijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
26,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
27,4,30,30,P2 Thijs,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,2
28,5,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2
29,6,30,30,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,2
30,7,30,29,P1 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,3,0,2
31,8,29,30,P2 Thijs,1,0,5,2,0,0,0,1,0,0,0,3,0,3,0,0,9,4,2
32,9,29,30,P1 Thijs,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,0,8,5,2
33,10,29,30,P2 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,0,14,5,2
34,11,30,30,P1 Thijs,1,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,13,5,2
35,12,30,30,P2 Thijs,0,0,1,1,0,0,0,0,0,0,1,1,0,4,0,0,20,6,2
36,13,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,20,7,2
