,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,25,29,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,1
3,4,25,29,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,1
4,5,25,29,P1 Pizza,0,0,1,1,0,0,0,2,1,1,1,3,0,0,0,2,3,1,1
5,6,25,29,P2 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,1
6,7,25,28,P1 Pizza,0,0,2,1,0,0,0,2,0,1,1,3,0,0,1,1,6,3,1
7,8,25,28,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,1
8,9,25,25,P1 Pizza,0,0,1,2,0,0,0,3,0,2,0,5,0,0,1,0,11,5,1
9,10,25,29,P2 Orasha,4,0,3,1,0,0,0,0,0,0,0,1,0,2,0,2,6,3,1
10,11,25,25,P1 Pizza,0,0,1,2,0,0,0,4,0,2,0,6,0,0,1,0,17,6,1
11,12,25,25,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,11,5,1
12,13,25,25,P1 Pizza,0,0,1,0,0,0,0,5,0,0,1,5,0,0,1,7,17,0,1
