,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,1
3,4,30,30,P2 Slage,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,2,2,0,1
4,5,25,27,P1 Pizza,0,0,4,3,0,0,0,1,0,2,1,4,0,1,0,0,6,3,1
5,6,25,27,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1
6,7,25,17,P1 Pizza,0,0,1,1,0,0,0,3,0,0,0,4,0,2,0,0,10,4,1
7,8,25,17,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,4,1
8,9,25,10,P1 Pizza,0,0,1,1,0,0,0,7,2,0,2,8,0,3,0,1,14,4,1
9,10,23,10,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,10,4,1
10,11,23,3,P1 Pizza,0,0,1,1,0,0,0,7,1,1,2,8,0,3,0,3,17,3,1
11,12,19,6,P2 Slage,3,0,1,1,0,0,0,1,0,0,1,2,0,2,0,0,16,6,1
12,13,19,0,P1 Pizza,0,0,1,2,0,0,0,5,2,2,3,7,0,3,0,4,20,3,1
13,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
14,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
15,3,25,29,P1 Pizza,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,2
16,4,25,30,P2 Slage,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2
17,5,25,27,P1 Pizza,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,0,6,3,2
18,6,25,27,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,4,2,2
19,7,25,27,P1 Pizza,0,0,1,1,0,0,0,4,3,0,4,5,0,1,0,0,10,4,2
20,8,25,27,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,8,4,2
21,9,25,21,P1 Pizza,0,0,1,2,0,0,0,5,0,2,0,7,0,1,0,0,15,5,2
22,10,25,24,P2 Slage,3,0,1,2,0,0,0,0,0,0,1,2,0,2,1,0,14,5,2
23,11,25,16,P1 Pizza,0,0,1,1,0,0,0,6,0,1,1,7,0,1,0,4,17,2,2
24,12,25,19,P2 Slage,3,0,1,1,0,0,0,0,0,0,1,1,0,3,1,0,20,6,2
25,13,25,9,P1 Pizza,0,0,1,1,0,0,0,6,0,1,0,7,0,1,0,6,18,1,2
26,14,25,9,P2 Slage,0,0,1,1,0,0,1,0,0,1,0,1,0,3,1,1,26,6,2
27,15,25,-1,P1 Pizza,0,0,1,0,0,0,0,4,0,0,0,4,0,1,0,8,18,0,2
28,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
29,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
30,3,30,29,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
31,4,28,29,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,3
32,5,28,24,P1 Pizza,0,0,1,2,0,0,0,2,1,2,1,4,0,0,0,1,5,2,3
33,6,26,24,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,5,3,3
34,7,23,19,P1 Pizza,0,0,1,2,0,0,0,3,0,2,1,5,0,0,0,0,9,4,3
35,8,21,19,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,7,2,3
36,9,21,14,P1 Pizza,0,0,1,2,0,0,0,5,1,2,3,7,0,0,0,-1,15,6,3
37,10,21,14,P2 Slage,0,0,6,2,0,0,0,0,0,1,0,2,0,2,0,0,12,5,3
38,11,21,0,P1 Pizza,0,0,1,2,0,0,0,5,1,2,2,7,0,0,0,0,21,6,3
39,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
40,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
41,3,30,28,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,4
42,4,30,28,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,4
43,5,30,24,P1 Pizza,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,4
44,6,30,24,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,4
45,7,30,20,P1 Pizza,0,0,1,2,0,0,0,4,1,2,2,6,0,0,0,0,10,4,4
46,8,30,20,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,4,4
