,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,27,P1 Pizza,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,1
3,4,30,27,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,22,P1 Pizza,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,1,5,2,1
5,6,30,22,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
6,7,30,15,P1 Pizza,0,0,1,1,0,0,0,4,0,0,0,5,0,1,0,0,9,4,1
7,8,30,15,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,5,4,1
8,9,30,9,P1 Pizza,0,0,4,2,0,0,0,7,3,0,4,9,0,3,0,0,14,5,1
9,10,30,7,P2 Stonekeep,0,0,2,1,0,0,0,0,0,0,1,1,0,2,1,0,10,5,1
10,11,30,0,P1 Pizza,0,0,1,1,0,0,0,5,0,1,0,6,0,3,0,2,18,4,1
11,1,25,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
12,2,25,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
13,3,25,29,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2
14,4,25,30,P2 Stonekeep,1,0,2,2,0,0,0,0,0,0,0,2,0,2,0,0,3,2,2
15,5,25,28,P1 Pizza,0,0,1,1,0,0,0,1,1,0,1,2,0,1,0,2,4,1,2
16,6,25,28,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,2
17,7,25,23,P1 Pizza,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,2,6,2,2
18,8,25,23,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,2
19,9,25,14,P1 Pizza,0,0,1,1,0,0,0,5,0,0,0,6,0,2,0,1,10,4,2
20,10,25,14,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,8,5,2
21,11,25,6,P1 Pizza,0,0,2,1,0,0,0,7,1,1,2,8,0,2,1,3,13,3,2
22,12,25,9,P2 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,14,6,2
23,13,25,0,P1 Pizza,0,0,1,1,0,0,0,6,0,1,0,7,0,2,1,3,17,4,2
24,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
25,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
26,3,27,29,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
27,4,27,29,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
28,5,27,24,P1 Pizza,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,1,4,2,3
29,6,27,24,P2 Stonekeep,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,1,1,3
30,7,27,20,P1 Pizza,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,0,8,4,3
31,8,27,20,P2 Stonekeep,0,0,2,2,0,0,0,0,0,0,2,2,0,3,0,0,5,4,3
32,9,24,15,P1 Pizza,0,0,1,2,0,0,0,4,0,2,0,6,0,2,0,1,12,4,3
33,10,24,18,P2 Stonekeep,3,0,1,2,0,0,0,0,0,0,1,2,0,5,0,0,11,5,3
34,11,24,10,P1 Pizza,0,0,1,2,0,0,0,5,0,2,0,7,0,2,0,0,18,6,3
35,12,24,10,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,5,0,1,16,5,3
36,13,24,3,P1 Pizza,0,0,1,0,0,0,0,6,1,0,2,6,0,2,0,7,18,0,3
37,14,24,3,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,3,20,4,3
38,15,24,0,P1 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,8,18,0,3
39,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
40,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
41,3,30,28,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,4
42,4,30,28,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
43,5,30,23,P1 Pizza,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,5,2,4
44,6,30,23,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,4
45,7,30,15,P1 Pizza,0,0,1,2,0,0,0,3,0,2,0,5,0,0,0,0,9,4,4
46,8,26,15,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,8,4,4
47,9,26,6,P1 Pizza,0,0,1,2,0,0,0,5,2,2,2,7,0,0,0,1,13,4,4
48,10,18,6,P2 Stonekeep,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,13,5,4
49,11,18,-3,P1 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,6,13,0,4
50,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
51,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
52,3,30,29,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,5
53,4,30,30,P2 Stonekeep,1,0,2,2,0,0,0,0,0,0,0,2,0,2,0,0,3,2,5
54,5,30,26,P1 Pizza,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,0,6,3,5
55,6,30,26,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,5
56,7,30,17,P1 Pizza,0,0,1,1,0,0,0,5,0,1,0,6,0,1,0,3,7,1,5
57,8,30,17,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,5
58,9,30,6,P1 Pizza,0,0,1,1,0,0,0,6,0,1,0,7,0,1,0,1,11,4,5
59,10,30,6,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,8,5,5
60,11,30,-2,P1 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,6,11,0,5
61,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
62,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
63,3,25,29,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,6
64,4,25,29,P2 Stonekeep,0,0,1,2,0,0,0,0,0,0,1,2,0,2,0,0,3,2,6
65,5,25,28,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,6
66,6,25,28,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,6
67,7,25,25,P1 Pizza,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,0,9,4,6
68,8,25,25,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,6
69,9,25,16,P1 Pizza,0,0,1,1,0,0,0,6,0,1,0,7,0,1,0,3,11,2,6
70,10,25,16,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,8,5,6
71,11,25,9,P1 Pizza,0,0,1,1,0,0,0,7,2,1,3,8,0,1,0,2,15,4,6
72,12,25,12,P2 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,14,6,6
73,13,25,4,P1 Pizza,0,0,1,1,0,0,0,6,0,1,0,7,0,1,0,3,19,4,6
74,14,25,7,P2 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,4,0,1,20,6,6
75,15,25,0,P1 Pizza,0,0,1,1,0,0,0,5,0,1,0,6,0,1,0,7,20,1,6
76,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
77,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
78,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,7
79,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7
80,5,27,26,P1 Pizza,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,1,4,2,7
81,6,27,26,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7
82,7,22,18,P1 Pizza,0,0,1,2,0,0,0,3,0,2,0,5,0,0,0,0,8,4,7
83,8,22,18,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7
84,9,22,9,P1 Pizza,0,0,1,2,0,0,0,4,0,2,0,6,0,0,0,0,13,5,7
85,10,22,12,P2 Stonekeep,3,0,1,2,0,0,0,0,0,0,1,2,0,2,0,0,6,5,7
86,11,22,-1,P1 Pizza,0,0,2,2,0,0,0,4,1,1,1,6,0,1,1,0,19,6,7
87,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,8
88,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
89,3,30,28,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,8
90,4,30,28,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8
91,5,30,24,P1 Pizza,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,1,5,2,8
92,6,30,24,P2 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,3,3,8
93,7,30,19,P1 Pizza,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,2,7,2,8
94,8,30,19,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,8,4,8
95,9,30,17,P1 Pizza,0,0,1,2,0,0,0,4,3,2,4,6,0,0,0,0,12,5,8
96,10,30,17,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,0,13,5,8
97,11,30,9,P1 Pizza,0,0,1,2,0,0,0,6,1,2,2,8,0,0,0,0,18,6,8
98,12,30,9,P2 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,2,0,0,19,6,8
99,13,30,0,P1 Pizza,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,7,18,0,8
