,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Thijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Pizza,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,3,2,1
3,4,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1
4,5,30,24,P1 Pizza,0,0,4,3,0,0,0,2,0,2,0,5,0,1,0,0,6,3,1
5,6,30,30,P2 Thijs,6,0,3,1,0,0,0,0,0,0,0,1,0,2,0,0,5,3,1
6,7,30,23,P1 Pizza,0,0,1,1,0,0,0,4,0,0,0,5,0,2,0,0,10,4,1
7,8,30,23,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,5,0,1
8,9,30,13,P1 Pizza,0,0,1,0,0,0,0,7,0,0,0,7,0,2,0,5,10,0,1
9,10,30,16,P2 Thijs,3,0,1,1,0,0,0,1,0,1,1,2,0,2,0,0,10,5,1
10,11,30,10,P1 Pizza,0,0,1,1,0,0,0,7,1,1,2,8,0,2,0,3,13,3,1
11,12,30,13,P2 Thijs,3,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,16,6,1
12,13,30,4,P1 Pizza,0,0,1,1,0,0,0,6,0,1,0,7,0,2,0,6,14,1,1
13,14,30,4,P2 Thijs,0,0,1,1,0,0,0,0,0,1,7,1,0,3,0,0,23,7,1
14,15,27,4,P1 Pizza,0,0,1,4,0,0,0,0,0,4,0,4,0,2,0,2,20,6,1
15,16,23,7,P2 Thijs,3,0,7,2,0,0,0,1,0,0,1,3,0,5,0,0,31,8,1
16,17,21,5,P1 Pizza,0,0,2,1,0,0,0,2,2,0,2,3,0,3,1,6,23,3,1
17,18,21,5,P2 Thijs,0,0,1,2,0,0,0,1,0,2,1,3,0,5,0,0,40,9,1
