,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,25,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,1
3,4,30,25,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
4,5,30,24,P1 Roffle,0,0,1,1,0,0,0,2,1,1,1,3,0,1,0,1,5,2,1
5,6,30,24,P2 Krebs1996,0,0,1,2,0,0,0,1,0,1,1,3,0,1,0,0,6,3,1
6,7,30,21,P1 Roffle,0,0,1,1,0,0,0,2,1,0,3,3,0,2,0,0,9,4,1
7,8,30,21,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,8,2,1
8,9,28,15,P1 Roffle,0,0,2,2,0,0,0,5,0,2,1,7,0,2,1,0,14,5,1
9,10,28,15,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,13,5,1
10,11,23,10,P1 Roffle,0,0,2,2,0,0,0,6,3,2,3,8,0,2,2,2,18,4,1
11,12,19,17,P2 Krebs1996,7,0,1,1,0,0,0,1,1,0,1,2,0,2,0,0,19,6,1
12,13,19,9,P1 Roffle,0,0,1,2,0,0,0,5,0,1,0,7,0,3,2,3,22,4,1
13,14,19,9,P2 Krebs1996,0,0,1,1,0,0,0,0,1,1,11,1,0,2,0,0,26,7,1
14,15,17,9,P1 Roffle,0,0,2,2,0,0,0,0,0,2,0,2,0,3,3,4,26,4,1
15,16,13,9,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,2,2,0,2,0,2,32,6,1
16,17,11,9,P1 Roffle,0,0,2,2,0,0,0,0,0,1,0,2,0,4,4,4,31,5,1
17,18,5,11,P2 Krebs1996,4,0,2,1,0,0,0,2,0,1,0,3,0,2,1,2,39,7,1
18,19,5,7,P1 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,4,4,10,31,0,1
19,20,-2,4,P2 Krebs1996,0,0,1,1,0,0,0,1,0,0,0,2,0,3,1,6,43,4,1
20,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
21,2,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
22,3,30,29,P1 Roffle,0,0,1,2,0,0,0,1,0,1,1,3,0,1,0,0,3,2,2
23,4,30,29,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2
24,5,27,26,P1 Roffle,0,0,1,2,0,0,0,2,0,1,0,4,0,2,0,1,5,2,2
25,6,27,26,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,2
26,7,27,19,P1 Roffle,0,0,1,1,0,0,0,3,1,0,2,4,0,3,0,0,9,4,2
27,8,27,19,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0,2
28,9,25,8,P1 Roffle,0,0,2,1,0,0,0,6,0,1,0,7,0,3,1,2,12,3,2
29,10,22,5,P2 Krebs1996,0,0,1,1,0,0,0,0,0,0,6,1,0,2,0,1,9,4,2
30,11,22,5,P1 Roffle,0,0,1,3,0,0,0,1,0,3,1,4,0,3,1,0,18,6,2
31,12,22,5,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,14,5,2
32,13,22,0,P1 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,7,18,0,2
33,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
34,2,30,30,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
35,3,30,28,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
36,4,30,30,P2 Krebs1996,2,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,3
37,5,30,27,P1 Roffle,0,0,1,2,0,0,0,2,0,1,1,4,0,1,0,0,5,3,3
38,6,30,30,P2 Krebs1996,3,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,3,3
39,7,30,26,P1 Roffle,0,0,1,1,0,0,0,3,1,1,2,4,0,1,0,1,8,3,3
40,8,30,26,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,9,3,3
41,9,30,21,P1 Roffle,0,0,1,2,0,0,0,4,1,2,2,6,0,1,0,0,13,5,3
42,10,27,18,P2 Krebs1996,0,0,1,1,0,0,0,0,0,0,6,1,0,2,0,1,13,4,3
43,11,25,18,P1 Roffle,0,0,2,2,0,0,0,3,0,2,1,5,0,1,1,2,17,4,3
