,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,27,27,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,1
3,4,27,30,P2 Orasha,3,0,3,2,0,0,0,0,0,0,0,2,0,2,0,0,3,2,1
4,5,27,24,P1 Roffle,0,0,1,2,0,0,0,3,0,2,0,5,0,0,0,0,6,3,1
5,6,27,24,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,1
6,7,27,14,P1 Roffle,0,0,1,1,0,0,0,5,0,1,0,6,0,0,0,1,9,3,1
7,8,27,14,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,7,4,1
8,9,25,8,P1 Roffle,0,0,2,1,0,0,0,7,1,1,2,8,0,0,1,2,12,3,1
9,10,25,6,P2 Orasha,0,0,2,2,0,0,0,0,0,0,7,2,0,4,1,1,11,4,1
10,11,23,0,P1 Roffle,0,0,2,3,0,0,0,1,0,2,0,4,0,1,2,0,18,6,1
11,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
12,2,30,30,P2 Orasha,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2
13,3,30,30,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,3,2,2
14,4,30,30,P2 Orasha,0,0,1,1,0,0,0,0,0,0,3,1,0,2,0,1,2,1,2
15,5,30,30,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,6,3,2
16,6,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,2
17,7,25,26,P1 Roffle,0,0,2,2,0,0,0,2,0,2,0,4,0,0,1,0,10,4,2
18,8,25,26,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,2
19,9,25,16,P1 Roffle,0,0,1,2,0,0,0,4,0,1,0,6,0,1,1,2,13,3,2
20,10,25,20,P2 Orasha,4,0,3,2,0,0,0,0,0,0,1,2,0,4,0,1,6,4,2
21,11,23,8,P1 Roffle,0,0,2,2,0,0,0,4,0,2,0,6,0,1,2,1,18,5,2
22,12,23,8,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,2
23,13,23,0,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,1,2,6,19,1,2
24,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
25,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
26,3,30,28,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
27,4,30,30,P2 Orasha,2,0,3,2,0,0,0,0,0,0,0,2,0,2,0,0,3,2,3
28,5,30,26,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,3
29,6,30,26,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,3
30,7,30,17,P1 Roffle,0,0,1,1,0,0,0,4,0,0,0,5,0,1,0,0,10,4,3
31,8,30,17,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,3
32,9,30,5,P1 Roffle,0,0,1,0,0,0,0,7,0,0,0,7,0,1,0,5,10,0,3
33,10,27,2,P2 Orasha,0,0,1,1,0,0,0,0,0,0,7,1,0,3,0,1,7,4,3
34,11,27,0,P1 Roffle,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,16,6,3
35,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
36,2,30,30,P2 Orasha,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,4
