,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,29,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,1
3,4,30,29,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,26,P1 Roffle,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,0,6,3,1
5,6,30,26,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,1
6,7,27,22,P1 Roffle,0,0,1,3,0,0,0,5,2,3,3,8,0,0,0,0,10,4,1
7,8,27,22,P2 Slage,0,0,2,2,0,0,0,0,0,1,1,2,0,2,0,0,8,4,1
8,9,27,13,P1 Roffle,0,0,1,1,0,0,0,6,0,1,1,7,0,0,0,4,11,1,1
9,10,24,10,P2 Slage,0,0,1,1,0,0,0,0,0,0,7,1,0,3,0,1,12,4,1
10,11,19,10,P1 Roffle,0,0,2,2,0,0,0,0,0,2,0,2,0,0,1,2,15,4,1
11,12,19,13,P2 Slage,3,0,1,1,0,0,0,0,0,0,1,1,0,4,0,0,18,6,1
12,13,17,13,P1 Roffle,0,0,2,2,0,0,0,1,0,1,1,3,0,1,2,0,22,7,1
