,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,29,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,1
3,4,30,29,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,25,P1 Roffle,0,0,1,2,0,0,0,2,0,1,0,4,0,2,0,0,6,3,1
5,6,30,25,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,1
6,7,28,18,P1 Roffle,0,0,2,2,0,0,0,3,0,2,0,5,0,2,1,0,10,4,1
7,8,28,18,P2 Stonekeep,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,4,4,0,1
8,9,28,7,P1 Roffle,0,0,1,1,0,0,0,4,0,1,1,5,0,2,1,4,11,1,1
9,10,28,7,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,9,5,1
10,11,28,0,P1 Roffle,0,0,1,0,0,0,0,2,0,0,0,2,0,2,1,6,11,0,1
11,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
12,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
13,3,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
14,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
15,5,28,29,P1 Roffle,0,0,2,1,0,0,0,1,0,1,0,2,0,0,1,0,4,3,2
16,6,25,26,P2 Stonekeep,0,0,1,2,0,0,0,0,0,0,2,2,0,2,0,0,4,3,2
17,7,25,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,8,4,2
18,8,25,26,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,2
19,9,25,18,P1 Roffle,0,0,1,2,0,0,0,4,1,1,1,6,0,2,1,2,11,3,2
20,10,25,18,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,9,5,2
21,11,25,9,P1 Roffle,0,0,1,2,0,0,0,7,2,2,3,9,0,2,1,1,16,5,2
22,12,25,12,P2 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,15,6,2
23,13,25,1,P1 Roffle,0,0,1,2,0,0,0,6,0,1,0,8,0,3,1,3,20,4,2
24,14,25,1,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,7,1,0,3,0,0,22,7,2
25,15,25,1,P1 Roffle,0,0,1,3,0,0,0,0,0,2,0,3,0,4,1,2,26,6,2
26,16,21,1,P2 Stonekeep,0,0,1,2,0,0,0,1,1,0,8,3,0,5,0,1,29,7,2
27,17,21,1,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,9,26,0,2
28,18,21,1,P2 Stonekeep,0,0,1,2,0,0,0,0,0,2,0,2,0,5,0,0,38,9,2
29,19,19,-3,P1 Roffle,0,0,2,1,0,0,0,0,0,0,0,1,0,5,2,7,29,3,2
30,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
31,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
32,3,30,29,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,3
33,4,30,29,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
34,5,30,20,P1 Roffle,0,0,1,2,0,0,0,3,0,1,0,5,0,1,0,0,6,3,3
35,6,27,17,P2 Stonekeep,0,0,1,2,0,0,0,0,0,0,4,2,0,2,0,0,4,3,3
36,7,27,16,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,8,2,3
37,8,27,16,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,3
38,9,27,15,P1 Roffle,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,1,12,4,3
39,10,27,15,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,9,5,3
40,11,27,10,P1 Roffle,0,0,1,1,0,0,0,6,2,1,3,7,0,2,0,4,14,2,3
41,12,27,13,P2 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,15,6,3
42,13,27,7,P1 Roffle,0,0,1,1,0,0,0,6,0,1,0,7,0,2,0,5,16,2,3
43,14,27,11,P2 Stonekeep,4,0,2,2,0,0,0,0,0,1,1,2,0,4,0,1,21,6,3
44,15,25,6,P1 Roffle,0,0,2,2,0,0,0,5,1,2,1,7,0,2,1,3,21,5,3
45,16,21,6,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,7,2,0,4,0,2,27,6,3
46,17,19,0,P1 Roffle,0,0,2,2,0,0,0,3,1,0,1,5,0,4,2,2,28,7,3
47,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
48,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
49,3,30,28,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,4
50,4,30,28,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
51,5,30,24,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,4
52,6,30,26,P2 Stonekeep,4,0,3,1,0,0,0,0,0,0,1,1,0,1,1,0,3,3,4
53,7,30,17,P1 Roffle,0,0,1,2,0,0,0,3,0,2,0,5,0,0,0,1,9,3,4
54,8,30,17,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,7,4,4
55,9,28,6,P1 Roffle,0,0,2,2,0,0,0,4,0,2,0,6,0,0,1,1,13,4,4
56,10,24,6,P2 Stonekeep,0,0,1,2,0,0,0,1,0,1,6,3,0,2,1,0,13,5,4
57,11,19,1,P1 Roffle,0,0,2,3,0,0,0,4,0,3,0,7,0,0,2,0,19,6,4
58,12,13,1,P2 Stonekeep,0,0,1,1,0,0,1,2,0,1,0,3,0,2,1,1,18,5,4
59,13,13,-2,P1 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,7,19,0,4
60,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
61,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
62,3,30,29,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,5
63,4,30,29,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
64,5,30,27,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,5,3,5
65,6,30,27,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
66,7,30,21,P1 Roffle,0,0,1,1,0,0,0,4,0,0,0,5,0,1,0,0,9,4,5
67,8,30,21,P2 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,4,4,5
