,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,29,P1 Solegit,0,0,1,2,0,0,0,1,0,1,1,3,0,1,0,0,3,2,1
3,4,30,29,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1
4,5,28,27,P1 Solegit,0,0,2,1,0,0,0,2,0,1,0,3,0,1,1,0,6,3,1
5,6,28,27,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1
6,7,23,24,P1 Solegit,0,0,1,2,0,0,0,3,0,2,0,5,0,1,1,2,8,2,1
7,8,23,24,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,4,1
8,9,23,22,P1 Solegit,0,0,1,2,0,0,0,5,1,2,2,7,0,1,1,0,13,5,1
9,10,23,25,P2 Krebs1996,3,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,9,3,1
10,11,23,14,P1 Solegit,0,0,2,1,0,0,0,7,1,1,2,8,0,1,2,0,19,6,1
11,12,23,17,P2 Krebs1996,3,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,14,5,1
12,13,23,2,P1 Solegit,0,0,1,2,0,0,0,7,2,2,3,9,0,1,2,2,24,5,1
13,14,23,5,P2 Krebs1996,3,0,1,1,0,0,0,0,0,0,1,1,0,2,0,1,20,6,1
14,15,23,-4,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,8,24,0,1
15,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
16,2,30,30,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
17,3,30,27,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,2
18,4,30,27,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
19,5,30,26,P1 Solegit,0,0,1,2,0,0,0,2,1,2,2,4,0,0,0,0,5,3,2
20,6,30,26,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,6,3,2
21,7,30,21,P1 Solegit,0,0,1,1,0,0,0,3,2,0,2,4,0,1,0,0,9,4,2
22,8,26,24,P2 Krebs1996,3,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,9,3,2
23,9,26,20,P1 Solegit,0,0,1,2,0,0,0,5,1,2,2,7,0,1,0,0,14,5,2
24,10,21,20,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,13,4,2
25,11,21,13,P1 Solegit,0,0,1,1,0,0,0,7,1,1,2,8,0,1,0,4,16,2,2
26,12,16,16,P2 Krebs1996,3,0,1,2,0,0,0,1,0,2,0,3,0,1,0,1,18,5,2
27,13,16,10,P1 Solegit,0,0,1,1,0,0,0,7,1,1,4,8,0,1,0,4,19,3,2
28,14,16,10,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,23,5,2
29,15,16,0,P1 Solegit,0,0,1,1,0,0,0,6,1,1,2,7,0,1,0,7,20,1,2
30,1,30,30,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
