,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Solegit,0,0,1,2,0,0,0,1,1,1,2,3,0,1,0,0,3,2,1
3,4,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,4,2,1
4,5,30,28,P1 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,5,2,1
5,6,28,28,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,4,0,1
6,7,23,25,P1 Solegit,0,0,2,2,0,0,0,3,1,2,2,5,0,1,1,0,9,4,1
7,8,23,25,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,8,4,1
8,9,23,19,P1 Solegit,0,0,1,2,0,0,0,4,1,2,1,6,0,1,1,0,14,5,1
9,10,19,19,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,12,4,1
10,11,14,13,P1 Solegit,0,0,2,2,0,0,0,5,0,2,1,7,0,1,2,0,20,6,1
11,12,13,13,P2 Slage,0,0,2,2,0,0,0,1,0,1,1,3,0,2,0,1,17,5,1
12,13,13,0,P1 Solegit,0,0,4,3,0,0,0,5,2,1,3,8,0,3,2,1,26,6,1
13,1,25,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
14,2,25,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
15,3,25,30,P1 Solegit,0,0,1,2,0,0,0,1,1,1,2,3,0,1,0,0,3,2,2
16,4,25,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,4,2,2
17,5,23,29,P1 Solegit,0,0,2,1,0,0,0,1,0,1,0,2,0,1,1,0,6,3,2
18,6,23,29,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,2
19,7,23,29,P1 Solegit,0,0,1,2,0,0,0,2,2,1,3,4,0,2,1,0,10,4,2
20,8,23,30,P2 Slage,1,0,6,2,0,0,0,0,0,1,0,2,0,2,0,0,8,4,2
21,9,23,30,P1 Solegit,0,0,1,1,0,0,0,2,2,1,3,3,0,2,1,4,11,1,2
22,10,23,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,12,4,2
23,11,23,30,P1 Solegit,0,0,2,1,0,0,0,1,1,1,2,2,0,2,2,3,14,3,2
24,12,23,30,P2 Slage,0,0,4,2,0,0,0,0,0,1,0,2,0,3,0,0,18,6,2
25,13,21,29,P1 Solegit,0,0,2,2,0,0,0,2,1,2,2,4,0,2,3,1,20,6,2
26,14,21,29,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,3,22,4,2
27,15,21,28,P1 Solegit,0,0,1,2,0,0,0,2,0,2,1,4,0,2,3,0,28,8,2
