,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,29,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,29,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,24,P1 Viper,0,0,1,1,0,0,0,2,1,0,1,3,0,1,0,2,4,1,1
5,6,30,24,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,1
6,7,30,24,P1 Viper,0,0,1,1,0,0,0,2,2,0,3,3,0,2,0,0,8,4,1
7,8,30,24,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,8,4,1
8,9,25,19,P1 Viper,0,0,1,2,0,0,0,4,0,2,0,6,0,2,0,0,13,5,1
9,10,25,19,P2 Slage,0,0,1,1,0,0,0,0,1,0,7,1,0,2,0,1,12,4,1
10,11,25,19,P1 Viper,0,0,5,3,0,0,0,0,1,1,1,3,0,4,1,0,19,6,1
11,12,25,19,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,1,17,5,1
12,13,23,14,P1 Viper,0,0,1,3,0,0,0,3,0,3,0,6,0,4,1,0,26,7,1
13,14,20,17,P2 Slage,3,0,2,2,0,0,0,2,0,0,2,4,0,4,0,0,24,7,1
14,15,18,15,P1 Viper,0,0,2,2,0,0,0,4,1,2,3,6,0,4,2,2,32,6,1
15,16,18,15,P2 Slage,0,0,1,1,0,0,1,0,0,1,0,1,0,4,0,0,32,8,1
16,17,18,6,P1 Viper,0,0,1,1,0,0,0,7,1,1,2,8,0,4,2,7,34,2,1
17,18,18,6,P2 Slage,0,0,1,2,0,1,0,0,0,2,0,2,0,4,0,4,37,5,1
18,19,18,0,P1 Viper,0,0,1,0,0,0,0,3,0,0,0,3,0,4,2,10,34,0,1
19,1,27,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
20,2,27,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
21,3,27,26,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2
22,4,27,26,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
23,5,27,18,P1 Viper,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,0,6,3,2
24,6,27,22,P2 Slage,4,0,8,1,0,0,0,0,0,0,0,1,0,1,0,1,2,2,2
25,7,22,9,P1 Viper,0,0,1,2,0,0,0,5,0,2,0,7,0,1,0,1,9,3,2
26,8,22,9,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,6,4,2
27,9,22,0,P1 Viper,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,5,9,0,2
28,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
29,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
30,3,30,29,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
31,4,30,30,P2 Slage,1,0,7,1,0,0,0,0,0,0,0,1,0,1,0,0,2,2,3
32,5,30,28,P1 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,5,3,3
33,6,30,28,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,3
34,7,30,21,P1 Viper,0,0,4,2,0,0,0,5,1,1,2,7,0,1,0,1,8,3,3
35,8,30,21,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,9,4,3
36,9,30,16,P1 Viper,0,0,1,1,0,0,0,5,1,1,2,6,0,1,0,1,12,4,3
37,10,30,16,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,13,4,3
38,11,30,7,P1 Viper,0,0,1,2,0,0,0,5,1,2,2,7,0,1,0,0,18,6,3
39,12,27,2,P2 Slage,0,0,2,1,0,0,0,0,0,0,4,1,0,2,1,0,19,6,3
40,13,27,-6,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,7,18,0,3
41,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
42,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
43,3,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
44,4,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
45,5,30,27,P1 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,5,3,4
46,6,30,27,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,4
47,7,30,21,P1 Viper,0,0,1,1,0,0,0,3,1,0,2,4,0,1,0,0,9,4,4
48,8,30,21,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,4,4
49,9,30,11,P1 Viper,0,0,4,4,0,0,0,5,2,2,3,9,0,3,0,0,14,5,4
50,10,30,11,P2 Slage,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,13,5,4
51,11,28,0,P1 Viper,0,0,2,1,0,0,0,6,1,1,2,7,0,3,1,3,17,3,4
52,1,25,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
53,2,25,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
54,3,25,29,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,5
55,4,25,30,P2 Slage,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,5
56,5,25,27,P1 Viper,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,0,6,3,5
57,6,25,27,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,1,0,6,3,5
58,7,25,27,P1 Viper,0,0,2,1,0,0,0,5,5,1,6,6,0,1,1,1,9,3,5
59,8,25,27,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,10,4,5
60,9,25,26,P1 Viper,0,0,1,2,0,0,0,4,3,1,4,6,0,2,1,0,14,5,5
61,10,25,26,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,1,1,1,14,4,5
62,11,25,23,P1 Viper,0,0,1,2,0,0,0,6,3,2,4,8,0,2,1,0,20,6,5
63,12,23,23,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,2,18,4,5
64,13,20,18,P1 Viper,0,0,1,2,0,0,0,7,2,2,4,9,0,2,1,4,23,3,5
65,14,20,18,P2 Slage,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,25,7,5
66,15,18,6,P1 Viper,0,0,2,1,0,0,0,7,1,1,2,8,0,2,2,4,27,4,5
67,16,18,9,P2 Slage,3,0,6,2,0,1,0,0,0,0,1,2,0,3,1,0,33,8,5
68,17,16,0,P1 Viper,0,0,2,1,0,0,0,3,0,1,0,4,0,2,3,5,31,4,5
69,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
70,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,6
71,3,30,30,P1 Viper,0,0,1,2,0,0,0,1,1,2,2,3,0,0,0,0,3,2,6
72,4,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6
73,5,30,28,P1 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,6
74,6,30,28,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,6
75,7,30,26,P1 Viper,0,0,1,1,0,0,0,3,0,0,1,4,0,1,0,0,10,4,6
76,8,30,26,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,9,4,6
77,9,30,20,P1 Viper,0,0,1,2,0,0,0,7,3,2,4,9,0,1,0,1,14,4,6
78,10,30,20,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,13,4,6
79,11,30,10,P1 Viper,0,0,1,2,0,0,0,7,2,2,3,9,0,1,0,3,17,3,6
80,12,30,10,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,19,6,6
81,13,30,0,P1 Viper,0,0,1,0,0,0,0,6,0,0,0,6,0,1,0,7,17,0,6
82,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
83,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,7
84,3,30,29,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,7
85,4,27,29,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,7
86,5,25,29,P1 Viper,0,0,2,1,0,0,0,2,2,1,3,3,0,0,1,0,5,3,7
87,6,25,29,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,7
88,7,25,26,P1 Viper,0,0,1,1,0,0,0,3,0,0,0,4,0,1,1,0,9,4,7
89,8,25,26,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,4,7
90,9,25,20,P1 Viper,0,0,1,1,0,0,0,7,2,1,3,8,0,1,1,1,13,4,7
91,10,25,20,P2 Slage,0,0,7,3,0,0,0,0,0,1,0,3,0,3,0,0,11,5,7
92,11,25,6,P1 Viper,0,0,1,3,0,0,0,5,1,2,1,8,0,2,1,1,18,5,7
93,12,25,9,P2 Slage,3,0,1,1,0,0,0,0,0,0,1,1,0,4,0,0,17,6,7
94,13,25,0,P1 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,2,1,6,19,1,7
95,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
96,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,8
97,3,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8
98,4,28,30,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,8
99,5,28,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,8
100,6,23,30,P2 Slage,0,0,2,2,0,0,0,2,0,1,1,4,0,2,0,0,7,3,8
101,7,23,29,P1 Viper,0,0,1,2,0,0,0,2,1,2,2,4,0,0,0,0,7,4,8
102,8,19,29,P2 Slage,0,0,1,1,0,0,0,2,1,0,6,3,0,3,0,0,11,4,8
103,9,19,29,P1 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,12,5,8
104,10,17,29,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,1,15,4,8
105,11,12,20,P1 Viper,0,0,1,3,0,0,0,4,1,2,1,7,0,2,0,0,18,6,8
106,12,12,20,P2 Slage,0,0,1,1,0,0,0,1,0,1,1,2,0,3,0,2,19,4,8
107,13,12,11,P1 Viper,0,0,2,1,0,0,0,6,0,1,1,7,0,2,1,3,22,4,8
108,14,6,11,P2 Slage,0,0,1,2,0,0,0,2,0,2,0,4,0,3,0,0,26,7,8
109,15,6,0,P1 Viper,0,0,1,2,0,0,0,7,2,2,3,9,0,2,1,5,25,3,8
110,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
111,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,9
112,3,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,9
113,4,27,30,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,9
114,5,27,30,P1 Viper,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,0,5,3,9
115,6,27,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,9
116,7,27,26,P1 Viper,0,0,1,1,0,0,0,3,0,0,0,4,0,1,0,0,9,4,9
