,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,28,29,P2 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,1
4,5,28,26,P1 Wabeka,0,0,1,1,0,0,0,2,1,1,1,3,0,0,0,0,6,3,1
5,6,26,26,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,4,2,1
6,7,26,20,P1 Wabeka,0,0,4,3,0,0,0,3,1,1,3,6,0,2,0,0,10,4,1
7,8,26,23,P2 Krebs1996,3,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,7,3,1
8,9,30,10,P1 Wabeka,4,0,1,1,0,0,0,6,1,1,2,7,0,2,0,0,15,5,1
9,10,30,10,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,12,5,1
10,11,30,0,P1 Wabeka,0,0,1,0,0,0,0,4,0,0,0,4,0,2,0,6,15,0,1
11,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
12,2,30,30,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
13,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
14,4,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,2
15,5,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,5,3,2
16,6,30,30,P2 Krebs1996,2,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,3,2
17,7,30,23,P1 Wabeka,0,0,1,1,0,0,0,2,1,0,2,3,0,1,0,0,9,4,2
18,8,30,26,P2 Krebs1996,3,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,9,3,2
19,9,30,18,P1 Wabeka,0,0,1,1,0,0,0,8,1,1,2,9,0,1,0,0,14,5,2
