,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,27,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
3,4,27,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,25,27,P1 Wabeka,0,0,2,1,0,0,0,1,0,1,0,2,0,0,1,0,4,3,1
5,6,22,24,P2 Orasha,0,0,1,2,0,0,0,0,0,0,2,2,0,2,0,0,4,3,1
6,7,22,24,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,8,4,1
7,8,22,24,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,1
8,9,22,14,P1 Wabeka,0,0,1,2,0,0,0,4,1,1,1,6,0,2,1,0,13,5,1
9,10,22,14,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,4,0,1
10,11,22,-2,P1 Wabeka,0,0,1,3,0,0,0,4,1,2,1,7,0,3,1,0,19,6,1
11,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
12,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
13,3,30,29,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,2
14,4,30,29,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
15,5,28,28,P1 Wabeka,0,0,2,1,0,0,0,1,0,1,0,2,0,0,1,0,4,3,2
16,6,25,25,P2 Orasha,0,0,1,2,0,0,0,0,0,0,2,2,0,2,0,0,4,3,2
17,7,25,24,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,1,1,0,8,4,2
18,8,25,28,P2 Orasha,4,0,12,2,0,0,0,0,0,0,0,2,0,4,0,0,8,4,2
19,9,25,17,P1 Wabeka,0,0,1,2,0,0,0,5,1,1,1,7,0,2,1,1,12,4,2
20,10,25,17,P2 Orasha,0,0,1,2,0,0,0,0,0,1,7,2,0,5,0,2,11,3,2
21,11,25,17,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,0,18,6,2
22,12,25,13,P2 Orasha,0,0,1,1,0,0,0,0,1,1,8,1,0,5,0,0,17,6,2
23,13,25,13,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,0,25,7,2
24,14,23,13,P2 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,5,0,4,20,3,2
25,15,17,13,P1 Wabeka,0,0,1,3,0,0,0,2,1,3,2,5,0,2,1,1,32,7,2
26,16,15,15,P2 Orasha,4,0,3,1,0,0,0,1,0,0,0,2,0,6,1,3,25,5,2
27,17,13,9,P1 Wabeka,0,0,2,2,0,0,0,4,0,2,1,6,0,2,2,0,41,9,2
28,18,13,9,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,9,25,0,2
29,19,13,0,P1 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,2,2,10,41,0,2
30,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
31,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
32,3,30,29,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,3
33,4,30,29,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
34,5,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,4,3,3
35,6,30,28,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,3
36,7,30,30,P1 Wabeka,0,0,1,2,0,0,0,2,3,1,4,4,0,1,0,1,7,3,3
37,8,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3
38,9,30,24,P1 Wabeka,0,0,1,1,0,0,0,6,0,1,0,7,0,1,0,0,12,5,3
39,10,30,27,P2 Orasha,3,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,9,5,3
40,11,30,21,P1 Wabeka,0,0,1,1,0,0,0,7,2,1,3,8,0,1,0,2,16,4,3
41,12,30,21,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,15,6,3
42,13,30,15,P1 Wabeka,0,0,1,1,0,0,0,6,2,0,3,7,0,2,0,3,20,4,3
43,14,30,15,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,20,5,3
44,15,30,16,P1 Wabeka,0,0,1,1,0,0,0,6,3,0,4,7,0,3,0,4,24,4,3
45,16,30,16,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,28,8,3
46,17,30,12,P1 Wabeka,0,0,1,1,0,0,0,6,2,1,3,7,0,3,0,5,28,4,3
47,18,25,12,P2 Orasha,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,1,36,8,3
48,19,25,11,P1 Wabeka,0,0,1,3,0,0,0,6,3,3,5,9,0,3,0,1,37,9,3
49,20,17,11,P2 Orasha,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,4,42,6,3
50,21,14,9,P1 Wabeka,0,0,1,2,0,0,0,7,3,2,6,9,0,3,0,7,40,3,3
51,22,6,11,P2 Orasha,4,0,3,1,0,0,0,2,0,0,0,3,0,2,1,5,47,5,3
52,23,6,0,P1 Wabeka,0,0,1,1,0,0,0,5,0,1,0,6,0,3,0,5,45,5,3
53,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
54,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
55,3,30,27,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,4
56,4,30,30,P2 Orasha,3,0,3,2,0,0,0,0,0,0,0,2,0,2,0,0,3,2,4
57,5,30,25,P1 Wabeka,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,0,5,3,4
58,6,30,25,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,4
59,7,30,17,P1 Wabeka,0,0,1,1,0,0,0,4,0,0,0,5,0,1,0,0,9,4,4
60,8,30,17,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,7,4,4
61,9,30,16,P1 Wabeka,0,0,1,1,0,0,0,7,2,1,2,8,0,1,0,0,14,5,4
62,10,27,19,P2 Orasha,3,0,1,1,0,0,0,1,0,1,0,2,0,2,0,2,10,3,4
63,11,27,13,P1 Wabeka,0,0,1,2,0,0,0,7,2,2,4,9,0,1,0,0,20,6,4
