,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,29,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,4,2,1
4,5,30,27,P1 Wabeka,0,0,1,1,0,0,0,1,1,0,1,2,0,1,0,2,4,1,1
5,6,30,29,P2 Slage,4,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,6,2,1
6,7,30,24,P1 Wabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,0,8,4,1
7,8,30,24,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,10,4,1
8,9,30,16,P1 Wabeka,0,0,1,0,0,0,0,5,0,0,0,5,0,1,0,5,8,0,1
9,10,26,16,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,1,14,4,1
10,11,26,14,P1 Wabeka,0,0,1,1,0,0,0,5,3,0,4,6,0,2,0,2,12,4,1
11,12,22,14,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,2,18,4,1
12,13,22,14,P1 Wabeka,0,0,4,3,0,0,0,2,2,2,2,5,0,3,0,0,19,7,1
13,14,16,17,P2 Slage,3,0,1,1,0,0,0,2,0,0,1,3,0,2,1,1,24,6,1
14,15,16,10,P1 Wabeka,0,0,1,2,0,0,0,6,1,2,2,8,0,3,0,1,26,7,1
15,16,12,13,P2 Slage,3,0,5,2,0,0,0,1,0,0,1,3,0,4,1,0,32,8,1
16,17,12,0,P1 Wabeka,0,0,1,1,0,0,0,5,1,0,1,6,0,4,0,5,30,4,1
17,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
18,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
19,3,30,29,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,2
20,4,28,29,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,2
21,5,28,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,4,3,2
22,6,26,28,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,4,2,2
23,7,26,26,P1 Wabeka,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,0,8,4,2
24,8,24,26,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,8,4,2
25,9,24,24,P1 Wabeka,0,0,1,2,0,0,0,7,4,2,5,9,0,1,0,0,13,5,2
26,10,22,24,P2 Slage,0,0,1,1,0,0,0,1,1,0,6,2,0,2,0,1,12,4,2
27,11,22,24,P1 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,19,6,2
28,12,20,24,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,18,6,2
29,13,20,22,P1 Wabeka,0,0,1,2,0,0,0,5,4,2,5,7,0,2,0,0,26,7,2
30,14,18,22,P2 Slage,0,0,1,1,0,0,1,1,0,1,0,2,0,2,0,0,25,7,2
31,15,16,15,P1 Wabeka,0,0,5,2,0,0,0,6,0,1,1,8,0,3,1,4,30,4,2
