Individual,Emitter,Generation,WinCount,AverageHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Weight:0,Weight:1,Weight:2,Weight:3,Weight:4,Weight:5,Weight:6,Weight:7,Weight:8,Weight:9,Weight:10,Weight:11,Weight:12,Weight:13,Weight:14,Weight:15,Weight:16,Weight:17,Weight:18,Weight:19,Weight:20,Weight:21,Weight:22,Weight:23,Weight:24,Weight:25,Weight:26,Weight:27,Weight:28,Weight:29,Weight:30,Weight:31,Weight:32,Weight:33,Weight:34,Weight:35,Weight:36,Weight:37,Weight:38,Weight:39,Weight:40,Weight:41,Weight:42,Weight:43,Weight:44,Weight:45,Weight:46,Weight:47,Weight:48,Weight:49,Weight:50,Weight:51,Weight:52,Weight:53,Weight:54,Weight:55,Weight:56,Weight:57,Weight:58,Weight:59,Weight:60,Weight:61,Weight:62,Weight:63,Weight:64,Weight:65,Weight:66,Weight:67,Weight:68,Weight:69,Weight:70,Weight:71,Weight:72,Weight:73,Weight:74,Weight:75,Weight:76,Weight:77,Weight:78,Weight:79,Weight:80,Weight:81,Weight:82,Weight:83,Weight:84,Weight:85,Weight:86,Weight:87,Weight:88,Weight:89,Weight:90,Weight:91,Weight:92,Weight:93,Weight:94,Weight:95,Weight:96,Weight:97,Weight:98,Weight:99,Weight:100,Weight:101,Weight:102,Weight:103,Weight:104,Weight:105,Weight:106,Weight:107,Weight:108
0,4,0,0,-30.545,0.010194624652456,5.395,1.77015755329008,7.72937905468026,1.79147358665431,1.46153846153846,75154.1742354031,7760,110,3.75555555555555,29,1,0,75154.1742354031,0.026331427370397,-0.0437930661647866,-0.0544010763358329,0.0149923426965976,0.0808561183663435,0.00928461678661021,-0.0372852560583353,0.0025210736113255,0.0813500031108431,0.0149510162949435,0.00646281058009225,-0.0265495980997992,-0.0528750560547879,-0.000930835686224779,0.0174772139704673,0.023013989300057,0.0625951791476934,-0.0341045373633976,-0.0320865377239064,-0.057858095477254,0.0918762203299982,0.0212741404511739,-0.0113634584502843,-0.01693312411285,0.0128500532602602,0.00820919175686686,0.0818919807488227,-0.0261759593747097,0.0442382247504271,-0.064186679636943,0.0492215669652266,-0.0635617211701773,0.0357967126068788,0.00588814516916127,0.00659521499195142,0.0309369273442064,0.0291170826598402,0.0221389675158234,0.0444302283931345,-0.0109709657084623,-0.0265070518428394,0.0176543922112852,0.00974381635635809,0.0891191341462192,-0.00502866660678289,0.065807321528535,-0.0925309330726223,-0.0589179292812469,-0.00541859465962948,0.00101105024193446,0.0694599902704607,0.015999697473875,-0.0162796641902439,0.0199379494786342,-0.0321300644024372,-0.025693204901114,-0.0576630607376637,0.0475915194663482,-0.0346382336528968,-0.033632429228759,0.0208001749215039,-0.00658331947096432,0.129253457600761,-0.0532073536755391,0.0378899492846687,0.0731495768600246,0.0397334134215056,-0.0875454669422095,0.0688968182599402,-0.0265517655900631,-0.0114977580432032,-0.0360859275370243,0.0261530726374074,0.118366252965418,0.104023894030604,0.108119933570284,0.0284291859513047,-0.0144810225117194,-0.0551951848187539,-0.0659129315956541,-0.0492869972358323,0.0589700967671721,0.0819424826168954,0.00930492244357899,-0.0345979692663039,-0.00511927540435908,0.0096977567801748,0.0502483485943076,0.039247638650422,-0.0318855380594816,-0.0200497679875222,0.0291397447546413,0.095548935841361,0.0326939279603551,0.0765926880440893,-0.0468621947750815,-0.0283939273587096,-0.0439647974210506,0.0220746824614149,0.0439469951148253,0.00369850882988962,0.053961230341774,0.00490572635672736,0.0117298531083252,0.015028334817093,-0.035568558953206,-0.115531481632116,0.0480991952857286,0.080873559252392
1,2,0,0,-30.635,0,5.315,1.76669802445908,7.70931326434619,1.66133584195673,1.52587017873942,-1047.09219190969,7760,110,3.75555555555555,29,1,0,-1047.09219190969,0.00152465002993421,-0.0746415209752201,-0.0124033516699171,-0.0208895434539198,0.00999186211747742,0.114286486050631,-0.0161354017383475,-0.0451837208069783,-0.00641158691585234,-0.00787363290386836,-0.0358687264629329,-0.000793850865543091,-0.0595217414685106,0.00863524247889695,-0.0388622775925478,-0.0649428365587128,0.00110088704168037,0.0981179791551656,0.0410196536400678,0.0774337100243698,0.0947272766103152,0.063411887001471,-0.00565772393381081,-0.00506430470346707,0.0686070737747177,0.016619585516977,-0.0260956942389393,-0.0513473993004212,-0.0199374003081108,0.03174349413126,0.0177049234730847,0.0109373076873205,0.046246469841159,-0.0076785360614618,0.0216654043481455,0.0248956052367225,-0.0646416677853069,0.0537115130740641,0.0469995634385156,0.0228907604359455,-0.0358934308152725,0.0927653264509128,-0.0131318118544304,-0.0251015329811364,0.0650170191766708,-0.00262127094453669,-0.0120700944203839,0.0133456086023309,0.0335624349145985,0.0174480233175387,0.00184397207683239,0.0360127230067699,0.0131172223791061,-0.000646378908079555,0.0851101314184064,-0.0118219221888231,-0.0303618747190214,0.127910143333431,0.145476781406184,0.0718034591454135,0.0501922225676758,-0.058930837973685,0.0652686589634079,0.0102036172118393,0.0368949701676507,0.0472207063278589,-0.0553950107878076,0.0485829364378711,-0.000227154262757814,0.000729104129095551,-0.096357951303098,0.0568488246269416,-0.00570994953838568,-0.00809905337095833,-0.00932025298019279,-0.0286569058374318,-0.0210214228760362,-0.0408143841921413,-0.00252144537682874,0.00611300981689241,0.0107490592269694,-0.0514058014121299,-0.0386399180966679,0.0160603618500343,-0.0272909562891836,0.0069152459276539,0.0691450194658597,-0.0847802930308869,0.0119009756623354,0.0585141772347204,-0.019511205055137,-0.0498805463133311,0.0105494748965895,-0.0227385952481095,0.00394676153673377,-0.0191082542636021,-0.0235122329740977,-0.0262359079754885,-0.0351146148464633,0.0568834236482749,0.0808923445090315,0.00866739962434142,-0.00168705731173093,-0.0814756114558138,-0.00949643599834897,-0.0314126576267868,-0.0354907369013981,-0.0935011310749599,-0.0110121590681972
2,13,0,0,-30.565,0,5.34,1.78558052434457,7.73408239700375,1.65730337078652,1.54307116104869,-46596.4147940075,7760,110,3.75555555555555,29,1,0,-46596.4147940075,-0.0937796632909178,-0.0434625684182921,0.0597451855094517,0.0462783284289827,0.123527123311141,0.029457068692783,-0.0670916479539603,0.00571354765004661,-0.0294707975195508,0.0112978053366597,-0.051656898810843,-0.0533399814792241,-0.050686362258583,0.0252076774326104,0.0487288822735815,-0.0914443968251031,0.0274349485382061,0.0997767344341788,0.00262060453463768,-0.00303395427290284,-0.0552661380100737,0.0511735874919404,0.00379646147111554,-0.0151272600743527,-0.0784470193921422,-0.00407228805336207,-0.011039966882244,0.0553875544948493,-0.0462696306606779,-0.0470938755061258,0.0411384471015362,-0.0158491057051756,0.00478952139454595,0.0684315940173703,-0.0386760330349375,0.0738665270841097,0.0119240152197462,-0.0345183493191388,-0.0254208761837849,0.0110141078878004,0.0804384599430612,-0.0232719974061583,-0.0280095042179013,0.0157030216898997,-0.0426379015190825,0.056799465205187,-0.0284525956724,0.0213605588825752,-0.0105519937168054,-0.0497121201435463,0.101338311121116,0.0161435712236651,-0.0336729308612951,-0.00288944230354356,-0.146500149489451,-0.108675571419622,0.0146267948712568,0.0445652740000903,0.063812253548203,0.0406679285888808,0.0762604836784921,-0.0174435746882376,-0.0563616952023452,-0.0173808685268227,0.0152103461294926,0.0293416493654684,0.00954762090235147,0.000560305189950909,0.00733399938207828,0.0119498385848501,0.0683213126658954,-0.0774339462163349,-0.0405124723522692,0.0630776064857168,0.00365580076701456,-0.118451703188977,-0.0390114325858126,-0.0367439611309437,-0.0240413527184044,-0.109983253697137,0.132641536443094,-0.00651365432994148,-0.0101788461496218,-0.00429307808025288,0.0938597192574478,-0.135022837961784,-0.0122726586492386,0.0493533651013118,-0.0541910362832317,-0.00418742536996548,-0.0531825952572706,0.0230160472307815,0.0362267745434455,-0.0378764891381275,0.0360140190254152,0.00581080050528851,0.0267966088736224,0.0415033954254142,-0.0039713043283782,-0.0112824397382117,-0.00773210813176491,-0.066660807226035,0.0604273922377141,-0.032943364820647,-0.00510168514293871,0.0369771856693937,-0.0238079456269085,0.0717771856337394,-0.0415990608438572
3,5,0,0,-30.68,0.0276752767527675,5.42,1.75922509225092,7.73062730627306,1.92435424354244,1.3570110701107,34815.323800738,7760,110,3.75555555555555,29,1,0,34815.323800738,0.0381154267861528,0.0510458470123692,-0.0112394683451378,0.0563258002652123,-0.0392553418479208,0.0130048825855388,0.017960738383777,0.0253997421638105,0.0362464756208446,0.0115140373196236,-0.0115397222659454,-0.0616214375510785,-0.0408609722281033,-0.131285527242638,-0.0035901380545503,0.0925514244283875,0.0392928801487132,-0.00421789572432064,-0.0474150320603478,-0.0151723513886922,0.094908987937759,0.00435707639553573,0.0390636626176811,-0.036290275542693,-0.0632119184100258,0.0395507787488064,-0.0218979588575421,-0.0162340313669165,-0.0446235128642515,-0.0341341023709987,0.0145938842197285,-0.0696770318376051,0.00852287065269967,-0.023416548163159,0.131793772036954,-0.0174973731667154,0.00325220229021629,-0.0621258515386247,0.01247145671183,0.0186688974820929,0.0475798246822613,0.0315316741540519,-0.0224106295493516,0.0115075771656529,-0.100258781352437,-0.0222839697944732,0.0392945398515716,-0.0580202119715338,0.00159899346154639,-0.0709256513153671,-0.0329223973039107,0.0134997081519348,0.025371619267357,0.036235400171997,-0.0165526623857031,0.0440415263544279,-0.0599410258373114,0.038707175328896,0.140499272595832,0.00201488151095865,-0.00969740696347506,0.0610839854559191,-0.0288323158795583,0.014685337043684,-0.102355962512782,-0.0298344821552903,-0.116769160082122,-0.0166995955334093,0.068189883605146,-0.0628078446462561,0.0765767297328801,-0.0238839718484159,-0.0969040867794387,0.035390325129322,0.0505092261090076,-0.0306661347242385,0.0845981970763982,-0.0119995286037149,-0.0507190076608316,-0.0130361825933093,0.0643018366410191,-0.0647470440455296,-0.032500896395015,-0.0689349744543567,-0.045860719682523,-0.0816262836743919,0.108802113770818,-0.0112537730705524,-0.105529186922694,-0.0593391630199448,0.0119811165306938,-0.00667352981900833,0.00773574370642468,-0.036694021775038,0.00724910100070932,-0.0596116545241718,0.0547833065949916,-0.0527846608586413,0.00901514946938581,0.0312445914531274,-0.0432112737539729,0.0602512071555123,0.00116273907536491,-0.0479559501200166,-0.0363234050683397,-0.00229397588402907,0.0583261299439051,-0.0411735448516564,0.0278285791057751
4,1,0,0,-30.56,0.0096153846153846,5.72,1.23076923076923,7.09003496503496,0.677447552447552,2.74737762237762,-20253.0996503496,7760,110,3.75555555555555,29,1,0,-20253.0996503496,-0.0547537011997756,-0.0396211294143604,-0.0483361956640236,-0.00160333905695207,-0.0642813887509917,0.0678776881760203,-0.0218748686225608,-0.0117749478314503,0.0419908694463862,-0.0293507592838799,-0.0775889594932687,0.0604193738810715,-0.0560135242230306,-0.0696766745682658,0.122745328400108,-0.0511313475887301,-0.00394749425491427,0.0648503577040409,0.031856053854882,-0.0807238919608501,0.0406018113264322,0.0589380202700567,-0.0153731776062181,-0.00634673401777,-0.0676805552785309,-0.0539372362778668,0.0408932242655606,-0.072783347576358,0.0278543131795219,-0.0522315734507752,0.0322453316084059,0.00787438358547682,0.0143352075539455,-0.0218194548594955,0.0376452085427669,0.0208070334020169,-0.0894815486517468,0.00039555042119718,-0.0468571383213573,-0.00204482482941436,0.0114103086419684,0.0854924753985699,0.061361309025468,-0.0412228480814921,0.0447963351997013,0.00435119829118513,0.12118905585972,0.0744841965210506,0.0316887457486613,0.0584279947553134,0.0581473164679698,0.00990502021302265,-0.031826499840662,-0.0324786362310525,0.0721896945682738,-0.0378182951254654,-0.0961094602988638,-0.0657846697814859,0.0835723181274591,-0.0283025840435138,-0.029280074102198,0.0726845508508426,0.0159971215574179,-0.0181634675780566,-0.00611475876153046,0.00901109048365371,-0.0428991170250626,0.114918942787918,0.0416001452898862,0.01621310758486,-0.0527717724656212,0.0465400776642256,-0.0201963783422045,0.0718815104635777,0.00469921037668254,-0.0531973052132535,-0.048080376892334,-0.0177133563378829,0.015444336760847,0.0537377371289222,-0.0576808647825546,-0.115006066668288,0.0630287133623745,-0.00631969620826809,0.0231156070184057,0.000824119612880677,0.0308663414548583,-0.0703025918216926,0.00965295201800343,0.0264644713926112,-0.0433226205631326,0.0840061766974901,-0.0546099594180091,-0.0347353005934187,0.0249200280639191,0.00772433513909299,0.0137083642041567,-0.00972024937507416,-0.0111631100775221,-0.0113343106162705,-0.0666731476255635,-0.0477766739073933,0.061844809906625,0.0140856951204523,0.0485950560897411,-0.0109251908108487,0.0315181618366651,-0.0346738166008076,-0.0197214886968983
5,9,0,0,-30.535,0,5.415,1.54847645429363,7.69067405355494,1.35272391505078,1.90120036934441,-14013.351800554,7760,110,3.75555555555555,29,1,0,-14013.351800554,0.0552380456682199,0.0566647799129711,0.0258114794043261,0.00300693808612775,-0.0130890917463124,-0.000546859695081881,0.022475857005459,-0.0370824684980638,0.0127870308687218,-0.00548636083047729,0.000977909658406006,-0.0555465999459172,0.0123051933089861,-0.0155064460650437,-0.0934502936131158,-0.0185055155610105,-0.0450450261349888,0.0492263635194997,-0.0403044266476142,0.0239583012644368,-0.0389716648276046,-0.0799884863227545,0.00961860914484528,0.0640928560179307,-0.0290413337896308,-0.0141119790344199,-0.0190264497978564,0.00731888862494896,-0.0208296478297728,0.0443690682490061,-0.0414565339656517,-0.00395642689886397,0.0154195416906844,0.0500896306098056,0.109885869836609,-0.0412268105387774,-0.0169356982050392,-0.018215899857627,-0.0227422395605655,0.0357548697400875,0.0888102682817685,0.0420857017628509,0.00970267461323466,0.00495218272843276,-0.0114048782427794,-0.0447864339571406,0.0710391487491597,-0.126436598362716,0.0565907951221298,-0.0716628005280007,0.0313795903715644,-0.0801496244039011,0.0589818588037763,0.0149015763699075,0.0257706483468151,0.0313601699581312,0.0812527896272177,0.00990910935691395,0.0726669422581346,0.0449016228108449,0.0493964915130821,0.0244370297274146,-0.0422203843950565,-0.0267654213042299,0.0246219048122211,-0.0748705734636445,-0.0733287345697088,0.0160528839410035,-0.10349005005614,-0.0234590151044883,-0.00655482570637331,-0.0356149501201172,-0.0295928798484247,0.0476851721475526,-0.0386851938283977,0.0213516657346344,0.12499927473047,0.0839324038527958,-0.03397884194939,-0.0919725557416453,-0.0179052611239221,-0.00368945556940162,-0.0342905772250042,0.0340835684330741,-0.0428056802557421,-0.0159152805251598,-0.00167088330114443,-0.0517588850702885,0.021034673751107,0.0452157904303891,0.025928480998323,-0.0228351885979578,0.0498793943508947,0.0079813982369775,0.0200324052554791,0.077850866611003,0.0094761806364901,0.0190286507652084,0.041663460951227,0.0815751486551856,0.0310989770184432,0.0215264434173404,-0.00836376267654551,-0.0115296220886352,-0.0784184227043548,0.0456087368526176,-0.0256086933824469,-0.00549078548107321,-0.00919517034817286
6,11,0,0,-30.705,0.0171673819742489,5.825,1.00515021459227,6.34849785407725,0.310729613733906,3.17854077253219,60588.0240343348,7760,110,3.75555555555555,29,1,0,60588.0240343348,-0.0420771577595672,0.0478376607486367,0.0823485239387178,-0.0646877945732112,-0.0748269104166014,-0.0597592554873173,-0.0533468022922686,0.0350467443794281,-0.00748295955672916,-0.114005478842704,-0.0519530947452012,-0.0451473370132248,0.0502421368005692,0.0572217830253223,0.0279259621807175,0.00656217193389692,0.0134928450421235,-0.0505348093891341,-0.0538553629387501,5.16844233760131E-05,-0.0413385270578751,-0.0963051260022157,-0.00612616959266111,0.0332647460190612,0.0137586766061391,0.00763376568968959,0.0548077132296764,-0.00871402571131375,-0.0174276413276558,0.0700581208378361,-0.0959163047084805,-0.00549426293946013,0.0243673159022553,-0.026095422972624,-0.0180217591732099,0.00864379091196611,-0.00651671128931853,-0.0542778710629252,0.0544459821507989,0.0630252776859728,-0.0538279844940972,0.0153487479336175,0.0335535812360177,-0.0175631391497071,-0.0219655356224659,0.00470159071227082,0.0454250372938092,-0.0282336122354228,0.0911653074679406,0.0498391398797315,-0.0583210918500529,-0.0492774392201671,0.0137881339965401,-0.106444772136784,0.00566502765558979,0.0524624893882714,0.0176688873615034,0.0276515818618437,0.0150482213197638,0.0827084516493426,-0.0414757178474362,-0.0341395111492431,0.0197895324980472,-0.0500352858061793,-0.0944679510713794,0.0486984501909844,-0.0116225137036544,-0.0130582177851938,0.0359548989812149,0.0373811270018578,0.0849502602041662,-0.115944568829425,-0.107494321706284,0.0535526101110966,-0.0101676783094038,-0.0456970797723601,0.172585704135829,0.035276442457362,0.0190209127583667,-0.0182259122241841,0.0147691015757601,0.0404021696673776,0.00600372947636994,0.0246601212151731,-0.0594421665966891,-0.0199978425222376,-0.0341076844667279,0.0167840681024515,0.00149314009728259,0.0355940411469333,0.0460185850170612,0.016250623724532,-0.123543832683836,-0.0721486606688449,0.035056469554062,-0.0344174674639514,0.0168239575337178,-0.0429428121447171,-0.0130490405531738,-0.00859759956946891,0.0021302524328825,0.00564130244772103,0.0397841906753338,0.00540447109181091,0.083880641485793,-0.0294300328770346,0.0317506273363225,-0.0204595352291823,0.0650000948733623
7,5,0,0,-30.64,0.001885014137606,5.305,1.78416588124411,7.72196041470311,1.60131950989632,1.57681432610745,76400.7841658812,7760,110,3.75555555555555,29,1,0,76400.7841658812,-0.0295145256591174,0.0630481757539179,0.0196267083146365,0.00286733228013046,-0.0428442557272677,0.138308371120598,-0.0247133298338813,-0.0300469048662164,-0.0281343237153147,-0.00890228256749623,0.00751790371093168,-0.0542779969064445,-0.0331492251399667,-0.00887017479540388,-0.0913915516368924,0.0106986247606115,0.0569856738672884,0.053743245439891,-0.13862286463611,0.0199103156871985,-0.0497989387518381,0.0862351550557028,-0.0322079506232149,0.00560824557322355,0.0193517727126825,-0.0443978917251353,-0.0732772921104381,-0.0498960907865684,-0.0797924168846325,-0.0167955535588216,0.00057897572762925,-0.0210063794535394,-0.00779088898792371,0.0404969123237873,0.0512867992398512,-0.0146809751505341,-0.011841753728186,0.0393550970215317,0.0213635151122916,-0.0546954452228042,0.0282838196622999,0.066835373599036,0.0754473403230898,-0.0575583198989549,-0.0764217322266189,0.0789135899998261,0.0835211579147636,0.0608140376541308,0.0343881999525447,0.0133383348043777,-0.0799303005053587,0.0212514756357674,-0.0592827633278985,-0.0867121408023728,0.0122946658393203,-0.0425507220537463,-0.0413033858940673,0.0672587571726605,-0.0316347598179267,0.0523544750413515,0.0366815234618104,0.0951821496959351,-0.0284490045347836,-0.0037927191165707,-0.076210361874181,-0.0545169989321151,0.0388219335889524,0.0357031022561028,-0.0107955496762313,-0.141168883858559,-0.0572212253867471,0.0114422814212797,0.0954496693024552,-0.00127360489535693,-0.0327497948350618,0.029375204726655,0.036673407079727,0.024534494085428,-0.0265056140185071,-0.0453987375897944,-0.00979646252690894,-0.0550866309784183,0.0165767496503399,0.114277884971475,-0.00387482995657092,-0.00781653322502568,-0.0361502847289167,-0.0821882190672861,-0.0373990475832822,-0.0919661232935646,0.000380100384871866,0.0658516521331442,0.0738111490668929,0.0135252439172637,-0.0257879626657094,-0.04783827550139,0.0143063140696324,-0.000513119992253753,0.0742414338920302,0.0288189666800837,-0.0774468465060287,0.0284330514018313,-0.0128020488709194,-0.0524231513884287,0.0652880890701402,-0.109069299757526,0.0239060296861598,-0.0291252218532623,0.0835604230426676
8,9,0,0,-30.585,0.0009000900090009,5.555,1.45544554455446,7.67326732673267,1.0963096309631,2.23132313231323,-10424.1467146715,7760,110,3.75555555555555,29,1,0,-10424.1467146715,0.0169456662988796,0.0323552729356607,-0.0626393497128923,-0.0506918004433198,-0.0210420610555686,-0.0960908966590007,-0.0523221245297988,0.00948594585864238,0.0204802200784651,-0.00790233793916116,0.0680433702168829,-0.0579141302774279,-0.0275029565435399,0.0175273160179565,-0.0150369506506773,-0.00347953687164915,-0.000510668076510315,-0.0496351344838466,0.020480850029436,-0.0579278175263253,0.00252675478310011,-0.105714669496492,-0.00225124370031065,-0.0423696493337505,-0.0590915888812157,-0.006377699843925,-0.0387013028937669,0.00423185793463896,0.00495334859729903,0.00180696432325012,0.00739853453476662,0.00744942052324025,-0.0125463242935495,0.0151722787747286,0.0856125958501111,-0.0360402337353437,0.0299181976163601,-0.0602423365712467,0.0426950567955449,0.0019184307154781,-0.0600567231478226,0.0315652798570321,0.0455825161526696,0.0187400791101143,0.017765483338165,0.0397494413165596,-0.0291107550297539,0.0415439187326482,0.014348041501806,0.0435014292065438,0.0213365520449495,0.0173404481854156,-0.0935746537115094,0.0320750478612242,-0.0219090822744636,-0.00141965608182709,0.0617762670597278,0.127095576461998,-0.0191826208281469,0.0355437683708876,0.030777916507535,-0.082458707132216,0.00929218504814714,-0.036589040369026,0.0116794105628063,0.0277512942910819,-0.0212840766755423,0.0620737419409693,-0.0684093299636383,-0.00397052827000103,-0.014420530841244,0.0478180770897691,0.0419343085214589,0.035926230839735,-0.00373771986967358,0.0561740143216939,-0.0758502679266928,-0.00824985248811922,0.0165790455330087,-0.053523009450879,-0.0744388179450707,-0.0082295206409328,-0.000435689883351793,-0.00896934653865637,-0.0275761898549119,0.0836881376506139,0.046773194905427,0.020478421696513,0.00672577174241752,0.0776010381066305,0.035247631143407,-0.00116717477364602,-0.0456886884030971,-0.0186229086874595,-0.0303096669760532,0.00300675854426339,0.0951561489177882,-0.0255094517529427,0.0197989638777215,0.0540650863558383,0.106730398608161,0.0353388180337908,0.0621687508523498,0.0340661018915403,0.0731162289745226,-0.00304621147201611,0.00537595539718838,0.0128360599862293,-0.0307613673242907
9,13,0,0,-30.63,0,5.35,1.74766355140187,7.73831775700935,1.6214953271028,1.58224299065421,17665.523364486,7760,110,3.75555555555555,29,1,0,17665.523364486,0.0430386842555401,-0.0904321456740442,-0.0149444931078393,-0.0200903117489804,0.0243061324515211,-0.0746279190697604,0.106724364494787,0.0573335156367652,-0.0924035703160789,0.0309290190544899,-0.0287724402720425,0.0246460656606645,-0.144108337061771,-0.0244119862843572,0.0534092858732062,0.00951870201305046,-0.0454339614360323,-0.0467506672122866,0.0259614449833356,-0.0672540490695153,-0.0255829290062998,0.0433693152432366,0.0494778822611955,-0.0376156736468569,0.0297943320262048,0.0188323311726205,-0.00118540001763792,-0.0502725966126239,0.023351694219053,0.014725985900061,-0.0350934996701066,0.00458097531556498,-0.0677391489506436,0.0755605897490832,-0.051899831846551,-0.0569357797793513,-0.0415542597466902,0.0321490183308967,0.0314495686880445,-0.0524323319103829,-0.00664837938822375,-0.0280102951927756,-0.0706244305659583,0.0034328006183946,0.00296869973028919,-0.0664949169529679,0.0423569826362237,-0.0770490972559507,0.00551223767895165,-0.103357683178083,1.86719950702378E-05,0.0130972248368885,0.0038600889010418,-0.0259618252365382,0.0249126875245138,-0.0240727208443385,-0.00226599126708992,-0.0627731640279364,0.112672199385671,-0.0326144031423116,0.0350491744422923,-0.0139544232243797,-0.0734497624378865,-0.00639650057869288,0.0283388471005883,0.0732526623257886,-0.0658062157171213,0.00324961498905201,-0.05622507589215,-0.0314957594879576,0.0183727911167386,0.0637231150441735,0.00451615499387338,-0.075908705172352,0.0732799242391618,-0.0496666986518536,0.0551281865300013,-0.103609916501996,-0.0183451980363003,0.0153664946349911,-0.0655721615257043,-0.00974479251788003,-0.033975403955706,-0.0471757689118797,-0.0401120656914929,0.0658870752819655,0.0176846779529382,0.0107231932280592,0.00308157420117665,-0.0333204215872168,0.0360451629342328,0.0324519452752139,-0.0279425417103694,0.0134924213688991,0.00671922004158832,-0.0125439217815486,-0.110003326309678,0.0658184044552406,-0.068689766303821,0.0547523410602926,0.0144657628944356,-0.0554305882036316,0.0163116976889445,0.0197580692385444,-0.0461669109465883,0.0393348988434816,-0.00987409459140676,0.0143030289049755,-0.00493399237981714
