Individual,Emitter,Generation,WinCount,AverageHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Weight:0,Weight:1,Weight:2,Weight:3,Weight:4,Weight:5,Weight:6,Weight:7,Weight:8,Weight:9,Weight:10,Weight:11,Weight:12,Weight:13,Weight:14,Weight:15,Weight:16,Weight:17,Weight:18,Weight:19,Weight:20,Weight:21,Weight:22,Weight:23,Weight:24,Weight:25,Weight:26,Weight:27,Weight:28,Weight:29,Weight:30,Weight:31,Weight:32,Weight:33,Weight:34,Weight:35,Weight:36,Weight:37,Weight:38,Weight:39,Weight:40,Weight:41,Weight:42,Weight:43,Weight:44,Weight:45,Weight:46,Weight:47,Weight:48,Weight:49,Weight:50,Weight:51,Weight:52,Weight:53,Weight:54,Weight:55,Weight:56,Weight:57,Weight:58,Weight:59,Weight:60,Weight:61,Weight:62,Weight:63,Weight:64,Weight:65,Weight:66,Weight:67,Weight:68,Weight:69,Weight:70,Weight:71,Weight:72,Weight:73,Weight:74,Weight:75,Weight:76,Weight:77,Weight:78,Weight:79,Weight:80,Weight:81,Weight:82,Weight:83,Weight:84,Weight:85,Weight:86,Weight:87,Weight:88,Weight:89,Weight:90,Weight:91,Weight:92,Weight:93,Weight:94,Weight:95,Weight:96,Weight:97,Weight:98,Weight:99,Weight:100,Weight:101,Weight:102,Weight:103,Weight:104,Weight:105,Weight:106,Weight:107,Weight:108
0,0,0,0,-30.175,0.10580204778157,5.86,1.0179180887372,5.14931740614334,1.38566552901024,2.21587030716724,-371997.320819113,9140,75,3.45,15,13,0,-371997.320819113,0.173572839784237,-0.33961143686418,0.696225326366827,0.547692367596408,0.422357495605181,-0.900617486750995,-0.0442996672560925,-0.668504306892168,0.714609563217782,0.988859899336873,-0.023972203500556,0.447493785734984,-0.559935034047782,-0.106732246050021,0.491150558689214,0.850880902191103,0.0949967182683744,-0.828366605485029,0.206367722342893,0.915241803934445,-0.831381053585271,0.0110737667470582,0.269743639635734,-0.400645055529031,0.135767416626107,0.29855549954742,-0.826030670584194,0.387839073030203,0.328427544482251,-0.792571883552043,0.352899828624399,0.276684076188451,0.197037952578179,0.513659598079351,0.800235408265253,-0.52754066489988,0.705834447269251,0.504598697416763,-0.661164795822075,-0.427127375000681,0.142776300731477,-0.671851039711317,0.206146778169156,0.163271985558454,0.731765217022861,-0.62955640332287,-0.825470982969492,0.089608411812041,-0.144425762418856,-0.778810983420727,-0.953831450992185,-0.041986810528667,0.960422717016387,-0.607362739558966,-0.821924568070995,-0.837500926962821,0.390644923500086,0.0968703818958581,-0.588075049029698,-0.876198003942239,0.925413183833199,0.567861259713704,0.00306814862558058,0.507181446769825,-0.364039929287527,0.699343720310993,-0.749544166843195,-0.0735946321271335,0.093032345684726,0.0186912235890939,-0.854953545078148,0.590398020851611,0.832798190337046,-0.366504902656425,-0.227534496797032,0.840469986126046,0.804926988577902,-0.89352834592272,-0.132410272551892,-0.234676180051023,0.124026482516912,0.0843609176037652,-0.467735164550941,0.107238527902979,-0.838740432559857,-0.605113360846934,0.316261359172064,-0.195599307862855,0.335584166150346,0.637736335228074,0.0818144116000339,-0.391035934626607,0.0926737464464613,-0.784966791879836,-0.352540558833881,0.574915041017772,0.325080811663103,0.698965331399332,-0.472688085154019,-0.967578503288132,-0.880012236479676,0.248123649157641,0.996576066127315,0.83688301399205,-0.923857438342579,-0.544229471843797,0.125214999134287,0.326927619672812,0.620171757238066
1,0,0,0,-30.4,0.240755310778914,6.355,1.29110936270653,4.75295043273013,2.86782061369001,1.0684500393391,94965.538945712,9140,75,3.45,15,13,0,94965.538945712,0.587715295882763,0.6273094488435,-0.211289090668452,0.654960551138483,0.632075015284156,-0.0429579061656064,-0.113916277472822,-0.372111512055672,-0.713154556096138,-0.253543084139723,-0.0498685385332762,-0.70870165792699,-0.250288773910277,-0.925043927470708,-0.0819817404644478,-0.524697499128383,0.537383125879515,-0.902854112863007,-0.768762862202135,0.706235484083293,0.245049976392207,-0.00600732071604926,-0.427812292905437,0.914759698284212,-0.818650962700439,0.792050032779598,-0.299119382770322,0.878679708521198,-0.917311386166751,-0.817476532337012,-0.397613687160245,-0.913359927904494,0.761599478200823,-0.133458855158397,0.966584105029043,0.247842748299168,-0.280723340474406,-0.625396936026121,0.787615173397407,-0.352989534546151,-0.460423612715874,-0.497349251758936,-0.223494375694308,-0.992508769031851,0.792301443308732,0.712305273726725,0.415444987553845,-0.4505501927112,0.803697323335194,0.257370117705953,0.544090537142051,0.251225277432811,-0.315814238654363,0.807860582046146,-0.596714217027982,-0.406277383401188,0.0551217417489374,-0.126048788952664,0.473611513838922,0.840024982504558,-0.743838523395284,0.00740401400597945,-0.454800125888921,-0.895678023759126,-0.855929396979478,-0.136508610628782,-0.470301136127813,0.88317008124812,-0.891628032499751,0.670175511236384,0.756025841346023,0.162780061905636,-0.690469286260414,0.584226672344015,0.166659096799166,-0.257600771848858,-0.782512945021742,-0.435303523873586,-0.87754174502452,-0.530956236427164,-0.623394954774247,-0.848569190059122,-0.925017614813995,-0.174681503872704,-0.361567069479063,0.351161035406944,0.402454310749869,0.953738896154677,-0.536744638130416,0.372861488430231,-0.807278993449769,0.845325448478258,-0.0990084498650434,0.947590190892848,-0.609151011150866,0.532172373278147,0.957450874129986,-0.327816351935182,0.863420627947627,-0.0711899460624856,0.182606409854538,0.532274906305724,-0.558922160211449,-0.866478187901191,0.501344276359931,-0.618689524763585,-0.0583054363067753,0.0999590890016215,-0.358798514753021
2,0,0,0,-29.75,0.106312292358804,6.02,1.18770764119601,5.52159468438538,1.70764119601329,2.00166112956811,302827.806478405,9140,75,3.45,15,13,0,302827.806478405,-0.767342471409283,0.967243452541178,0.225838472706191,0.27530701052179,0.167630394533104,0.459891766058231,0.393473047480673,0.0160907297470099,-0.568403973974476,0.537218772590728,-0.00988874538330764,0.067242425432076,-0.920883631296867,0.216020790494988,0.0119313630330988,-0.597234938106143,0.856162879549043,-0.294579765430922,-0.0791375781777955,0.301611190336575,-0.533535191572055,0.788799390098452,-0.175183983135588,-0.822866551495561,0.943994392614809,-0.800494137127183,0.620128584848777,-0.848934811469603,-0.38580803544531,-0.756639039961919,0.63442297169679,0.544659304220536,0.138596388110237,0.116806080153587,0.501176684862551,-0.992816722948484,-0.0557820215149699,0.608391555775139,-0.125252051802935,0.277693291789709,0.687746697891386,-0.000990395900323238,-0.893262029575772,0.613852503529681,-0.636364578100091,0.191578100058985,0.91596612237206,0.00225414475531038,0.524885488452802,-0.0709256609300737,-0.153434716702176,-0.252570647398276,0.149779792479137,0.642129906286546,0.0330763259125297,-0.556141861507735,0.142427435676766,0.0487050242017513,0.331312617906981,-0.031875468339713,0.839763181209454,0.242407858950276,-0.59810123480768,-0.811764934012557,0.902795800893938,0.445451950396156,0.928646037321839,-0.0376897114504546,0.714844105632437,0.00474808598158316,0.458547083408827,-0.752228676226097,0.830672286372014,0.643169130032495,0.61386449244519,0.467455204328268,0.682061419674224,0.210963513334731,0.81349802660453,-0.247583707444176,-0.716460259499243,-0.382125559906534,-0.373820299922405,0.685117625484764,0.396795676740257,-0.113006380904935,-0.605120488258601,0.496466481823691,-0.916270245758942,0.0573185463702859,-0.135244158625251,0.895512954283279,-0.722921062131841,0.906623416536778,0.437930110580255,-0.55466116105889,-0.402889161092643,0.918502904436785,0.711056702635743,-0.081816528496247,0.262932062737146,-0.0463441661774853,0.287410039122873,-0.479862597528781,0.4705272556611,-0.401206040476079,-0.0832429337702891,0.506610662446642,-0.971734586158644
3,0,0,0,-28.335,0.259493670886076,7.11,1.30309423347398,4.78270042194093,1.51195499296765,2.53023909985935,442252.848804501,9140,75,3.45,15,13,0,442252.848804501,-0.736053823370512,0.951768440171968,-0.93312854689226,-0.662090994260316,-0.601552053169139,0.179981109304345,0.235531538368916,-0.769071316238992,-0.504849565916159,0.594495646466732,-0.964195749705749,-0.990736578586854,0.435543491242241,0.0893244785672633,-0.746566207961443,-0.84632574666586,-0.243060683479095,-0.0559737668633339,-0.944860790830506,-0.214700358554116,-0.26166670455675,0.128519276682529,-0.470182450241494,-0.36255173448592,-0.0313850962703047,0.945302808631818,0.93483302646076,0.853890681571276,-0.6818286607423,-0.96348213216452,0.277276546357794,0.538049664133252,-0.802227891889507,-0.650290566333705,0.19868825431852,0.360227429941403,0.947639184979554,0.477053057158856,0.976791078213971,0.212224120838672,0.300161971384735,-0.515214837861813,-0.673872903768845,0.48901399573731,-0.763042719924377,0.591410294916206,-0.00676401937695403,-0.491998746754601,0.703208511557061,0.107759898112975,0.801699615922617,-0.0181734222072053,0.609220238220515,0.0775988945167507,-0.0843692073060056,0.135426899946959,0.421950890413463,0.429423187593661,0.369294102009988,-0.546854861800957,0.245148082843585,0.38164085679764,0.912757344503308,-0.541367433751639,-0.682780899891062,-0.502245413839,0.811491313302653,0.0858340575759458,0.890636224248743,-0.106793637902845,-0.793964931645414,0.279886259362049,-0.0327648450773046,-0.157084911669178,0.485137670061149,-0.746451866694936,-0.197607819548625,0.0408035540211962,-0.599509014561544,0.377204608813489,-0.0479331719912277,0.426831773215361,-0.849317829985785,0.210411441144725,-0.765181748087137,-0.704550031435001,0.928829425912737,0.120173213593742,0.434078640972301,-0.936738645628439,0.93827653952794,-0.481784002614107,-0.892241044851132,0.523645940014928,0.967076037995087,0.918521114587095,-0.427972182365121,0.867494529982793,0.171794895628372,0.739202693914623,0.779918981613554,0.9074019230471,-0.382634971003344,-0.189997850540093,-0.0982751702416107,-0.478186643439432,-0.985408577129901,-0.233694850110307,0.592461224455601
4,0,0,0,-30.355,0.0424646128226478,6.005,1.23896752706078,6.34804329725229,1.12073272273106,2.98168193172356,143922.10990841,9140,75,3.45,15,13,0,143922.10990841,0.660886554820876,-0.623764438379446,-0.509574734377477,-0.248507043928144,0.00456775026608613,0.463419937278805,-0.895269333336162,-0.0675783711800251,0.719881377983783,0.465889045719937,-0.207090432386422,0.461037078621349,-0.42404003228249,0.419914719378536,-0.264489520929982,0.477454504686154,0.910700392867765,-0.738211488229321,-0.638059477153262,0.193377683494881,0.63448672352102,-0.215051645978844,0.54530340691344,-0.298724151821213,0.193648201037966,0.286437353718298,-0.155669861079971,0.710352970152326,0.941460573087195,0.323974219767365,-0.742877544715478,-0.590533528286281,-0.697504778251753,0.312537410907697,-0.197631192951291,-0.00337407319032312,0.702295740927707,0.093832492406402,0.89642379986887,-0.515829746385957,-0.713881677814704,-0.400249255541828,-0.762430503853797,0.206294602344881,0.0705110603340486,0.467772975316165,-0.393353557862972,-0.887639813072812,0.705567360718533,-0.343932692587344,0.590643883492166,-0.880478036534264,-0.420245959153513,0.90658140550674,0.00671476172595975,-0.12406179920028,-0.169067845292887,0.789149417443736,0.55784475503389,0.718130396547788,-0.380910201641223,-0.605622303488488,-0.00903894426722029,-0.604092841783582,0.208766590435415,-0.616556904100141,0.158541856873101,0.263422556809812,-0.382454087670173,0.738884552260341,0.775158763758447,-0.183132099538637,-0.634635288098192,0.877770269232695,-0.0927406386904142,0.0347359790628479,-0.452621142125046,-0.660991195431441,0.630764787844738,0.7258752257218,-0.32020908841873,-0.26803004800716,-0.995214390566207,0.285393265674539,0.733330336275199,-0.862399508181214,0.829712430867233,-0.604086183758493,-0.694177350818262,0.926430606248989,-0.834306227897436,0.913146323483971,0.535987737372512,-0.821706596678918,0.865080455255266,0.891740625673784,0.608789688725392,0.841662337929785,0.997528011909466,-0.31293203556581,-0.690768881556936,0.343223885327216,0.494814274597361,0.966682808458192,-0.119091456345791,-0.226224016969196,0.754157251563928,-0.298016228386209,-0.000677955802845798
5,0,0,0,-29.97,0.0408333333333333,6,1.09083333333333,5.825,0.935833333333333,2.76166666666667,644734.0775,9140,75,3.45,15,13,0,644734.0775,-0.297325261541328,-0.35912487626035,-0.496399339053966,-0.877726876119956,0.480507585909454,-0.543538948308462,-0.144590064484901,-0.0338668343768767,0.85453573886982,-0.0888177822757595,0.144270079743243,0.514873321873543,-0.886130442789816,-0.177826460068033,0.941361252191179,-0.871682058960051,-0.96007931789387,-0.112747075554331,0.214471819444779,0.748526354203246,-0.0385277862839996,0.868999889059458,-0.856679349139649,0.690523855244053,0.850281909038444,0.367292979437529,-0.79965215725808,0.314863769018493,0.8152092005197,-0.655790436852626,-0.154627481081815,0.578225593817525,-0.562998308596666,0.526479969511964,0.484794657437501,0.684646612817723,-0.115654838790956,-0.263964907854779,-0.395167731398329,-0.124242701159903,-0.100442073820365,-0.946898248953232,0.284228497782828,0.428905275384386,0.198510188236139,0.769738316428726,-0.996366796082056,-0.763381879666532,0.39408889384665,0.788473650714603,0.267657633529817,-0.941920500221625,-0.736735401552513,-0.285534526820078,0.620607461603641,-0.166325150600786,-0.502445527120701,-0.186923194298019,-0.7280087851584,-0.886785393528075,-0.743886791050381,0.540546166496606,0.150923965103423,0.510326175722446,-0.934190301193944,0.566044485925717,0.0778716304702087,-0.41261041230178,0.337378882494466,-0.743285360626544,0.243972779830905,0.303885589960909,-0.717579344156002,-0.661285479395318,-0.15103157197639,-0.0916295373307678,-0.415228608723371,-0.285584624524035,-0.507986332992085,-0.919456407390282,0.363659775519585,0.963729722408452,0.920774875171843,-0.973264450194903,0.0765519296175576,-0.21270698086019,0.314960995370038,0.722536218223412,0.905872507908322,-0.348880191961713,0.187092139938424,-0.928731644492937,-0.535956122696379,-0.508382337870254,-0.380355910109522,0.35901175968303,-0.0978222140566549,0.773902322060383,0.36309557657833,0.632465702310421,-0.308133314041483,0.416243616219723,-0.100760762160998,0.137374254473194,-0.455499129116302,0.963772043568907,0.775658843934377,0.924550077842805,0.865497045156312
6,0,0,0,-27.72,0.183529411764706,6.375,1.38745098039216,5.02823529411765,2.55529411764706,1.46039215686275,-895005.251764706,9140,75,3.45,15,13,0,-895005.251764706,-0.031561631258373,0.935032262436595,-0.493601131948457,-0.324323738610523,0.753709661659649,-0.158318554590605,-0.854106157018853,-0.830087868417654,0.307421775212242,-0.935738991916058,-0.575112182449136,0.52763062693534,0.549187469086232,0.146578371127405,0.817613318477577,0.912870365154403,-0.28158511187955,-0.885676741546801,-0.773760677209944,-0.0897107473992327,0.0267639304635878,0.848174472268752,0.946117633928599,-0.150583635620113,-0.329493283913235,-0.103065500549537,0.834264960994136,0.0479452661461874,-0.590872086394053,0.674010084790182,0.0302373119770722,0.520128656886578,0.450833687303045,0.348178519563833,-0.149904903559901,-0.372997354424092,0.269327548923589,-0.405306072628734,-0.235032084041756,-0.0762688010354847,0.564286712354183,0.790164555325249,0.330171827846287,-0.337022136588126,-0.509900249312585,-0.681337576211122,-0.223877823550197,-0.703226004588989,-0.955459699945273,0.564749093523598,-0.0678963377456629,-0.58799531571008,0.527029780450757,0.363821183035067,-0.0771433669501652,0.120263896472875,0.988914628507995,0.656982503671657,-0.994830454697288,-0.143224837790814,0.00741648441525933,0.0979485768349602,0.760784217976399,0.63341169042206,0.0340236961068696,-0.0952408393357139,-0.923203060367705,-0.798991050477601,-0.703516725312693,0.190610672901669,-0.356457183769186,-0.876279039250817,0.349355342494955,0.302508123825541,0.346002540246585,0.236599375138338,-0.481997355577535,0.283139770516725,-0.640683386307528,-0.648155707702113,-0.87918767699934,0.537490965583125,0.00340496609146013,-0.155621179917651,-0.258093577464155,-0.381767372312847,0.993098876435821,-0.912987495732022,-0.574678113486002,0.729831199967224,-0.361911982932087,0.612345045251933,-0.410475617931446,0.908192753749058,0.916314714549256,-0.533661864480778,-0.970619662651149,0.696760137424227,0.628954167305005,0.585340590023129,-0.758134515843417,-0.424886773072596,-0.999709279276295,-0.146070372846942,-0.0787937227072165,-0.191617298494846,0.0626493417949645,-0.775478343374784,-0.982181357211518
7,0,0,0,-28.155,0.174657534246575,5.84,1.00941780821918,5.15154109589041,1.55907534246575,1.95291095890411,-218045.443493151,9140,75,3.45,15,13,0,-218045.443493151,0.971978782663112,-0.671440657075234,-0.508076649861446,-0.841615370401002,0.83196952931209,0.0383394849665182,0.887119846365936,-0.610407912922282,0.70556779005824,-0.33742317805878,0.0711660986166289,-0.446269334967374,-0.237371959368406,-0.0424000923719258,-0.308884693919162,0.573190780157778,0.862012440274475,0.280880163088851,-0.812928691419274,-0.987310186022571,0.0155187356358015,0.425946290337456,-0.294283480054831,-0.658519207340907,-0.0563031765894514,0.416644107278736,0.336567026254054,0.23715567739548,-0.961897199024398,-0.59551527797967,-0.0404456467556048,-0.616556759745142,0.127728659253441,0.396591772044353,-0.666156133481374,0.597871263324223,0.673770421964009,0.754761693884973,0.704018208060422,0.139953918354564,0.97796060888933,0.502148538596066,0.903221898667152,0.179085515988565,-0.0736380867071628,-0.866662700598437,0.54660307781147,-0.614376022300858,-0.196301031483477,-0.606507971699586,0.0188961033797339,0.492895819941953,0.567085942983202,-0.310706042363637,0.983803308561353,-0.453967507674344,0.622842822979597,-0.849557442520539,0.214687806188449,-0.584674577966647,0.701772458712465,-0.350035831029544,-0.648510713897883,0.30108306803791,0.703022468696824,-0.312277141638229,0.426002005779185,0.366036268587241,-0.376243958890552,0.0932440427566152,0.899420358193768,-0.892749253610498,0.576861955028429,0.0471173902261617,-0.965270794911902,0.513370197039736,0.522724391670304,0.526631003956604,0.415118879366256,-0.189640475991015,0.870041029467266,-0.0490569514450883,-0.566543291121043,0.644610772675188,0.385588618640596,0.466658533302442,-0.183642702728343,-0.561565298382922,0.412788463483,0.78781137419297,0.975028440344626,0.523327864484548,-0.459926112303476,0.288692786027069,0.4381814596421,0.327996439918874,0.150659252493949,-0.397861169370758,0.47606304729174,-0.761360945068933,-0.292664706377622,-0.819433190775771,0.761867936589694,0.710454925759907,-0.505928329893354,-0.0883546430097681,0.916033864913524,-0.48003144724296,-0.345435247451735
8,0,0,1,-29.07,0.403763900769889,5.845,1.23866552609068,4.96578272027374,1.1830624465355,2.4114627887083,416472.189905902,9140,75,3.45,15,13,1,416472.189905902,0.694580646089549,-0.753241827596557,0.0893372823900251,-0.752646823298487,-0.695171254545064,-0.707587928375037,-0.187185625167184,0.76636388048826,0.912412054795964,0.949803985631933,-0.441510572769451,0.292917074306364,0.243480132540446,-0.096084432255516,0.499596562003529,0.10168194077056,-0.847604331489468,0.69432782367539,0.545405768577664,0.458787571386801,-0.75684746809157,0.75144990056355,0.490039574676212,0.611215353762366,-0.114865571779602,0.00653345929762983,-0.788943015872009,0.850692279567333,-0.611321268422213,0.287920723337643,0.344391212493363,0.408909517065114,-0.402546508890831,-0.70637487140781,0.917557475118692,-0.0732249510815484,-0.638179505075412,0.404597091211284,-0.964119655994754,0.16257483286903,-0.0227775708878308,0.916019145360225,0.77556260757873,0.959159449655171,0.408400435656496,-0.309453925727612,0.168129939198554,0.523174944111693,0.90466091404886,0.442589608692839,-0.799351835529949,0.729089693971486,0.326572032331755,0.981106276615107,-0.440209084861078,0.943130745525999,-0.243281402272769,0.478121928627659,0.362218748481115,0.298295286157306,-0.918644912503029,-0.0378779047345174,0.377685148910473,-0.37550866854168,-0.39458722686143,0.149579910165435,-0.304536416802805,-0.0501449960517441,-0.0136419073742078,-0.427178486914923,-0.260138554154028,-0.252201422700752,0.658447479670144,-0.617169064291366,-0.518434857725368,-0.672866613451795,0.975887292984821,0.53088012502104,-0.79718508189413,-0.80541164605199,0.838403520099075,-0.312117959983702,0.946031365518473,-0.0539108771150517,0.0872725588675927,0.615301518521878,-0.917662515266641,-0.383652785505938,0.733834213453268,0.974426729592693,-0.829943548808779,-0.116301433703071,-0.957621657269831,-0.26241494215206,0.0812197453720587,-0.984899666153313,-0.461666003550247,0.151071276120409,0.353746676516601,-0.741179474508939,0.995082491075193,-0.781725064749701,-0.463183148514099,0.331839400963783,-0.297271837153133,0.452849587170803,-0.929357785698659,-0.0562589033768787,0.499541134340475
9,0,0,6,-21.92,0.415810276679842,6.325,1.34150197628459,5.1905138339921,2.17154150197628,1.47193675889328,778491.22687747,9140,75,3.45,15,13,6,778491.22687747,0.92492869213453,0.506287816682033,-0.465950777505502,0.169751154803555,-0.0711606773879196,-0.752153263311905,0.895259870167477,-0.725792300759718,0.833043094646671,-0.576620061684689,0.32840580741335,-0.119243792779392,-0.778230177135314,0.1871964015007,0.808562974356377,0.245519510118998,-0.697262691192917,-0.93457473159515,0.671573163788567,-0.425399689667579,-0.386447843809821,0.682230056115533,0.908631318206262,-0.439707790240509,-0.013257259043519,0.526540588367051,0.0669833026206974,-0.154347559043368,-0.822551562368195,-0.065820508201523,-0.0738749443897395,-0.052173725819296,-0.703399953294266,-0.24311170971166,-0.965921247362122,-0.607908174212979,0.733872298027329,-0.685311938489467,0.637096962722529,-0.435284590085635,0.396775713840861,0.760095641836569,-0.453393715179243,0.138077994407191,-0.217160772167687,0.334269397582053,0.833132754933616,0.166194797105247,-0.120676322430687,0.63580325601427,-0.0742364940579219,-0.726464861876548,0.967585080288157,0.6798100693523,0.898137716529024,-0.757301363981004,0.597656498475772,0.973757012735008,-0.816991586152926,0.40229873424503,0.180863434067398,0.049607429210845,-0.903240738391523,-0.101136397151806,0.497254882705051,-0.619420466767354,-0.415843839485125,0.464881532576346,0.153117648862823,0.416471148569356,0.511647212091669,0.98804924729655,-0.57167169431768,0.106857753874202,0.177824596491561,-0.146543485646389,0.135623771294776,-0.229446676200929,0.777452981927177,0.652473343374428,0.693407833433434,0.900788505515451,0.966328763387319,-0.458354818382466,-0.991584014143601,-0.347410082513192,-0.0197588061074534,-0.383210022646566,-0.141249426240683,0.791380116618881,-0.205564672688751,0.760115285292321,-0.868320352336541,-0.7652017715225,0.383851975846967,-0.652831715369984,0.663336380228091,0.647742681972563,0.64082311170214,-0.597740305400333,-0.249886762932822,-0.631748777642729,-0.986922851757576,0.462852528999957,-0.875843956077399,-0.0622857413544718,0.845206832441132,-0.139272673586045,-0.498014527139261
