Individual,Emitter,Generation,WinCount,AverageHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Weight:0,Weight:1,Weight:2,Weight:3,Weight:4,Weight:5,Weight:6,Weight:7,Weight:8,Weight:9,Weight:10,Weight:11,Weight:12,Weight:13,Weight:14,Weight:15,Weight:16,Weight:17,Weight:18,Weight:19,Weight:20,Weight:21,Weight:22,Weight:23,Weight:24,Weight:25,Weight:26,Weight:27,Weight:28,Weight:29,Weight:30,Weight:31,Weight:32,Weight:33,Weight:34,Weight:35,Weight:36,Weight:37,Weight:38,Weight:39,Weight:40,Weight:41,Weight:42,Weight:43,Weight:44,Weight:45,Weight:46,Weight:47,Weight:48,Weight:49,Weight:50,Weight:51,Weight:52,Weight:53,Weight:54,Weight:55,Weight:56,Weight:57,Weight:58,Weight:59,Weight:60,Weight:61,Weight:62,Weight:63,Weight:64,Weight:65,Weight:66,Weight:67,Weight:68,Weight:69,Weight:70,Weight:71,Weight:72,Weight:73,Weight:74,Weight:75,Weight:76,Weight:77,Weight:78,Weight:79,Weight:80,Weight:81,Weight:82,Weight:83,Weight:84,Weight:85,Weight:86,Weight:87,Weight:88,Weight:89,Weight:90,Weight:91,Weight:92,Weight:93,Weight:94,Weight:95,Weight:96,Weight:97,Weight:98,Weight:99,Weight:100,Weight:101,Weight:102,Weight:103,Weight:104,Weight:105,Weight:106,Weight:107,Weight:108
0,12,0,0,-30.61,0.0701107011070111,5.42,1.85977859778598,7.65867158671587,1.73247232472325,1.51291512915129,10487.5848708487,4080,75,3.71666666666667,29,1,0,10487.5848708487,-0.0381506601128,-0.0611854989171489,-0.0849810303817528,-0.023636220355828,0.0317317973687248,-0.0107422675213122,0.0269174157762197,-0.0323004463891283,-0.0365373660567698,0.0118861971694296,-0.00222024891934039,-0.0101797852299966,0.0617212525870899,-0.0881637455271321,0.0361005385875437,0.0237991687472011,0.103593299366708,0.0106123500883535,-0.0521987584963005,0.0208712731174369,0.0600148195928355,-0.063796463880452,-0.112024516113598,-0.0274621104292846,-0.0442315937773718,-0.0268612885993729,-0.00123977188486114,-0.0158123685582128,0.0407952735949936,-0.0682517012718127,-0.0387068386528931,0.0783551088631991,-0.0680707959172291,0.0109450639302712,-0.040659585055317,0.000390901123770649,-0.0196889126510736,-0.00570845450733457,-0.0267470948956468,-0.0127301745699497,-0.0210861710222698,-0.0605517871832526,-0.0154566290881557,-0.00918093984130504,0.0616079081697285,0.0300893868201576,0.0136775522259433,-0.0278892414324137,0.00453075362495183,0.0694393687948223,0.00820373143731699,-0.0116512069400441,0.0667239094670568,0.00487692290327213,0.0416004826391438,0.0121503488419735,-0.0567372755773377,0.00141478469594533,-0.0556121257412247,0.0403618258286907,0.0184778383139481,-0.0276629902733561,0.0256702310800765,-0.0877133459463284,0.0862688353504629,0.00817100908060228,-0.045486108855563,0.0282777686315981,0.0886534941326781,-0.0271583889191323,0.0308788213755677,-0.087664629530844,0.0345161360847803,-0.0303997316080509,-0.0578373029019211,0.0573478102905259,0.00290995832059407,0.0120815530452978,-0.030666310424004,0.0896724670315707,-0.114129427559258,0.0605816429111124,0.00701911511143685,-0.0218921633619686,-0.00495410826745855,0.0240970065531731,-0.00943106527964515,0.0154977924535201,-0.0121442742532074,0.0494311909538577,0.00042289846155552,0.0599144013803752,0.0254903622642029,-0.00373764833330721,0.0706536875513391,-0.0221974163515728,0.0427314473062886,-0.0378824833614312,-0.109446390982533,-0.0267812606884389,-0.0518738750289263,-0.0394676938273823,0.0116938065500265,-0.0087838833317327,-0.0064592883637147,-0.0693541599475913,-0.0794378387152772,-0.0178402998021888,0.00208314626249018
1,3,0,0,-30.68,0.050561797752809,5.34,1.79026217228464,7.67977528089888,1.60112359550562,1.62172284644195,45931.6554307116,4080,75,3.71666666666667,29,1,0,45931.6554307116,-0.00289277393089052,0.0172744510859546,-0.0417151494867374,0.0352008000675939,0.00917113501939946,-0.0757184718522909,0.0888703073269495,-0.0032075551560058,-0.0357654576669739,0.0433072492285835,-0.0135417249718181,0.037145122883385,-0.00703631722000192,0.0954958035387511,0.0330946753008812,0.0804574796709662,-0.0317616726314269,-0.0414976034012033,-0.0503175984664334,-0.0343451393234889,0.0511489362768871,-0.0123304470596033,0.0691061234905624,-0.00215969277819426,-0.0129043413756011,0.0375176132197865,-0.119363374319852,0.00727898806454633,-0.0885693642233906,-0.00317284029268971,0.0159407189310442,0.00641324041207337,-0.0165075941233961,0.0117451313314533,0.0377095814933706,-0.0766655924023662,0.0641101010019005,0.0597057055475904,-0.0398424097832557,0.00124590564666428,0.000703351563610232,0.0170649910723896,-0.029575374487216,0.0280658798053301,0.0195436870163623,-0.00590339465770315,-0.0343251163819301,0.0134276833487911,-0.0379539062434958,0.111685951407691,0.0445474519144827,0.0143632099002407,-0.0813303167685404,-0.00347251454109774,-0.0573162333019048,0.0208454161929016,-0.0390736016003205,-0.0192796828673722,0.0203459413407939,0.0629226179018299,-0.0480817465676319,0.00305273953882835,-0.0428044038591941,0.0167813189321897,0.0653037177202346,-0.0313765110800052,-0.0356949778922845,-0.0518266062989294,0.0397050599153489,0.01776421839748,-0.0101304308315818,0.0336983950290221,0.0207802052398873,0.0182427224321927,0.00769244071423758,0.0305687296881318,-0.0186312872915725,-0.0388495873415069,-0.0405387088595763,-0.000943264042303645,-0.0388863555416175,0.0351399290890565,-0.0926061372102708,0.0138985819786457,-0.0901693709990652,0.0668774197400633,0.0244508311443245,0.0230576671234821,0.151113813798041,-0.0886359279185366,0.0103366651148328,0.102284298913228,0.0720209723565664,-0.07627691879458,-0.0110580113414312,-0.0810633054340847,0.0501162131380173,0.149595424433244,-0.0936855251938036,-0.0461952033054368,-0.06944439520911,-0.0641386074070874,-0.0336749461004953,-0.0122608002920321,-0.0442767412359885,0.0348039014964452,0.0267845485103652,-0.0473406312114064,0.0216200277697355
2,6,0,0,-30.46,0.0904255319148936,5.64,1.63120567375887,7.37943262411348,1.34574468085106,2.02482269503546,35121.8989361702,4080,75,3.71666666666667,29,1,0,35121.8989361702,0.0291403812114426,0.0753370700586046,0.0402591252393248,0.00392681789545903,0.0479080645752501,0.0645312235252249,-0.0058316339705555,-0.0146020792116248,0.135604639485381,0.0275302165545694,0.0792767392300435,-0.0474147310246173,0.0452315523159591,-0.0658218468762616,0.0168185896985253,-0.0854994307121136,-0.00406269489554755,0.0378561363255905,-0.00379196332254898,0.0202773368405831,-0.0364789645269758,0.0548692924975126,0.0916089645289188,0.00664748041149989,0.0302309352581352,0.050055355422678,0.0874429624399738,-0.0244667520445875,-0.00065365510749097,0.0398613025428422,0.00958891047384574,0.0262792164228002,-0.0160940797105755,0.00978365602456295,-0.0791821300148932,-0.00057295347958981,0.0794312569906424,0.00556334898639471,0.039622405059095,0.0362941229054118,-0.0716736749568793,-0.0166701921178799,-0.0888785405779953,-0.0292490364813185,0.0603505578387262,0.0517919412456793,-0.0214735222850405,-0.0488754833520002,0.0170832752108057,0.0394638205634442,0.140926715989906,0.057007351855853,-0.0330400269786975,-0.0740963410898617,0.0280578332790915,0.00843432821758555,0.024007223000637,0.0333494701280594,0.0673014075511594,0.00472880936447908,-0.14807155861104,0.00598132823246327,-0.0705066977803093,0.0477667516272514,-0.0214859561787063,0.0320122568519232,0.0200667633472092,-0.0556099608305411,0.0195495692606114,0.0684637112552572,-0.0337650516336614,-0.0282883935352793,0.0681644020998501,0.00240050329473783,0.0164076669843044,-0.00631397531136237,0.0519937050149857,0.0684768456580693,0.0673987495250883,-0.00477260367090406,0.0551855131689727,-0.00138111821338224,-0.0369003718102,0.0382731792572964,0.0720432238925793,-0.0438033510862815,-0.0281365547505476,0.0370917402225963,-7.93211785494478E-05,-0.0133335351804843,0.0800487011171082,0.0206974403477637,0.0586403388537407,-0.00497530296165873,-0.00296418892168196,0.0553076507410157,0.0842638024743546,0.0117116650022059,-0.124521804295835,-0.0425788512276209,0.04563842838607,0.0742082428970356,0.000180278784413645,-0.0407529235464563,0.0322081475207639,0.0630862402164159,0.0465958147515913,0.0165231810702169,0.0259090959825541
3,1,0,0,-30.42,0.493761140819964,5.61,1.66844919786096,7.63279857397504,1.72549019607843,1.65953654188948,91827.7700534759,4080,75,3.71666666666667,29,1,0,91827.7700534759,-0.021193099052747,0.0112515048795267,-0.048746615171064,-0.00834187223710131,0.0340727449249784,0.0764402091945289,0.0232925577648633,0.0120998074669339,-0.0243935175204707,0.0558274992325035,0.0417833294926085,-0.0423571337522843,-0.00795136901227548,-0.0256261069767264,0.000243830183911424,-0.0621197024016609,0.0290372934861636,0.00548954763767708,-0.0180127001708935,-0.0745401563423246,0.0909340573261556,0.0159068400278172,-0.0482308581480563,-0.0175205079620721,0.0332651522535356,0.0590440063347582,0.0658804211980558,0.0618736754487632,-0.0181631766122245,-0.0430054040252378,0.0341005009449971,0.131561119009353,-0.0158885834865992,0.00694800227140347,-0.0551163394359437,-0.0046472080227983,0.0602411484767982,-0.0194680664915773,0.0289472770201625,0.0167594386839527,0.147515451347454,-0.0926554162713932,-0.000532765938916222,-0.00179602953314536,-0.0246402452613797,-0.0948506642832454,-0.0287526701425415,-0.0476959850034914,-0.0371085857567358,0.00944137621056911,0.0256409063961203,-0.122033434275799,0.0140766587977624,0.00670000280449317,-0.00934173745494973,-0.0210209734332939,-0.0105443466169843,0.017937273353756,0.00677333970160965,-0.0637447386620098,0.00439125834375643,-0.0494285415146052,0.0344479805529568,-0.0282354258185654,0.0594306279847225,-0.0593376338906644,-0.00572544697294287,-0.00972978762061806,0.0648733928138342,-0.0312139495360157,0.115105487394518,0.0466165758844096,0.00235306897114853,-0.00209589400705996,-0.0242023192011317,-0.0128237827420706,0.059781716244592,0.0448030711995749,0.0622422955675107,-0.0809919188116018,0.035181678027584,-0.0223703723986703,-0.0357725741803046,-0.00762798092863933,-0.0222586845965281,-0.0821536985075819,0.0383017225269365,0.0252445801166058,0.0208858604501282,0.0276131238101,0.0674864257507885,-0.102745686574301,-0.0159756837910613,-0.0403820292714702,-0.0192053447347551,0.0255209869483163,0.0763816745640239,-0.0392148912042016,-0.0382379111792935,0.0143880149352323,-0.0490399914601784,0.00458614624224618,0.0556383778484495,0.00375448349952801,-0.0011800966365147,0.00259663762087635,-0.063399221680027,0.082366916360029,0.0910531464252
4,7,0,0,-30.24,0.127134724857685,5.27,1.86907020872865,7.60151802656546,2.04554079696395,1.12903225806452,36905.3510436433,4080,75,3.71666666666667,29,1,0,36905.3510436433,0.0466278521342994,0.00517671882417544,0.0416422323664689,0.0734079102709749,0.0677543372353791,-0.0833115980075309,0.0335526793687745,0.0176931669176674,0.0328615849427688,0.000728323041816024,-0.0358831956736981,-0.023749421944647,0.00033412941082708,-0.0124756964765385,0.0385412050800351,-0.0864855110090223,-0.0419214056627503,-0.00783065286440752,-0.128614100965528,0.0225447680319309,-0.00587655603958253,-0.0922084474651981,-0.0202112229556071,0.0794222804182524,-0.0252338879928606,-0.0469687136297187,-0.0789664521987756,-0.0627084290726158,-0.0485112547798565,-0.025675498525302,0.0570833202247469,-0.0250209176321584,0.055049207484092,-0.0931545425467467,-0.0823061295397228,-0.053389588560905,-0.00634987956583243,0.0298382914478199,0.0186797314574377,-0.00761090692797695,-0.0800750004246833,0.0534532774127515,-0.0185135158740635,0.0129513171309732,0.0688845945389879,0.0733809288751712,0.0855193214368356,-0.0453671320212855,0.0790015164038153,0.0500425563696516,0.00777761227991761,-0.0200883094686519,-0.0568546698757471,0.0314494218988413,0.010834330129085,0.0085682953947389,0.0166573388007312,0.000388559280598125,0.00625368746899223,-0.0545891017273322,0.0280956765217923,-0.0249811614049095,0.0151469566947932,-0.0464483761376374,-0.0319483518430754,0.000394385898196583,-0.0401848010803177,-0.0386247910606896,0.043491904737804,0.0117783025809651,0.0145004837697653,0.0103973943035882,-0.0726203702856024,0.028774057307247,-0.0557966042857804,-0.0595273888950297,-0.0423659757766192,-0.0504990351851816,0.0630545461403115,0.0443558510859983,-0.0104920365456127,0.00754571760801349,0.00672645925498225,-0.0270521975146296,-0.0476995135044569,-0.0251129754017346,0.0143575211667439,0.0423796269644644,0.0219605740134416,-0.0262713652669857,0.00789787797442972,-0.0624366921665854,0.0546187493557105,-0.0396657555534297,0.0271833630585307,-0.0205702380602442,-0.0202953738790586,0.0410127448390878,-0.0682894579269619,-0.0541717062564093,0.0101865811030933,-0.0236617793838327,-0.0113512012983652,0.0169368119921095,0.0781015337479651,0.00900170924901659,0.00435707599223113,0.0039473670594101,0.0396581428667598
5,11,0,0,-30.62,0.1375,5.6,1.70357142857143,7.39285714285714,2.45892857142857,1.075,-63416.1375,4080,75,3.71666666666667,29,1,0,-63416.1375,-0.136216155890192,0.0414854441686982,-0.0852477016942307,0.0270163463466366,-0.0584289207452511,0.00491395122435748,-0.0437733678817198,-0.027242042120231,-0.0740154884331277,0.0155694674532277,-0.104335470336213,-0.0348754085662942,-0.0505968338187944,-0.109189198074893,-0.0267350389982632,0.0825058595370636,-0.0975189389666666,0.00463316885503055,0.0218612846882989,-0.0636793775379788,-0.0701724128600171,-0.0399384288416433,0.0464051049164036,-0.0267305142948054,-0.0676266198217576,-0.00268461602213053,0.0235933733359036,0.0692934382992292,0.00866187901272883,0.0036034408673023,-0.0354928215793561,-0.0701637726898119,-0.00301666903527429,-0.00927884224693126,-0.0621899951945232,0.0430970619739477,-0.0593266252321691,0.103428884223134,0.031582053698494,0.0732930729462371,0.0239409667949586,0.0378590011529189,-0.0177757992086211,-0.00715197343504327,-0.0342770061442195,-0.114845579656229,-0.020037703075187,-0.0105777757603275,0.0311889164428789,-0.0492638656309535,0.0555168133597294,-0.0149564293492961,-0.0159032271572568,-0.0869414113720876,-0.000916485819708544,0.00393916753996759,-0.00902528312852404,0.0280240431822897,0.0608624946784635,-0.000176571838870478,0.0124012745940768,-0.0396718653575086,-0.0302039347854566,0.00725757923903197,-0.016908829371818,0.00922320122443858,-0.0970424865014086,-0.0167823824058647,-0.00972087477438624,0.0678484456781433,0.0493855377159671,-0.00388351398420813,0.0262393070697155,-0.046163806740244,-0.0569434862821851,0.124105830582212,0.0570857139867957,0.0582168433030753,-0.00784584021517438,0.0250624875420082,-0.0517519690097056,0.0157650820239533,-0.0886782485066924,0.0111460522080967,-0.0433930185305041,-0.0457993311761414,-0.00365554026808547,-0.0042170599768547,-0.0432264275679038,-0.0514503823963162,0.0861543934502074,0.0891432198283011,-0.030697319998692,-0.0402596563747408,-0.0584958183170334,0.0363480161751394,-0.0435617395104611,-0.0273298980610651,-0.0460136846243624,0.0616476931310257,0.0957671693259014,-0.00968193324601315,0.0422321242902914,0.00591117710892968,0.00875003280736793,0.0315581766573229,0.0598777055072212,0.0166674601661365,-0.0464768885782383
6,13,0,0,-30.82,0.0315985130111524,5.38,1.84200743494424,7.72862453531599,1.90706319702602,1.31970260223048,8512.4405204461,4080,75,3.71666666666667,29,1,0,8512.4405204461,0.00575031250161315,0.0660787877250482,-0.0418285059839664,-0.0295354961619268,-0.045633956507314,-0.176029737195747,-0.033393916325324,-0.0187002846801742,-0.0256456881649925,0.0151159874165576,0.00881307603234793,-0.0228085525518806,-0.0402454343110004,-0.0757141814999432,-0.0543360181168547,0.0171720049408845,-0.0411658866935783,0.00309232048584445,0.0887654428264665,-0.0695260166709211,-0.0768268442621331,-0.0389888225672218,-0.0300445053466215,0.0151831908897835,0.0203086815208189,0.00673335791166465,0.0252775980736592,-0.030882553722436,0.0391644317784662,-0.0240818550055489,-0.0304488128415869,-0.0505658311470103,-0.0180851949154017,-0.0489798248476769,0.0619689588533158,0.0317729210064135,-0.0914686359935183,0.0166435488163485,0.0213284807835758,-0.12657421575097,0.0332015233402127,0.088870519255967,-0.0284329080138441,0.0191588933884692,-0.0669342609209407,-0.0212957830583976,-0.0219847120481288,-0.0618472796713816,-0.051456315815458,-0.0391789097989483,-0.000640133232088707,-0.0330586585357657,-0.00155212267153969,-0.030127831433202,-0.0321846968564719,0.0294723385950241,0.0685467947597092,0.0212063614834769,0.055360450684738,0.000643017525728439,-0.0248269928505776,-0.0190296416984123,-0.0540126620693874,-0.0280827615984506,0.0497979674513429,0.0458368406966588,0.053670193189589,0.0363409672221046,0.0241890734174861,-0.0263368539047789,-0.0320609942534652,-0.0297907405852197,0.00553565680078899,0.0558938366460471,-0.0742410248555044,0.10194568621189,-0.070050016410471,-0.047151158363167,0.0791541548315684,-0.0739635424958031,0.0786896395984202,0.0173524326198278,0.00830205818495163,0.020845366617501,0.0273391639854816,0.00556444682597867,-0.0337607758144935,0.0200671746867098,-0.0405702655871998,-0.0595535520467736,-0.0117223306801283,-0.0539792298485925,0.0141846286335658,-0.0173026239872064,-0.0454010825622671,0.0700775641912695,-0.0899886936836423,-0.0503138774719412,-0.0291188638658561,-0.031065727795215,0.0270448076337632,0.0572890992746395,-0.00736273597022173,-0.0449024505409401,0.0159538429958137,0.137376509838667,0.00424411106075875,-0.0634401896338077,0.024651889669361
7,4,0,0,-29.11,0.489795918367347,5.39,1.72356215213358,7.10575139146568,2.22263450834879,1.19666048237477,38144.3896103896,4080,75,3.71666666666667,29,1,0,38144.3896103896,-0.0672309969666796,0.0174944022515422,-0.0523040543813559,-0.133135764637108,0.106428825953551,-0.0483532117458523,0.0014924241817353,-0.00190564835588697,-0.0123877655616312,0.0678080012072932,-0.0282100421386204,-0.0108371071615291,-0.0164162546018175,0.0439041460931901,0.00380145823486378,0.023407910886528,0.0532883439655536,0.0649098295698742,0.0549774689000234,-0.0653761597565517,0.0374687491347334,-0.0434194682190451,0.0205748304738208,-0.00877303161349216,-0.0756259430850349,0.0377042988694116,0.0367153100740556,0.0549742186578688,0.035870087449239,0.0134508547163815,-0.0228833579244285,0.0427928173445564,0.0587733837769897,-0.0925151913916333,-0.0380833977017266,0.0246436104429158,0.0552720848059456,0.0240006889438615,0.0693550026586463,0.0449275005807242,-0.094321365286074,-0.0755694341843244,-0.0291162936896094,0.0504697977714547,0.00495656044948077,0.034999345201488,-0.00320086668740252,-0.0261244790719925,0.00850774914230912,-0.0331619669149065,0.0892274040641513,0.0246441314828489,0.0813249167132771,0.026967035153095,0.0585802494434197,-0.00719455054051086,-0.0281492470362615,0.0165875316441226,-0.0415191909621742,-0.0274327548238487,-0.00834473585859248,-0.0205815384500804,-0.0333435150370765,-0.00578283009783517,-0.0926512820970707,-0.0250310046669471,0.0075913431883923,-0.116289097847267,-0.0135482798338679,-0.0143911274304407,0.0281705919862398,-0.0990977936646257,-0.0906872341338725,-0.0188468006831153,0.0209271088258237,0.0767981565070895,0.0254120718363347,0.0381846682330336,0.0523212788183724,-0.0110365018215872,0.0632088552312135,0.0779979903768817,0.00282848376019362,0.0131736403296521,-0.0299384187319629,0.0616960874354211,-0.0898506085794585,-0.104843633523607,0.0268017283079976,-0.0213736920439153,-0.0524154963555137,0.0115824015048367,-0.000505689999389292,-0.0313374289530526,-0.0672030355570871,-0.0535167044090211,-0.00456181665871517,-0.0166231641162687,-0.0134610571685102,0.0492227114618406,0.0325639862811205,0.00380070302238386,-0.0229686436891407,-0.102803499078561,0.0341632997457935,0.0358803922191203,0.040348881754493,-0.00704149550871301,0.0354227544240261
8,5,0,0,-29.41,0.211786372007366,5.43,1.70165745856354,7.26519337016575,2.7182320441989,0.793738489871087,-2550.31123388582,4080,75,3.71666666666667,29,1,0,-2550.31123388582,-0.0169938288199521,0.00550122501784142,-0.105902716493648,-0.0452138889041479,0.0658078396091713,-0.00396437289465613,0.0267239310692876,0.000424845056591925,-0.00203607126781374,-0.0252756870896256,-0.0590825281799977,0.0219712833754027,0.0870885403953081,0.0393461497976046,-0.0639958922461691,-0.00377579384695599,-0.0540889499467406,0.0147982820620326,0.0716344681585206,-0.0126418964904055,0.022819984524962,-0.0362815643461574,-0.0512823276307686,0.0696383235210909,0.0161160476675745,-0.0433374252235544,0.127291545571298,0.032810769123821,0.0551621523841572,-0.0285750738004842,-0.0752382077932924,-0.0657749186775043,0.022677617505039,-0.0748048154986453,-0.0457206593643623,0.0559596984579188,-0.108653062253801,0.027558835540417,-0.00740628358745595,0.0076232554787394,0.0192255660159678,0.0581739093143479,-0.0529538851313622,-0.0051129484970538,-0.105171763704399,0.0063010061602384,0.0504303731499905,0.0649119039872636,-0.0296075096502929,0.0900817278593825,-0.0191102645202528,-0.0321541435492411,-0.00678040794262514,0.0479354531774648,-0.0724740954491539,-0.0123566354644496,0.0234866780823984,0.0154555649171403,0.0615508441143474,0.0445969275206195,0.0438063958578388,0.0064713211193917,0.0259240256356218,-0.025875199389455,-0.0528859620459531,0.0431273711494689,-0.047688835626578,0.0288358510141231,-0.108838925009844,-0.0507656100601321,-0.072355991055473,0.0478622513219488,-0.028294305863155,-0.00994582880488713,0.0874330719414261,-0.0105600371945592,-0.016899261105836,0.0331296508679345,-0.017337610430472,-0.029366247889431,-0.0573292350565807,-0.00333297285716598,-0.0406339387276614,0.00974880345991662,-0.0213009697880165,-0.119874690595896,-0.0731790039434892,-0.00448734416756087,0.0183096187922689,-0.0295118642769779,-0.0670903744080251,0.0431968331478086,-0.0895711934787386,-0.00353565472256877,-0.0665097149108096,0.0055078907143886,0.00376629114814675,-0.0535162385941241,0.00447508691965992,0.00531889727188583,0.0686962112313397,-0.0589578860967106,0.0122944974298641,-0.0275309631603994,0.102361141544919,0.0144572346723812,0.00545253482608089,-0.0197986192355932,0.00362171258678878
9,6,0,0,-29.83,0.0289115646258503,5.88,1.04761904761905,6.21598639455782,0.799319727891156,2.79081632653061,2676.67176870748,4080,75,3.71666666666667,29,1,0,2676.67176870748,-0.0364439410301472,-0.00429517274379343,0.0252219780351225,-0.0461718438585309,-0.0120465183197743,0.0775651211505975,-0.0504644782327153,-0.0496639452041361,0.055299422608727,0.0187525145613667,0.0539301877130075,-0.0142399692459035,-0.0562940912451051,0.0147153908942679,-0.0331197647431726,-0.103989530284244,-0.0380565325096963,-0.036244903779968,0.0448196214574896,0.0283116300960056,-0.0366114159536038,-0.0372155195457239,-0.0216372004288823,0.0105725611796595,-0.000522478659633605,0.0493802525508419,-0.0628338221783394,0.0528938299595024,-0.0374114147936413,-0.0135718831472154,0.0108062367545807,-0.00269119527742898,0.00854329860358809,-0.0563552166056731,-0.0775284197702177,0.00852928115375873,0.070607172626575,0.0279127790649999,0.0236297255832005,0.0094956874530541,-0.00679551689223767,-0.0927006848282375,-0.0532610799735588,-0.043418058983986,0.0834558143686623,-0.0172643600914643,0.0290459716636594,-0.00454422272671139,0.0357976938141144,0.0555141844688746,0.0521790021272999,0.0829092137976822,-0.0268820412817076,-0.00926215884081727,0.000677582552273045,-0.0145129270355691,0.0378984382923454,-0.0306083670663026,0.0203144602515303,-0.0189150772099517,-0.0320709484353171,0.0176617876723185,-0.00767890040196729,0.000276615684122804,-0.0064361621775,-0.0417381919763546,0.0294615963845838,-0.0956015244902538,-0.00342487730658473,-0.0812541493141905,-0.00893909405263696,0.0693179109331907,-0.0178983966173279,-0.108989487742843,-0.0164832754191122,-0.0244782707533428,-0.0390037967664663,-0.0644850915059074,0.0280853155162834,-0.00593534668483091,-0.0400188427482549,0.0351747690124379,-0.0741766035413234,0.0328592378130345,-0.130311432751728,-0.0484034752209642,0.0035746307706371,0.0227393460037239,0.0724577651633216,0.00486819341240374,0.00338760266465129,0.0638955975289812,0.0383572389847308,-0.0672102243105507,0.0230440937444026,-0.0531638185007558,-0.0615194778491013,0.0372107389497811,-0.018357654098442,0.00125822051262771,-0.0328897885207727,0.0100247412213554,-0.0677103147838764,0.0201926172931891,0.0748126343317674,0.0248295155605277,-0.0111587438478299,-0.02904256772582,0.0229085153777832
