,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN
1,1,30,30,P1 FitzVonGerald,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0.0,1.0,1.0
2,2,30,30,P2 RehHausZuckFuchs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0.0,2.0,
3,3,30,28,P1 FitzVonGerald,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0.0,3.0,2.0
4,4,28,28,P2 RehHausZuckFuchs,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0.0,4.0,
5,5,28,28,P1 FitzVonGerald,0,0,1,2,0,0,0,1,1,2,1,4,0,0,0,0.0,6.0,
6,6,22,28,P2 RehHausZuckFuchs,0,0,1,2,0,0,0,3,1,2,1,5,0,1,0,0.0,7.0,
7,7,22,17,P1 FitzVonGerald,0,0,1,4,0,0,0,3,2,1,3,8,0,3,0,,,
8,8,3,17,P2 RehHausZuckFuchs,0,0,4,3,0,0,0,6,0,2,0,9,0,2,0,0.0,,
9,9,3,3,P1 FitzVonGerald,0,0,1,3,0,0,0,3,1,2,1,7,0,4,0,2.0,,
10,10,-1,3,P2 RehHausZuckFuchs,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,5.0,11.0,0.0
