,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,1
6,7,30,26,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,7,4,1
7,8,30,26,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,8,4,1
8,9,30,26,P1 Krebs1996,0,0,1,1,0,0,0,2,1,1,2,3,0,0,0,0,12,5,1
9,10,28,29,P2 Krebs1996,3,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,13,5,1
10,11,28,29,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,17,5,1
11,12,30,30,P2 Krebs1996,1,0,1,2,0,0,0,2,2,2,3,4,0,1,0,0,19,6,1
12,13,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,24,7,1
13,14,30,30,P2 Krebs1996,0,0,1,3,0,0,0,0,0,3,0,3,0,1,0,0,26,7,1
14,15,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,24,0,1
15,16,30,28,P2 Krebs1996,0,0,2,1,0,0,0,0,3,1,4,1,0,1,1,1,33,7,1
16,17,30,30,P1 Krebs1996,0,0,1,2,0,0,0,0,0,1,1,2,0,1,0,0,33,9,1
17,18,27,27,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,1,2,0,2,1,0,42,9,1
18,19,30,27,P1 Krebs1996,3,0,1,2,0,0,0,0,0,2,0,2,0,1,0,2,41,8,1
19,20,30,28,P2 Krebs1996,3,0,2,2,0,0,0,1,1,1,3,3,0,3,2,0,52,10,1
20,21,28,28,P1 Krebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,1,1,1,50,9,1
21,22,25,23,P2 Krebs1996,0,0,2,2,0,0,0,1,1,1,3,3,0,4,3,2,60,8,1
22,23,23,23,P1 Krebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,1,2,3,57,7,1
23,24,20,21,P2 Krebs1996,0,0,2,2,0,0,0,1,0,2,0,3,0,4,4,2,68,8,1
24,25,20,21,P1 Krebs1996,0,0,1,2,0,0,1,3,0,2,3,5,0,1,2,1,66,9,1
25,26,20,21,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,4,4,5,73,5,1
26,27,17,-2,P1 Krebs1996,0,0,1,2,0,1,0,4,5,0,8,6,0,3,2,2,74,8,1
27,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
28,2,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
29,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
30,4,27,30,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,2
31,5,30,30,P1 Krebs1996,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2
32,6,28,30,P2 Krebs1996,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,1,6,2,2
33,7,28,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,6,3,2
34,8,25,30,P2 Krebs1996,0,0,1,0,0,0,0,2,1,0,2,2,0,1,0,4,6,0,2
35,9,25,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,10,4,2
36,10,22,30,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,11,5,2
37,11,25,30,P1 Krebs1996,3,0,1,1,0,0,0,1,0,0,2,2,0,1,0,0,16,6,2
38,12,25,30,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,16,5,2
39,13,25,30,P1 Krebs1996,0,0,1,2,0,0,0,1,1,2,2,3,0,1,0,1,22,6,2
40,14,25,30,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,16,0,2
41,15,23,30,P1 Krebs1996,0,0,2,3,0,0,0,0,2,3,2,3,0,1,1,0,30,8,2
42,16,23,30,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,16,0,2
43,17,23,30,P1 Krebs1996,0,0,1,1,0,0,0,0,3,1,3,1,0,1,1,2,37,7,2
44,18,23,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,1,2,0,2,0,0,25,9,2
45,19,24,30,P1 Krebs1996,3,0,2,1,0,0,0,1,0,1,1,2,0,1,2,3,44,7,2
46,20,24,30,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,3,32,7,2
47,21,24,30,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,2,0,54,10,2
48,22,28,30,P2 Krebs1996,0,0,1,2,0,0,1,1,0,2,1,3,0,2,0,0,42,10,2
49,23,23,23,P1 Krebs1996,0,0,2,1,0,0,0,3,2,0,5,4,0,2,3,4,60,6,2
50,24,23,23,P2 Krebs1996,0,0,1,2,0,1,0,0,0,2,0,2,0,2,0,1,51,9,2
51,25,21,27,P1 Krebs1996,0,0,2,2,0,0,0,1,1,2,2,3,0,2,4,2,68,8,2
52,26,21,27,P2 Krebs1996,0,0,1,2,0,0,0,1,0,2,2,3,0,2,0,2,59,8,2
53,27,21,27,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,10,68,0,2
54,28,21,27,P2 Krebs1996,0,0,1,2,0,0,0,0,3,2,3,2,0,2,0,2,67,8,2
55,29,19,27,P1 Krebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,2,5,0,78,10,2
56,30,11,30,P2 Krebs1996,5,0,2,2,0,0,0,5,0,2,2,7,0,2,1,0,77,10,2
57,31,8,27,P1 Krebs1996,0,0,1,2,0,0,0,2,1,1,7,4,0,3,5,3,85,7,2
58,32,8,25,P2 Krebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,2,2,2,85,8,2
59,33,6,25,P1 Krebs1996,0,0,2,1,0,0,0,2,1,1,3,3,0,3,6,3,92,7,2
60,34,6,30,P2 Krebs1996,7,0,2,1,0,0,0,0,0,1,0,1,0,2,3,5,90,5,2
61,35,6,26,P1 Krebs1996,0,0,1,2,0,0,0,2,1,2,2,4,0,3,6,0,102,10,2
62,36,6,26,P2 Krebs1996,0,0,1,1,0,0,1,0,0,1,0,1,0,2,3,0,100,10,2
63,37,8,20,P1 Krebs1996,4,0,2,2,0,0,0,3,2,1,3,5,0,4,7,2,110,8,2
64,38,8,18,P2 Krebs1996,0,0,2,2,0,1,0,0,0,2,0,2,0,2,4,2,108,8,2
65,39,15,18,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,4,7,1,119,9,2
66,40,15,20,P2 Krebs1996,4,0,2,0,0,0,0,0,2,0,4,0,0,2,5,8,110,2,2
67,41,14,17,P1 Krebs1996,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,8,121,2,2
68,42,8,11,P2 Krebs1996,0,0,1,2,0,0,0,0,0,0,1,2,0,4,5,2,118,8,2
69,43,6,8,P1 Krebs1996,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,8,123,2,2
70,44,3,15,P2 Krebs1996,0,0,0,1,0,0,0,0,0,1,0,2,0,4,5,1,127,9,2
