,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,29,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,1
4,5,29,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,1
5,6,27,30,P2 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,2,3,1,1
6,7,25,30,P1 Krebs1996,0,0,2,1,0,0,0,1,0,1,1,2,0,0,1,0,6,4,1
7,8,23,30,P2 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,2,5,2,1
8,9,20,27,P1 Krebs1996,0,0,1,1,0,0,0,0,2,0,9,1,0,1,1,1,10,4,1
9,10,20,27,P2 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,1,9,4,1
10,11,20,27,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,2,1,0,1,1,0,16,6,1
11,12,16,25,P2 Solegit,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,3,12,3,1
12,13,20,23,P1 Krebs1996,4,0,1,2,0,0,0,1,0,2,0,3,0,1,1,0,23,7,1
13,14,20,23,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,19,7,1
14,15,23,15,P1 Krebs1996,3,0,1,2,0,0,0,3,0,1,1,5,0,2,1,0,31,8,1
15,16,23,15,P2 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,8,19,0,1
16,17,23,5,P1 Krebs1996,0,0,1,1,0,0,0,4,0,1,0,5,0,2,1,4,36,5,1
17,18,23,5,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,8,20,1,1
18,19,26,-2,P1 Krebs1996,3,0,1,0,0,0,0,2,0,0,0,2,0,2,1,10,36,0,1
19,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
20,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
21,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
22,4,26,30,P2 Solegit,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,4,2,2
23,5,26,30,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,4,2,2
24,6,26,30,P2 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,2
25,7,30,27,P1 Krebs1996,4,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,8,4,2
26,8,30,27,P2 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,8,4,2
27,9,30,22,P1 Krebs1996,0,0,1,1,0,0,0,2,1,0,5,3,0,1,0,1,12,4,2
28,10,30,22,P2 Solegit,0,0,1,1,0,0,0,1,1,1,2,2,0,3,0,0,13,5,2
29,11,30,20,P1 Krebs1996,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,17,5,2
30,12,30,20,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,5,14,1,2
31,13,30,19,P1 Krebs1996,0,0,1,2,0,0,0,3,1,2,3,5,0,1,0,1,23,6,2
32,14,26,17,P2 Solegit,0,0,2,2,0,0,0,0,0,1,0,2,0,4,1,3,18,4,2
33,15,24,8,P1 Krebs1996,0,0,2,2,0,0,0,4,1,2,2,6,0,1,1,2,29,6,2
34,16,24,8,P2 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,4,1,4,22,4,2
35,17,26,8,P1 Krebs1996,4,0,2,1,0,0,0,0,5,1,13,1,0,1,2,0,38,9,2
36,18,26,8,P2 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,9,22,0,2
37,19,26,4,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,2,5,43,5,2
38,20,26,4,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,8,24,2,2
39,21,26,0,P1 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,10,43,0,2
40,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
41,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,3
42,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
43,4,26,30,P2 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,4,2,3
44,5,26,30,P1 Krebs1996,0,0,1,1,0,0,0,0,1,1,4,1,0,0,0,0,5,3,3
45,6,23,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,5,1,3
46,7,23,25,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,9,4,3
47,8,21,25,P2 Solegit,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,0,9,4,3
48,9,18,13,P1 Krebs1996,0,0,1,1,0,0,0,2,1,0,7,3,0,1,0,1,13,4,3
49,10,18,13,P2 Solegit,0,0,1,2,0,0,0,0,0,2,1,2,0,2,0,0,14,5,3
50,11,18,13,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,18,5,3
51,12,19,13,P2 Solegit,0,0,1,2,0,0,0,2,1,1,2,4,0,3,0,1,19,5,3
52,13,19,13,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,5,1,0,1,0,0,25,7,3
53,14,12,13,P2 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,3,0,2,24,5,3
54,15,12,13,P1 Krebs1996,0,0,1,1,0,0,0,3,2,1,4,4,0,1,0,3,30,5,3
55,16,12,13,P2 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,8,24,0,3
56,17,15,2,P1 Krebs1996,0,0,1,1,0,0,0,2,0,1,0,4,0,1,0,0,39,9,3
57,18,15,2,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,1,32,8,3
58,19,12,-1,P1 Krebs1996,0,0,1,1,0,0,0,0,1,0,1,1,0,2,0,6,43,4,3
59,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
60,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
61,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
62,4,26,30,P2 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,4
63,5,29,30,P1 Krebs1996,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,4
64,6,23,30,P2 Solegit,0,0,1,2,0,0,0,3,0,2,0,5,0,1,0,1,6,2,4
65,7,23,26,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,7,4,4
66,8,17,26,P2 Solegit,0,0,1,1,0,0,0,5,2,1,3,6,0,1,0,3,7,1,4
67,9,17,26,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,12,5,4
68,10,13,26,P2 Solegit,0,0,1,0,0,0,0,4,0,0,0,4,0,1,0,5,7,0,4
69,11,16,20,P1 Krebs1996,3,0,1,1,0,0,0,3,0,1,1,4,0,0,0,1,17,5,4
70,12,14,20,P2 Solegit,0,0,1,3,0,0,0,3,1,2,2,6,0,2,0,1,12,5,4
71,13,11,17,P1 Krebs1996,0,0,1,1,0,0,0,2,1,0,10,3,0,1,0,3,21,4,4
72,14,11,17,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,4,15,3,4
73,15,8,14,P1 Krebs1996,0,0,1,2,0,0,0,1,1,1,2,3,0,2,0,0,29,8,4
74,16,8,14,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,6,17,2,4
75,17,8,14,P1 Krebs1996,0,0,1,2,0,0,0,1,1,2,2,3,0,2,0,2,36,7,4
76,18,8,12,P2 Solegit,0,0,5,4,0,0,0,1,1,3,1,5,0,3,1,0,26,9,4
77,19,10,12,P1 Krebs1996,4,0,2,1,0,0,0,2,1,0,3,3,0,3,1,4,42,6,4
78,20,10,12,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,1,35,9,4
79,21,11,10,P1 Krebs1996,3,0,2,2,0,0,0,1,0,1,1,3,0,4,2,0,52,10,4
80,22,11,10,P2 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,3,1,1,44,9,4
81,23,11,6,P1 Krebs1996,0,0,1,2,0,0,0,2,0,2,0,4,0,4,2,1,61,9,4
82,24,12,4,P2 Solegit,0,0,2,2,0,0,0,2,0,1,1,4,0,4,2,3,51,7,4
83,25,16,0,P1 Krebs1996,4,0,1,0,0,0,0,3,0,0,1,3,0,4,2,10,61,0,4
84,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
85,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
86,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,5
87,4,27,30,P2 Solegit,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,4,2,5
88,5,27,30,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,1,4,2,5
89,6,23,30,P2 Solegit,0,0,1,2,0,0,0,1,1,1,1,3,0,3,0,1,6,2,5
90,7,23,30,P1 Krebs1996,0,0,1,1,0,0,0,0,2,1,3,1,0,0,0,0,8,4,5
91,8,23,30,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,3,7,1,5
92,9,26,30,P1 Krebs1996,3,0,1,1,0,0,0,2,0,1,1,3,0,0,0,0,13,5,5
93,10,26,30,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,3,9,2,5
94,11,29,27,P1 Krebs1996,3,0,1,2,0,0,0,2,1,2,2,4,0,0,0,2,17,4,5
95,12,29,27,P2 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,6,9,0,5
96,13,29,27,P1 Krebs1996,0,0,1,1,0,0,0,0,3,1,3,1,0,0,0,2,22,5,5
97,14,29,27,P2 Solegit,0,0,1,2,0,0,0,1,1,2,1,3,0,3,0,3,13,4,5
98,15,29,23,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,2,28,6,5
99,16,29,23,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,21,8,5
100,17,29,17,P1 Krebs1996,0,0,1,1,0,0,1,2,0,1,0,3,0,0,0,0,37,9,5
101,18,22,15,P2 Solegit,0,0,2,2,0,0,0,2,1,2,2,4,0,3,1,0,30,9,5
102,19,23,0,P1 Krebs1996,4,0,1,1,0,1,0,4,2,0,3,5,0,1,0,6,41,4,5
103,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
104,2,26,30,P2 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,6
105,3,26,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
106,4,26,30,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,3,2,6
107,5,26,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,6
108,6,23,30,P2 Solegit,0,0,1,3,0,0,0,1,1,1,1,4,0,3,0,0,7,3,6
109,7,23,30,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,0,7,4,6
110,8,23,30,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,1,10,3,6
111,9,23,28,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,12,5,6
112,10,23,28,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,5,10,0,6
113,11,23,24,P1 Krebs1996,0,0,1,1,0,0,0,2,0,1,1,3,0,0,0,1,17,5,6
114,12,23,24,P2 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,6,10,0,6
