,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,28,30,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,1
4,5,28,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,28,30,P2 Krebs1996,0,0,1,0,0,0,0,0,2,0,2,0,0,1,0,3,4,0,1
6,7,28,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,3,3,1
7,8,25,27,P2 Krebs1996,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,8,4,1
8,9,25,25,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,2,6,3,1
9,10,25,25,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,13,5,1
10,11,28,27,P1 Orasha,3,0,1,1,0,0,0,3,0,1,1,4,0,0,0,1,11,5,1
11,12,28,27,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,2,1,0,2,0,0,19,6,1
12,13,30,24,P1 Orasha,2,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,18,7,1
13,14,30,24,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,0,26,7,1
14,15,28,17,P1 Orasha,0,0,2,1,0,0,0,1,0,1,0,2,0,0,1,2,24,6,1
15,16,28,15,P2 Krebs1996,0,0,2,2,0,0,0,1,1,2,2,3,0,2,1,0,34,8,1
