,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Orasha,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1
5,6,30,30,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
6,7,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1
7,8,27,30,P2 Orasha,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,8,4,1
8,9,30,30,P1 Orasha,3,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,7,5,1
9,10,26,30,P2 Orasha,0,0,7,2,0,0,0,2,0,1,1,4,0,2,0,0,13,5,1
10,11,26,30,P1 Orasha,0,0,1,2,0,0,0,0,0,1,2,2,0,1,0,0,13,6,1
11,12,26,30,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,3,16,3,1
12,13,26,30,P1 Orasha,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,20,7,1
13,14,26,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,3,0,0,23,7,1
14,15,30,23,P1 Orasha,4,0,1,1,0,0,1,4,1,1,3,5,0,1,0,0,28,8,1
15,16,30,23,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,31,8,1
16,17,30,20,P1 Orasha,0,0,2,2,0,1,0,3,1,1,3,5,0,2,0,0,37,9,1
17,18,30,20,P2 Orasha,0,0,4,2,0,0,0,0,0,1,1,2,0,4,0,0,40,9,1
18,19,28,15,P1 Orasha,0,0,2,2,0,0,0,1,1,2,2,4,0,2,1,-1,48,11,1
19,20,28,17,P2 Orasha,4,0,2,3,0,0,0,0,0,1,0,3,0,6,1,0,50,10,1
20,21,25,7,P1 Orasha,3,0,1,2,0,0,0,2,0,2,1,5,0,2,1,1,57,9,1
21,22,25,7,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,6,1,3,57,7,1
22,23,25,0,P1 Orasha,0,0,1,0,0,0,0,2,0,0,1,2,0,2,1,10,57,0,1
23,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
