,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1
3,4,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,4,2,1
4,5,30,30,P1 Orasha,0,0,2,1,0,0,0,0,0,0,1,1,0,2,0,2,2,1,1
5,6,28,30,P2 Pizza,0,0,4,2,0,0,0,1,0,1,0,3,0,2,0,0,7,3,1
6,7,28,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,6,4,1
7,8,28,30,P2 Pizza,0,0,1,2,0,0,0,3,1,2,2,5,0,2,0,0,11,4,1
8,9,28,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,11,5,1
9,10,24,30,P2 Pizza,0,0,1,2,0,0,0,5,2,1,3,7,0,3,0,0,16,5,1
10,11,28,30,P1 Orasha,4,0,3,2,0,0,0,0,0,0,6,2,0,4,0,2,15,4,1
11,12,27,30,P2 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,5,17,1,1
12,13,27,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,1,21,6,1
13,14,26,30,P2 Pizza,0,0,1,2,0,0,0,1,0,2,0,3,0,3,0,1,23,6,1
14,15,24,24,P1 Orasha,0,0,7,2,0,0,0,1,0,1,0,3,0,5,1,1,28,7,1
15,16,19,21,P2 Pizza,0,0,1,2,0,0,0,4,1,2,2,6,0,3,0,6,25,2,1
16,17,19,12,P1 Orasha,3,0,1,2,0,0,0,2,0,1,3,4,0,6,1,0,37,9,1
17,18,19,12,P2 Pizza,0,0,1,1,0,0,0,1,1,1,2,2,0,3,0,7,27,2,1
18,19,19,6,P1 Orasha,0,0,2,3,0,0,0,1,0,2,1,4,0,7,1,-2,49,12,1
19,20,19,6,P2 Pizza,0,0,1,1,0,0,0,5,5,1,5,6,0,3,0,8,29,2,1
20,21,19,0,P1 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,7,1,10,49,0,1
21,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
22,2,30,30,P2 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
23,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
24,4,27,30,P2 Pizza,0,0,1,1,0,0,0,2,1,0,1,3,0,2,0,1,3,1,2
25,5,27,30,P1 Orasha,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,2,1,1,2
26,6,25,30,P2 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,6,3,2
27,7,25,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,4,3,2
28,8,21,30,P2 Pizza,0,0,1,1,0,0,0,2,0,0,0,3,0,3,0,0,10,4,2
29,9,21,27,P1 Orasha,0,0,7,3,0,0,0,1,0,1,4,4,0,3,0,0,9,5,2
30,10,17,27,P2 Pizza,0,0,1,2,0,0,0,2,0,2,0,4,0,3,0,1,14,4,2
31,11,17,27,P1 Orasha,0,0,1,1,0,0,0,0,2,1,13,1,0,3,0,0,15,6,2
32,12,17,27,P2 Pizza,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,2,18,4,2
33,13,22,22,P1 Orasha,8,0,3,2,0,0,0,1,0,0,4,3,0,5,0,0,22,7,2
34,14,22,22,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,4,21,3,2
35,15,22,20,P1 Orasha,0,0,1,2,0,0,0,1,0,2,0,3,0,5,0,1,29,7,2
36,16,21,18,P2 Pizza,0,0,5,4,0,0,0,0,0,3,0,4,0,5,1,0,29,8,2
37,17,25,18,P1 Orasha,4,0,2,2,0,0,0,0,3,1,8,2,0,6,0,1,37,8,2
38,18,25,18,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,5,1,0,38,9,2
39,19,23,11,P1 Orasha,0,0,2,2,0,0,0,1,0,2,0,3,0,6,1,-3,50,13,2
40,20,23,11,P2 Pizza,0,0,1,1,0,0,0,1,0,1,1,2,0,5,1,9,39,1,2
41,21,23,11,P1 Orasha,0,0,1,1,0,0,0,2,1,1,3,3,0,6,1,2,58,8,2
42,22,23,11,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,5,1,9,40,1,2
43,23,23,-4,P1 Orasha,0,0,1,0,0,0,0,2,0,0,0,2,0,6,1,10,58,0,2
44,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
45,2,30,30,P2 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,3
46,3,30,30,P1 Orasha,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,3
47,4,29,30,P2 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,3
48,5,29,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,4,3,3
49,6,29,30,P2 Pizza,0,0,1,1,0,0,0,1,1,1,1,2,0,1,0,0,5,3,3
50,7,30,28,P1 Orasha,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,4,4,0,3
51,8,28,25,P2 Pizza,0,0,1,2,0,0,0,2,1,2,2,4,0,1,0,1,8,3,3
52,9,30,25,P1 Orasha,2,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,9,5,3
53,10,29,25,P2 Pizza,0,0,1,2,0,0,0,2,1,1,2,4,0,2,0,0,13,5,3
54,11,27,25,P1 Orasha,0,0,2,2,0,0,0,0,0,1,4,2,0,2,1,1,14,5,3
55,12,26,25,P2 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,4,15,2,3
56,13,26,25,P1 Orasha,0,0,1,1,0,0,0,0,1,1,6,1,0,2,1,0,21,7,3
57,14,26,25,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,6,16,1,3
58,15,26,25,P1 Orasha,0,0,1,1,0,0,0,1,0,1,1,2,0,2,1,3,26,5,3
59,16,26,25,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,24,8,3
60,17,28,25,P1 Orasha,4,0,2,1,0,0,0,2,2,1,3,3,0,2,2,2,33,7,3
61,18,27,25,P2 Pizza,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,6,27,3,3
62,19,24,22,P1 Orasha,0,0,1,2,0,0,0,1,0,1,2,3,0,3,2,3,40,7,3
63,20,24,17,P2 Pizza,0,0,2,3,0,0,0,1,1,3,2,4,0,2,1,3,34,7,3
64,21,28,17,P1 Orasha,4,0,1,2,0,0,0,1,1,1,3,3,0,4,2,1,49,9,3
65,22,28,17,P2 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,10,34,0,3
66,23,30,12,P1 Orasha,4,0,3,1,0,0,0,1,0,0,0,2,0,5,3,5,54,5,3
67,24,27,11,P2 Pizza,0,0,4,5,0,0,0,0,1,2,2,5,0,5,1,1,43,9,3
68,25,24,0,P1 Orasha,0,0,1,1,0,0,0,2,1,0,7,3,0,6,3,6,58,4,3
69,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
70,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
71,3,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
72,4,28,30,P2 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,4
73,5,28,30,P1 Orasha,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,3,2,0,4
74,6,24,30,P2 Pizza,0,0,1,2,0,0,0,3,0,2,0,5,0,1,0,0,7,3,4
75,7,21,27,P1 Orasha,0,0,1,1,0,0,0,0,0,0,5,1,0,1,0,0,6,4,4
76,8,18,27,P2 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,10,3,4
77,9,18,27,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,11,5,4
78,10,18,27,P2 Pizza,0,0,1,1,0,0,0,1,1,0,1,2,0,2,0,1,14,4,4
79,11,18,23,P1 Orasha,0,0,1,1,0,0,0,1,0,1,7,2,0,1,0,0,17,6,4
80,12,18,23,P2 Pizza,0,0,1,3,0,0,0,0,0,3,0,3,0,2,0,1,19,5,4
81,13,22,21,P1 Orasha,4,0,1,1,0,0,0,2,1,1,5,3,0,1,0,0,24,7,4
82,14,22,21,P2 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,7,19,0,4
83,15,20,15,P1 Orasha,0,0,6,2,0,0,0,2,0,1,0,4,0,2,1,1,31,7,4
84,16,20,15,P2 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,8,19,0,4
85,17,20,7,P1 Orasha,0,0,1,1,0,0,0,3,0,1,0,4,0,2,1,4,36,5,4
86,18,20,7,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,8,20,1,4
87,19,20,-1,P1 Orasha,0,0,1,0,0,0,0,4,0,0,1,4,0,2,1,10,36,0,4
88,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
89,2,30,30,P2 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,5
90,3,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,5
91,4,29,30,P2 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,5
92,5,29,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,5
