,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Orasha,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1
4,5,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,3,1,1
5,6,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1
6,7,30,28,P1 Pizza,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,7,4,1
7,8,30,30,P2 Orasha,2,0,3,1,0,0,0,0,0,0,0,1,0,2,0,1,4,3,1
8,9,30,28,P1 Pizza,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,1,11,4,1
9,10,30,28,P2 Orasha,0,0,7,2,0,0,0,0,0,1,0,2,0,3,0,0,9,5,1
10,11,30,28,P1 Pizza,0,0,1,1,0,0,0,5,5,1,6,6,0,2,0,0,17,6,1
11,12,30,28,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,1,14,5,1
12,13,30,27,P1 Pizza,0,0,1,1,0,0,0,2,0,1,1,3,0,2,0,6,18,1,1
13,14,30,30,P2 Orasha,3,0,1,1,0,0,0,1,0,1,1,2,0,3,0,2,19,5,1
14,15,30,21,P1 Pizza,0,0,1,2,0,0,0,2,1,2,2,4,0,2,0,4,22,4,1
15,16,30,21,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,4,23,4,1
16,17,25,10,P1 Pizza,0,0,2,3,0,0,0,4,1,3,2,7,0,2,1,2,29,7,1
17,18,25,10,P2 Orasha,0,0,1,1,0,0,0,0,0,1,8,1,0,3,0,2,30,7,1
18,19,25,10,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,9,30,1,1
19,20,21,8,P2 Orasha,0,0,2,1,0,0,0,2,0,1,1,3,0,3,1,0,40,10,1
20,21,21,8,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,9,31,1,1
21,22,12,8,P2 Orasha,0,0,2,3,0,0,0,2,2,2,3,5,0,4,1,1,49,9,1
22,23,12,8,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,10,31,0,1
23,24,12,8,P2 Orasha,0,0,1,2,0,0,0,0,5,2,5,2,0,4,1,-6,65,16,1
24,25,12,8,P1 Pizza,0,0,1,4,0,0,0,0,0,4,0,4,0,2,1,0,41,10,1
25,26,-3,8,P2 Orasha,0,0,1,0,0,0,0,2,0,0,0,2,0,4,1,10,65,0,1
26,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
27,2,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
28,3,30,29,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,2
29,4,30,29,P2 Orasha,0,0,1,1,0,0,0,0,1,1,3,1,0,1,0,0,4,2,2
30,5,30,28,P1 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,2
31,6,30,28,P2 Orasha,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,3,4,0,2
32,7,30,28,P1 Pizza,0,0,4,3,0,0,0,0,0,2,0,3,0,1,0,1,5,3,2
33,8,27,25,P2 Orasha,0,0,1,1,0,0,0,0,0,0,2,1,0,2,0,0,8,4,2
34,9,27,25,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,3,7,2,2
35,10,27,25,P2 Orasha,0,0,1,2,0,0,0,0,0,1,1,2,0,3,0,0,13,5,2
36,11,27,25,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,7,0,2
37,12,24,28,P2 Orasha,3,0,1,1,0,0,0,1,0,1,0,2,0,3,0,1,18,5,2
38,13,24,28,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,6,8,1,2
39,14,21,30,P2 Orasha,2,0,1,0,0,0,0,2,0,0,1,2,0,3,0,7,18,0,2
40,15,21,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,16,8,2
41,16,21,30,P2 Orasha,0,0,1,1,0,0,0,2,2,1,3,3,0,3,0,1,25,7,2
42,17,21,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,16,0,2
43,18,17,30,P2 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,4,30,5,2
44,19,14,30,P1 Pizza,0,0,1,2,0,0,0,1,1,2,1,3,0,1,0,6,20,4,2
45,20,6,28,P2 Orasha,0,0,2,1,0,0,0,3,0,1,1,4,0,3,1,0,40,10,2
46,21,6,28,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,9,21,1,2
47,22,-3,28,P2 Orasha,0,0,1,0,0,0,0,2,0,0,0,2,0,3,1,10,40,0,2
48,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
49,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
50,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
51,4,30,30,P2 Orasha,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,3
52,5,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,3
53,6,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,3
54,7,30,28,P1 Pizza,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,9,4,3
55,8,27,25,P2 Orasha,0,0,1,1,0,0,0,0,0,0,5,1,0,2,0,0,5,4,3
56,9,27,23,P1 Pizza,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,1,13,4,3
57,10,24,20,P2 Orasha,0,0,1,1,0,0,0,0,0,0,3,1,0,3,0,1,9,4,3
58,11,24,19,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,3,16,3,3
59,12,24,19,P2 Orasha,0,0,1,1,0,0,0,0,0,1,2,1,0,3,0,0,15,6,3
60,13,24,19,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,6,17,1,3
61,14,22,19,P2 Orasha,0,0,7,3,0,0,0,1,0,1,1,4,0,5,0,1,21,6,3
62,15,22,19,P1 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,25,8,3
