,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Slage,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,0,4,2,1
4,5,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,1
5,6,28,30,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,4,0,1
6,7,28,27,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,2,7,2,1
7,8,26,30,P2 Slage,3,0,6,2,0,0,0,1,0,1,0,3,0,2,0,0,8,4,1
8,9,26,23,P1 Pizza,0,0,4,3,0,0,0,3,1,2,2,6,0,1,0,0,12,5,1
9,10,26,23,P2 Slage,0,0,1,2,0,0,0,1,0,2,1,3,0,2,0,0,13,5,1
10,11,26,20,P1 Pizza,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,4,14,2,1
