,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,27,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,27,P2 Orasha,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,2,2,0,1
4,5,30,27,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,6,3,1
5,6,30,27,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,1
6,7,28,23,P1 Roffle,0,0,2,2,0,0,0,2,1,1,1,4,0,1,1,0,10,4,1
7,8,23,20,P2 Orasha,0,0,1,1,0,0,0,1,1,0,4,2,0,2,0,0,9,4,1
8,9,23,20,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5,10,0,1
9,10,21,20,P2 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,14,5,1
10,11,21,20,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,3,13,3,1
11,12,21,24,P2 Orasha,4,0,3,2,0,0,0,2,0,0,2,4,0,4,0,1,19,5,1
12,13,21,24,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,5,15,2,1
13,14,19,22,P2 Orasha,0,0,3,2,0,0,0,2,1,1,2,4,0,5,1,1,25,6,1
14,15,19,22,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,7,16,1,1
15,16,15,22,P2 Orasha,0,0,1,2,0,0,0,2,0,2,1,4,0,5,1,0,33,8,1
16,17,15,22,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,9,16,0,1
17,18,15,28,P2 Orasha,8,0,2,1,0,0,0,0,4,1,4,1,0,5,2,2,40,7,1
18,19,15,28,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,6,20,4,1
19,20,11,28,P2 Orasha,0,0,1,2,0,0,0,1,0,1,4,3,0,6,2,1,49,9,1
20,21,11,28,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,9,21,1,1
21,22,-1,29,P2 Orasha,4,0,1,1,0,0,0,2,2,0,3,3,0,7,2,6,53,4,1
22,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
23,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
24,3,30,24,P1 Roffle,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,1,2,1,2
25,4,30,24,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
26,5,30,22,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,2,0,0,5,3,2
27,6,27,19,P2 Orasha,0,0,1,2,0,0,0,0,0,0,1,2,0,2,0,0,4,3,2
28,7,25,15,P1 Roffle,0,0,2,1,0,0,0,1,0,0,1,2,0,3,1,1,8,3,2
29,8,25,15,P2 Orasha,0,0,2,1,0,0,0,0,0,0,1,1,0,3,0,3,5,1,2
30,9,25,15,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,4,9,1,2
31,10,25,15,P2 Orasha,0,0,6,2,0,0,0,0,0,1,0,2,0,4,0,0,10,5,2
32,11,25,15,P1 Roffle,0,0,1,0,0,0,0,1,1,0,1,1,0,3,1,6,9,0,2
33,12,23,15,P2 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,4,0,0,16,6,2
34,13,23,15,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,4,12,3,2
35,14,23,13,P2 Orasha,0,0,2,2,0,0,0,2,0,1,2,4,0,5,1,0,23,7,2
36,15,23,13,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,7,13,1,2
37,16,17,13,P2 Orasha,0,0,1,2,0,0,0,3,0,1,1,5,0,6,1,0,31,8,2
38,17,17,13,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,8,14,1,2
39,18,0,10,P2 Orasha,0,0,1,1,0,0,0,3,0,0,1,4,0,7,1,5,35,4,2
40,1,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
41,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
42,3,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
43,4,30,30,P2 Orasha,0,0,1,3,0,0,0,0,0,1,1,3,0,2,0,0,3,2,3
44,5,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,5,3,3
45,6,30,26,P2 Orasha,0,0,1,1,0,0,0,0,1,1,2,1,0,2,0,0,6,3,3
46,7,28,25,P1 Roffle,0,0,2,1,0,0,0,3,2,0,3,4,0,2,1,1,8,3,3
47,8,28,25,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,9,3,3
48,9,28,25,P1 Roffle,0,0,1,1,0,0,0,1,1,1,1,2,0,2,1,3,10,2,3
49,10,28,27,P2 Orasha,4,0,4,1,0,0,0,1,0,0,1,2,0,3,1,0,14,5,3
50,11,28,27,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,5,11,1,3
51,12,28,27,P2 Orasha,0,0,1,2,0,0,0,1,0,1,1,3,0,4,1,1,19,5,3
52,13,28,27,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,6,12,1,3
53,14,23,28,P2 Orasha,3,0,2,1,0,0,0,2,1,0,2,3,0,5,2,4,22,3,3
54,15,23,28,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,7,13,1,3
55,16,20,30,P2 Orasha,2,0,1,1,0,0,0,1,0,1,0,2,0,5,2,1,29,7,3
56,17,20,30,P1 Roffle,0,0,1,1,0,0,0,1,1,0,1,2,0,3,1,5,17,4,3
57,18,10,30,P2 Orasha,0,0,1,4,0,0,0,2,0,3,1,7,0,6,2,1,37,8,3
58,19,10,30,P1 Roffle,0,0,1,1,0,0,0,3,3,1,3,4,0,3,1,7,20,3,3
59,20,-4,30,P2 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,6,2,10,37,0,3
60,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
61,2,30,30,P2 Orasha,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,4
62,3,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,4
63,4,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,4,2,4
64,5,30,30,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,4,2,4
65,6,28,30,P2 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,7,3,4
66,7,28,30,P1 Roffle,0,0,1,1,0,0,0,2,2,1,3,3,0,0,0,1,7,3,4
67,8,22,27,P2 Orasha,0,0,1,1,0,0,0,1,0,0,2,2,0,3,0,0,11,4,4
68,9,22,25,P1 Roffle,0,0,1,3,0,0,0,0,1,2,2,3,0,1,0,0,12,5,4
69,10,22,28,P2 Orasha,3,0,1,1,0,0,0,1,0,1,1,2,0,3,0,0,16,5,4
70,11,22,27,P1 Roffle,0,0,1,1,0,0,0,3,2,1,3,4,0,1,0,5,13,1,4
71,12,22,27,P2 Orasha,0,0,1,1,0,0,0,0,0,1,2,1,0,3,0,0,22,6,4
72,13,22,27,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,6,14,1,4
73,14,22,27,P2 Orasha,0,0,1,1,0,0,0,1,0,1,1,2,0,3,0,0,29,7,4
74,15,22,27,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,7,15,1,4
75,16,22,30,P2 Orasha,3,0,3,2,0,0,0,2,0,1,2,4,0,4,0,0,37,8,4
76,17,20,26,P1 Roffle,0,0,2,1,0,0,0,0,0,0,0,1,0,2,1,6,18,3,4
77,18,10,26,P2 Orasha,0,0,1,2,0,0,0,3,0,2,0,5,0,4,0,1,45,8,4
78,19,10,26,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,10,18,0,4
79,20,10,30,P2 Orasha,4,0,4,2,0,0,0,0,6,1,6,2,0,5,0,1,54,9,4
80,21,8,26,P1 Roffle,0,0,2,2,0,0,0,0,0,0,0,2,0,4,2,3,25,7,4
81,22,1,25,P2 Orasha,1,0,2,2,0,0,0,2,0,2,1,4,0,5,1,1,63,9,4
82,23,1,25,P1 Roffle,0,0,1,3,0,0,0,3,3,1,3,6,0,6,2,5,30,5,4
83,24,-1,25,P2 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,5,1,10,63,0,4
84,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
85,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
