,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Slage,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,4,2,1
5,6,30,30,P2 Orasha,0,0,1,3,0,0,0,0,0,1,1,3,0,2,0,0,4,3,1
6,7,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,8,4,1
7,8,28,30,P2 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,2,6,2,1
8,9,28,26,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,12,4,1
9,10,26,26,P2 Orasha,0,0,4,2,0,0,0,1,0,1,0,3,0,3,0,1,10,4,1
10,11,26,26,P1 Slage,0,0,1,2,0,0,0,2,0,2,1,4,0,0,0,2,16,4,1
11,12,26,26,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,1,15,5,1
12,13,24,30,P1 Slage,0,0,5,2,0,0,0,0,4,1,7,2,0,1,1,1,22,6,1
13,14,24,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,7,15,0,1
14,15,24,30,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,1,1,0,30,8,1
15,16,24,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,4,0,0,23,8,1
16,17,27,26,P1 Slage,3,0,1,1,0,0,0,2,0,0,1,3,0,2,1,3,36,6,1
17,18,27,26,P2 Orasha,0,0,1,2,0,0,0,0,0,2,0,2,0,4,0,0,32,9,1
18,19,27,22,P1 Slage,0,0,1,1,0,0,0,2,1,0,3,3,0,3,1,6,40,4,1
19,20,27,22,P2 Orasha,0,0,1,2,0,0,0,0,0,2,0,2,0,4,0,4,38,6,1
20,21,25,26,P1 Slage,0,0,2,1,0,0,0,2,1,1,3,3,0,3,2,5,45,5,1
21,22,25,26,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,0,48,10,1
22,23,25,19,P1 Slage,0,0,1,1,0,0,1,2,0,1,0,3,0,3,2,0,55,10,1
23,24,25,30,P2 Orasha,11,0,1,2,0,0,0,1,0,2,1,3,0,4,0,1,57,9,1
24,25,23,22,P1 Slage,0,0,3,2,0,1,0,2,1,1,2,4,0,4,3,5,60,5,1
25,26,23,20,P2 Orasha,0,0,2,1,0,0,0,2,2,1,2,3,0,4,1,0,67,10,1
26,27,21,12,P1 Slage,0,0,2,2,0,0,0,2,0,2,1,4,0,4,4,-1,71,11,1
27,28,21,14,P2 Orasha,2,0,1,1,0,0,0,4,3,1,6,5,0,4,1,2,75,8,1
28,29,19,0,P1 Slage,0,0,2,5,0,0,0,1,0,4,1,7,0,5,5,0,81,10,1
29,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
30,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
31,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
32,4,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,2
33,5,30,30,P1 Slage,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,5,3,2
34,6,28,30,P2 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,2
