,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,28,P1 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,1
5,6,30,28,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,1
6,7,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,1
7,8,26,28,P2 Slage,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,8,4,1
8,9,26,28,P1 Slage,0,0,1,2,0,0,0,2,0,1,1,4,0,1,0,2,9,3,1
9,10,26,28,P2 Slage,0,0,1,1,0,0,0,2,1,0,4,3,0,2,0,1,12,4,1
10,11,26,28,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,9,0,1
11,12,23,28,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,2,16,4,1
12,13,23,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,16,7,1
13,14,20,25,P2 Slage,0,0,1,2,0,0,0,2,2,1,3,4,0,3,0,1,22,6,1
14,15,20,25,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,22,6,1
15,16,20,23,P2 Slage,0,0,2,2,0,0,0,0,1,2,2,2,0,3,1,2,28,6,1
16,17,20,23,P1 Slage,0,0,1,1,0,0,1,3,0,1,2,4,0,1,0,1,30,8,1
17,18,20,23,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,3,1,1,36,8,1
18,19,18,23,P1 Slage,0,0,2,3,0,1,0,2,2,3,4,5,0,1,1,0,40,10,1
19,20,18,26,P2 Slage,3,0,1,2,0,0,0,0,0,1,1,2,0,4,1,2,44,8,1
20,21,16,26,P1 Slage,0,0,2,2,0,0,0,2,1,2,2,4,0,1,2,0,50,10,1
21,22,16,26,P2 Slage,0,0,1,1,0,0,1,0,0,1,0,1,0,4,1,0,54,10,1
22,23,16,25,P1 Slage,0,0,1,2,0,0,0,3,2,2,3,5,0,1,2,0,60,10,1
23,24,16,30,P2 Slage,7,0,3,2,0,1,0,0,0,1,1,2,0,5,2,5,59,5,1
24,25,14,20,P1 Slage,0,0,2,1,0,0,0,3,0,1,1,4,0,1,3,6,64,4,1
25,26,14,20,P2 Slage,0,0,2,2,0,0,0,0,0,0,7,2,0,7,2,0,69,10,1
26,27,12,20,P1 Slage,0,0,2,2,0,0,0,0,0,2,0,2,0,1,4,2,72,8,1
27,28,12,18,P2 Slage,0,0,2,1,0,0,0,0,0,1,0,1,0,7,3,5,74,5,1
28,29,10,14,P1 Slage,0,0,2,2,0,0,0,2,0,2,1,4,0,1,5,1,81,9,1
29,30,7,11,P2 Slage,0,0,1,4,0,0,0,0,0,1,0,4,0,10,3,0,84,10,1
30,31,7,0,P1 Slage,0,0,1,0,0,0,0,3,0,0,1,3,0,1,5,10,81,0,1
31,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
32,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
33,3,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
34,4,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
35,5,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
36,6,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,2
37,7,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,2
38,8,28,30,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,6,2,2
39,9,28,30,P1 Slage,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,9,5,2
40,10,24,30,P2 Slage,0,0,6,2,0,0,0,2,0,1,0,4,0,2,0,1,10,4,2
41,11,24,26,P1 Slage,0,0,1,2,0,0,0,1,1,1,4,3,0,2,0,0,15,6,2
42,12,24,26,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,10,0,2
