,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,29,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,29,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,1
4,5,30,28,P1 Solegit,0,0,4,2,0,0,0,2,2,1,2,4,0,1,0,0,6,3,1
5,6,28,28,P2 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,1
6,7,28,26,P1 Solegit,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,10,4,1
7,8,28,26,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,7,4,1
8,9,25,23,P1 Solegit,0,0,1,2,0,0,0,3,2,1,3,5,0,2,0,3,12,2,1
9,10,25,23,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,12,5,1
10,11,25,24,P1 Solegit,0,0,1,1,0,0,0,3,1,1,2,4,0,2,0,5,13,1,1
11,12,25,24,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,18,6,1
12,13,25,18,P1 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,20,7,1
13,14,25,18,P2 Orasha,0,0,1,1,0,0,0,1,1,1,4,2,0,1,0,0,25,7,1
14,15,25,18,P1 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,4,24,4,1
15,16,21,18,P2 Orasha,0,0,1,2,0,0,0,1,0,1,4,3,0,2,0,4,29,4,1
16,17,21,18,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,8,25,1,1
17,18,14,18,P2 Orasha,0,0,1,1,0,0,0,2,0,1,1,3,0,2,0,3,35,6,1
18,19,12,14,P1 Solegit,0,0,2,2,0,0,0,0,0,0,0,2,0,5,1,3,32,7,1
19,20,0,11,P2 Orasha,0,0,1,1,0,0,0,3,1,0,5,4,0,3,0,6,39,4,1
