,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,27,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,1
3,4,30,27,P2 Slage,0,0,2,3,0,0,0,0,0,1,1,3,0,2,0,0,3,2,1
4,5,30,26,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,1
5,6,30,26,P2 Slage,0,0,6,1,0,0,0,0,0,0,0,1,0,3,0,1,5,2,1
6,7,30,24,P1 Solegit,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,0,9,4,1
7,8,30,28,P2 Slage,4,0,1,1,0,0,0,0,1,0,6,1,0,4,0,0,9,4,1
8,9,30,24,P1 Solegit,0,0,1,2,0,0,0,2,1,0,1,4,0,3,0,0,14,5,1
9,10,30,28,P2 Slage,4,0,1,1,0,0,0,0,0,1,0,1,0,4,0,2,12,3,1
10,11,30,12,P1 Solegit,0,0,1,2,0,0,0,6,0,2,0,8,0,3,0,0,20,6,1
11,12,26,9,P2 Slage,0,0,1,1,0,0,0,2,3,0,10,3,0,5,0,2,16,4,1
12,13,26,9,P1 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,5,22,2,1
13,14,26,9,P2 Slage,0,0,4,2,0,0,0,0,0,1,0,2,0,6,0,1,22,6,1
14,15,26,9,P1 Solegit,0,0,1,1,0,0,0,2,1,1,1,3,0,3,0,7,23,1,1
15,16,22,9,P2 Slage,0,0,1,3,0,0,0,1,0,3,0,4,0,6,0,0,30,8,1
16,17,20,5,P1 Solegit,0,0,2,1,0,0,0,0,0,0,0,1,0,4,1,6,26,3,1
17,18,20,3,P2 Slage,0,0,2,1,0,0,0,0,4,1,7,1,0,6,1,5,34,4,1
18,19,20,3,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,9,27,1,1
19,20,20,1,P2 Slage,0,0,2,2,0,0,0,1,0,2,1,3,0,6,2,0,44,10,1
20,21,20,1,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,10,27,0,1
21,22,12,1,P2 Slage,0,0,1,0,0,0,0,3,0,0,0,3,0,6,2,10,44,0,1
22,23,12,1,P1 Solegit,0,0,4,4,0,0,0,0,0,3,0,4,0,5,1,0,37,10,1
23,24,8,4,P2 Slage,3,0,1,2,0,0,0,3,0,1,3,5,0,7,2,0,54,10,1
24,25,8,4,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,10,37,0,1
25,26,0,4,P2 Slage,0,0,1,0,0,0,0,2,0,0,0,2,0,7,2,10,54,0,1
26,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
27,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
28,3,30,29,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,2
29,4,30,29,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,4,2,2
30,5,30,27,P1 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,4,2,2
31,6,30,27,P2 Slage,0,0,2,1,0,0,0,0,0,0,1,1,0,2,0,2,5,1,2
