,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,29,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1
3,4,30,29,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
4,5,30,28,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,3,2,1
5,6,27,25,P2 Stonekeep,0,0,1,2,0,0,0,0,1,0,6,2,0,2,0,0,6,3,1
6,7,27,25,P1 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,7,4,1
7,8,27,25,P2 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,3,0,1,9,3,1
8,9,27,17,P1 Solegit,0,0,1,2,0,0,0,3,1,1,1,5,0,2,0,2,10,3,1
9,10,27,21,P2 Stonekeep,4,0,3,1,0,0,0,0,0,0,0,1,0,4,0,2,12,3,1
10,11,27,12,P1 Solegit,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,5,11,1,1
11,12,27,12,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,4,0,0,18,6,1
12,13,27,3,P1 Solegit,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,1,17,6,1
