,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
6,7,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,5,4,1
8,9,30,30,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,9,5,1
9,10,26,30,P2 Orasha,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,10,5,1
10,11,29,30,P1 Stonekeep,3,0,1,1,0,0,0,1,0,0,2,2,0,1,0,0,15,6,1
11,12,26,27,P2 Orasha,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,2,14,4,1
12,13,26,27,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,21,6,1
13,14,26,27,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,20,6,1
14,15,26,19,P1 Stonekeep,0,0,1,1,0,1,0,1,0,1,1,2,0,1,0,2,27,6,1
15,16,26,19,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,27,7,1
16,17,30,17,P1 Stonekeep,4,0,3,2,0,0,1,2,0,1,1,4,0,2,0,0,36,9,1
17,18,27,17,P2 Orasha,0,0,1,1,0,0,1,2,0,1,1,3,0,2,0,1,35,8,1
18,19,27,9,P1 Stonekeep,0,0,2,2,0,1,0,2,0,1,1,4,0,3,0,2,44,8,1
19,20,24,7,P2 Orasha,0,0,2,2,0,1,1,2,0,2,1,4,0,2,1,2,43,8,1
20,21,24,-1,P1 Stonekeep,0,0,1,2,0,0,0,1,0,1,2,3,0,4,0,2,52,8,1
21,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
22,2,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
23,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
24,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,2
25,5,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,2
26,6,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,2
27,7,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,6,4,2
28,8,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2
29,9,30,26,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,11,5,2
30,10,30,26,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,7,5,2
31,11,30,22,P1 Stonekeep,0,0,1,1,0,0,0,2,0,0,1,3,0,1,0,0,17,6,2
32,12,30,22,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,12,5,2
