,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,24,30,P2 Pizza,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,1
4,5,24,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,3,3,1
5,6,15,30,P2 Pizza,0,0,1,2,0,0,0,2,1,1,1,4,0,2,0,0,7,3,1
6,7,15,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,7,4,1
7,8,7,30,P2 Pizza,0,0,1,1,0,0,0,5,0,0,0,6,0,3,0,0,11,4,1
8,9,11,30,P1 Stonekeep,4,0,1,1,0,0,0,1,1,0,8,2,0,2,0,1,11,4,1
9,10,11,30,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,4,12,1,1
10,11,11,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,0,17,6,1
11,12,11,30,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,3,15,3,1
12,13,11,28,P1 Stonekeep,0,0,1,1,0,0,0,1,1,1,2,2,0,2,0,1,23,6,1
13,14,11,28,P2 Pizza,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,3,19,4,1
14,15,15,26,P1 Stonekeep,4,0,1,1,0,0,0,1,0,1,4,2,0,2,0,1,30,7,1
15,16,15,26,P2 Pizza,0,0,1,2,0,0,0,0,0,2,0,2,0,4,0,0,27,8,1
16,17,15,20,P1 Stonekeep,0,0,1,1,0,0,1,2,0,1,0,3,0,2,0,0,39,9,1
17,18,4,18,P2 Pizza,0,0,2,1,0,0,0,2,0,1,0,3,0,4,1,5,31,4,1
18,19,2,12,P1 Stonekeep,0,0,2,1,0,1,0,3,1,0,5,4,0,3,1,4,45,6,1
19,20,2,12,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,9,32,1,1
20,21,2,12,P1 Stonekeep,0,0,1,2,0,0,0,2,0,2,2,4,0,3,1,0,55,10,1
21,22,2,12,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,7,35,3,1
22,23,2,0,P1 Stonekeep,0,0,1,0,0,0,0,3,0,0,0,3,0,3,1,10,55,0,1
23,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
24,2,30,30,P2 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
25,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
26,4,28,30,P2 Pizza,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,4,2,2
27,5,28,30,P1 Stonekeep,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,2,1,1,2
28,6,22,30,P2 Pizza,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,2,5,1,2
29,7,22,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,4,2
30,8,18,30,P2 Pizza,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,1,8,3,2
31,9,18,30,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,10,5,2
32,10,13,30,P2 Pizza,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,13,5,2
33,11,13,30,P1 Stonekeep,0,0,1,1,0,0,0,2,2,1,6,3,0,1,0,0,16,6,2
34,12,13,30,P2 Pizza,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,2,17,4,2
35,13,13,30,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,23,7,2
36,14,12,30,P2 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,6,18,1,2
37,15,12,24,P1 Stonekeep,0,0,1,2,0,0,0,2,0,1,1,4,0,2,0,0,31,8,2
38,16,12,24,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,6,20,2,2
