,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Slage,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,1
4,5,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,1
5,6,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1
6,7,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,6,4,1
7,8,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,4,1
8,9,30,26,P1 Stonekeep,0,0,1,1,0,0,0,1,0,0,1,2,0,1,0,2,9,3,1
9,10,30,26,P2 Slage,0,0,6,2,0,0,0,0,0,1,0,2,0,2,0,1,10,4,1
10,11,30,22,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,14,5,1
11,12,30,22,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,0,16,6,1
12,13,30,14,P1 Stonekeep,0,0,1,1,0,0,0,2,2,1,5,3,0,1,0,0,21,7,1
13,14,30,14,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,23,7,1
14,15,30,10,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,3,26,5,1
15,16,30,10,P2 Slage,0,0,1,3,0,0,0,0,0,2,0,3,0,3,0,0,31,8,1
16,17,27,-1,P1 Stonekeep,0,0,1,1,0,0,0,2,1,0,5,3,0,2,0,5,30,4,1
17,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
18,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
19,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
20,4,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
21,5,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
22,6,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,6,3,2
23,7,27,27,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,4,4,2
24,8,25,27,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,9,3,2
25,9,25,27,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,9,5,2
26,10,23,27,P2 Slage,0,0,6,2,0,0,0,2,1,1,2,4,0,2,0,0,14,5,2
27,11,27,27,P1 Stonekeep,4,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,13,4,2
28,12,25,30,P2 Slage,3,0,4,2,0,0,0,2,1,1,2,4,0,3,0,0,20,6,2
29,13,25,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,3,1,0,1,0,0,20,7,2
30,14,25,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,3,24,4,2
31,15,26,26,P1 Stonekeep,3,0,2,1,0,0,0,1,0,0,1,2,0,2,1,0,28,8,2
32,16,26,26,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,2,30,6,2
33,17,26,26,P1 Stonekeep,0,0,1,2,0,0,0,1,0,1,2,3,0,3,1,2,35,7,2
34,18,26,24,P2 Slage,0,0,2,1,0,0,0,0,0,1,0,1,0,3,1,3,36,6,2
35,19,26,16,P1 Stonekeep,0,0,1,2,0,0,0,2,1,1,2,4,0,4,1,1,44,9,2
