,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
3,4,27,30,P2 Solegit,0,0,4,4,0,0,0,1,0,2,0,5,0,2,0,0,4,2,1
4,5,27,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1
5,6,24,30,P2 Solegit,0,0,1,0,0,0,0,3,0,0,0,3,0,2,0,3,4,0,1
6,7,24,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,1
7,8,19,30,P2 Solegit,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,2,6,2,1
8,9,19,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1
9,10,5,30,P2 Solegit,0,0,1,1,0,0,0,5,0,1,0,6,0,2,0,0,11,5,1
10,11,5,30,P1 Stonekeep,0,0,1,1,0,0,0,0,2,1,6,1,0,1,0,0,7,6,1
11,12,-1,30,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,6,11,0,1
12,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
13,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
14,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
15,4,28,30,P2 Solegit,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,2,2,0,2
16,5,28,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
17,6,26,30,P2 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,2,3,1,2
18,7,23,27,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,0,4,4,2
19,8,22,27,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,6,3,2
20,9,20,27,P1 Stonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,1,1,1,8,4,2
21,10,12,27,P2 Solegit,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,11,5,2
22,11,12,27,P1 Stonekeep,0,0,1,1,0,0,1,0,3,1,6,1,0,1,1,0,14,6,2
23,12,12,27,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,5,12,1,2
24,13,12,19,P1 Stonekeep,0,0,1,1,0,1,0,1,0,1,1,2,0,1,1,1,20,6,2
25,14,8,17,P2 Solegit,0,0,2,3,0,0,0,0,0,2,0,3,0,2,1,0,19,7,2
26,15,8,7,P1 Stonekeep,0,0,1,1,0,0,0,2,0,1,5,3,0,1,1,1,27,7,2
27,16,8,7,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,7,20,1,2
28,17,8,-1,P1 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,9,27,0,2
29,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
30,2,26,30,P2 Solegit,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,3
31,3,26,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
32,4,24,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,4,2,3
33,5,24,30,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,3,2,0,3
34,6,24,30,P2 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,1,6,2,3
35,7,24,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,3,3,1,3
36,8,20,28,P2 Solegit,0,0,2,1,0,0,0,2,0,1,0,3,0,2,1,0,10,4,3
37,9,20,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,8,5,3
38,10,14,28,P2 Solegit,0,0,1,0,0,0,0,3,0,0,0,3,0,2,1,5,10,0,3
39,11,14,24,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,3,2,0,1,0,0,14,6,3
40,12,14,24,P2 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,6,10,0,3
41,13,16,18,P1 Stonekeep,4,0,2,1,0,0,0,2,0,1,0,3,0,1,1,0,21,7,3
42,14,16,18,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,0,17,7,3
43,15,16,8,P1 Stonekeep,0,0,1,1,0,0,0,3,0,1,1,4,0,1,1,3,26,5,3
44,16,16,8,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,7,18,1,3
45,17,16,0,P1 Stonekeep,0,0,1,0,0,0,0,2,0,0,0,2,0,1,1,9,26,0,3
46,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
47,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,4
48,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
49,4,27,30,P2 Solegit,0,0,1,1,0,0,0,2,1,0,1,3,0,2,0,1,3,1,4
50,5,27,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
51,6,25,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,5,2,4
52,7,25,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,4
