,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
6,7,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
7,8,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,5,4,1
8,9,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,5,1
9,10,30,30,P2 Orasha,0,0,7,3,0,0,0,1,0,0,1,4,0,4,0,0,10,5,1
10,11,30,30,P1 Thijs,0,0,2,2,0,0,0,0,0,1,1,2,0,1,0,0,11,6,1
11,12,30,30,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,3,13,3,1
12,13,30,30,P1 Thijs,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,2,16,5,1
13,14,30,27,P2 Orasha,0,0,1,1,0,0,0,0,0,0,2,1,0,5,0,3,17,4,1
14,15,30,27,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,23,7,1
15,16,27,24,P2 Orasha,0,0,1,1,0,0,0,0,0,0,0,1,0,6,0,4,21,4,1
16,17,27,13,P1 Thijs,0,0,1,2,0,0,1,2,0,2,0,4,0,1,0,0,32,9,1
17,18,27,13,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,6,0,2,28,7,1
18,19,27,9,P1 Thijs,0,0,1,1,0,1,0,3,2,1,3,4,0,1,0,2,40,8,1
19,20,27,9,P2 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,6,0,1,37,9,1
20,21,27,5,P1 Thijs,0,0,1,2,0,0,0,2,1,2,2,4,0,1,0,0,50,10,1
21,22,27,8,P2 Orasha,3,0,1,2,0,0,0,1,0,2,0,3,0,6,0,0,47,10,1
22,23,27,0,P1 Thijs,0,0,1,0,0,0,0,3,0,0,1,3,0,1,0,10,50,0,1
23,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
24,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
25,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
26,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
27,5,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
28,6,30,30,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2
29,7,30,30,P1 Thijs,0,0,7,2,0,0,0,0,0,1,0,2,0,1,0,0,4,4,2
30,8,30,30,P2 Orasha,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,7,4,2
31,9,30,30,P1 Thijs,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,9,5,2
32,10,30,30,P2 Orasha,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,12,5,2
33,11,30,30,P1 Thijs,0,0,6,4,0,0,0,0,0,0,2,4,0,5,0,0,15,6,2
34,12,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,2
35,13,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,1,21,6,2
36,14,30,30,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,19,7,2
37,15,30,26,P1 Thijs,0,0,1,1,0,0,0,1,0,0,1,2,0,6,0,2,27,6,2
38,16,30,26,P2 Orasha,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,3,24,5,2
39,17,27,23,P1 Thijs,0,0,1,2,0,0,0,1,1,1,3,3,0,7,0,0,36,9,2
40,18,27,21,P2 Orasha,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,33,9,2
41,19,30,17,P1 Thijs,3,0,1,2,0,0,0,1,0,1,1,3,0,8,0,1,45,9,2
