,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,28,P2 Slage,0,0,1,1,0,0,0,0,1,1,3,1,0,1,0,0,4,2,1
4,5,30,28,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,3,1
5,6,28,28,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,4,0,1
6,7,28,25,P1 Viper,0,0,1,2,0,0,0,2,1,2,2,4,0,0,0,0,10,4,1
7,8,28,25,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,8,4,1
8,9,28,23,P1 Viper,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,1,14,4,1
9,10,25,20,P2 Slage,0,0,1,1,0,0,0,1,1,0,6,2,0,2,0,1,12,4,1
10,11,25,18,P1 Viper,0,0,1,2,0,0,0,1,1,0,1,3,0,3,0,1,19,5,1
11,12,25,18,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,0,18,6,1
12,13,22,10,P1 Viper,0,0,1,2,0,0,0,5,1,2,1,7,0,3,0,4,22,3,1
13,14,16,10,P2 Slage,0,0,4,2,0,0,0,2,1,0,6,4,0,4,0,1,24,6,1
14,15,16,10,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,8,22,0,1
15,16,14,10,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,4,0,1,31,7,1
16,17,14,10,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,9,22,0,1
17,18,5,8,P2 Slage,0,0,2,3,0,0,0,2,0,3,0,5,0,4,1,1,39,8,1
18,19,5,8,P1 Viper,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,4,28,6,1
19,20,-1,8,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,4,1,6,43,4,1
20,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
21,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
22,3,30,29,P1 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,2
23,4,30,29,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,4,2,2
24,5,30,26,P1 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,0,6,3,2
25,6,30,26,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,2
26,7,30,17,P1 Viper,0,0,1,1,0,0,0,6,0,1,0,7,0,0,0,0,10,4,2
27,8,27,14,P2 Slage,0,0,1,1,0,0,0,0,0,0,7,1,0,2,0,0,8,4,2
28,9,27,14,P1 Viper,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,2,13,3,2
29,10,27,14,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,3,10,2,2
30,11,27,10,P1 Viper,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,0,19,6,2
31,12,24,7,P2 Slage,0,0,1,2,0,0,0,0,3,1,8,2,0,3,0,0,16,6,2
32,13,24,7,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,5,21,2,2
33,14,24,11,P2 Slage,4,0,1,1,0,0,0,1,1,1,2,2,0,3,0,0,23,7,2
34,15,24,11,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,2
35,16,17,11,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,3,28,5,2
36,17,17,11,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,29,8,2
37,18,17,11,P2 Slage,0,0,1,2,0,0,0,2,2,2,3,4,0,3,0,1,36,8,2
38,19,17,11,P1 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,6,33,4,2
39,20,17,13,P2 Slage,2,0,1,1,0,0,0,2,0,1,2,3,0,3,0,1,45,9,2
40,21,17,11,P1 Viper,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,6,37,4,2
41,22,9,13,P2 Slage,2,0,1,1,0,0,0,3,0,1,2,4,0,3,0,4,51,1,2
42,23,9,9,P1 Viper,0,0,1,0,0,0,0,4,0,0,0,4,0,2,0,6,37,0,2
43,24,-7,9,P2 Slage,0,0,1,0,0,0,0,2,0,0,0,2,0,3,0,6,51,0,2
44,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
45,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
46,3,30,29,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
47,4,30,29,P2 Slage,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,4,2,3
48,5,30,27,P1 Viper,0,0,4,3,0,0,0,1,1,1,1,4,0,2,0,0,6,3,3
49,6,30,27,P2 Slage,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,3,4,0,3
50,7,30,24,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,10,4,3
51,8,27,24,P2 Slage,0,0,1,1,0,0,0,1,1,0,3,2,0,2,0,0,8,4,3
52,9,27,24,P1 Viper,0,0,1,3,0,0,0,1,1,3,2,4,0,2,0,0,15,5,3
53,10,27,24,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,12,4,3
54,11,25,22,P1 Viper,0,0,2,2,0,0,0,3,1,2,2,5,0,2,1,1,20,5,3
55,12,25,22,P2 Slage,0,0,6,3,0,0,0,0,0,2,0,3,0,3,0,0,18,6,3
56,13,23,20,P1 Viper,0,0,2,2,0,0,0,3,1,2,3,5,0,2,2,0,27,7,3
57,14,23,20,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,1,24,6,3
58,15,23,9,P1 Viper,0,0,1,1,0,0,0,6,0,1,1,7,0,2,2,5,30,3,3
59,16,15,4,P2 Slage,0,0,5,2,0,0,0,1,1,0,7,3,0,5,1,0,32,8,3
60,17,15,3,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,2,0,39,9,3
61,18,15,3,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,5,1,1,40,8,3
62,19,12,-5,P1 Viper,0,0,1,2,0,0,0,3,2,2,3,5,0,2,2,8,41,2,3
63,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
64,2,30,30,P2 Slage,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,4
65,3,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,4
66,4,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,3,2,4
67,5,30,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,5,2,4
68,6,30,28,P2 Slage,0,0,1,1,0,0,0,0,1,1,3,1,0,1,0,0,6,3,4
69,7,30,20,P1 Viper,0,0,1,2,0,0,0,3,1,1,1,5,0,1,0,1,8,3,4
70,8,24,20,P2 Slage,0,0,6,2,0,0,0,1,0,1,0,3,0,2,0,0,10,4,4
71,9,24,12,P1 Viper,0,0,4,4,0,0,0,3,1,3,2,7,0,2,0,1,12,4,4
72,10,21,9,P2 Slage,0,0,1,1,0,0,0,0,1,0,6,1,0,3,0,1,14,4,4
73,11,21,9,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,5,13,1,4
74,12,21,9,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,4,0,0,21,6,4
75,13,21,9,P1 Viper,0,0,1,1,0,0,0,1,1,0,1,2,0,3,0,3,17,4,4
76,14,14,9,P2 Slage,0,0,1,2,0,0,0,1,0,2,0,3,0,4,0,0,28,7,4
77,15,14,9,P1 Viper,0,0,1,2,0,0,0,4,3,0,4,6,0,5,0,6,19,2,4
78,16,7,9,P2 Slage,0,0,1,2,0,0,0,2,1,2,2,4,0,4,0,0,36,8,4
79,17,7,9,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,6,22,3,4
80,18,0,9,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,4,0,9,36,0,4
81,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
82,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
83,3,30,29,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,5
84,4,30,29,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,5
85,5,30,29,P1 Viper,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,3,2,5
86,6,30,30,P2 Slage,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,5,2,5
87,7,30,29,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,7,4,5
88,8,30,29,P2 Slage,0,0,1,1,0,0,0,0,1,1,3,1,0,1,0,0,9,4,5
89,9,30,29,P1 Viper,0,0,1,2,0,0,0,3,3,1,3,5,0,1,0,0,12,5,5
90,10,26,29,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,13,4,5
91,11,26,27,P1 Viper,0,0,1,1,0,0,0,5,3,1,4,6,0,1,0,3,15,3,5
92,12,26,27,P2 Slage,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,19,6,5
93,13,24,20,P1 Viper,0,0,2,2,0,0,0,4,0,2,0,6,0,1,1,1,21,6,5
94,14,20,20,P2 Slage,0,0,4,2,0,0,0,2,1,0,7,4,0,3,0,1,25,6,5
95,15,20,20,P1 Viper,0,0,4,3,0,0,0,0,0,2,0,3,0,2,1,5,24,3,5
96,16,20,27,P2 Slage,7,0,1,1,0,0,0,2,0,0,3,3,0,4,0,2,31,6,5
97,17,20,27,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,8,25,1,5
98,18,12,27,P2 Slage,0,0,1,2,0,0,0,2,0,2,0,4,0,4,0,-7,47,16,5
99,19,12,27,P1 Viper,0,0,1,0,0,0,0,1,1,0,1,1,0,2,1,10,25,0,5
100,20,0,27,P2 Slage,0,0,1,0,0,0,0,2,0,0,0,2,0,4,0,10,47,0,5
101,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
102,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
103,3,30,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,6
104,4,30,28,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
105,5,30,24,P1 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,2,4,1,6
106,6,27,21,P2 Slage,0,0,1,2,0,0,0,0,0,0,3,2,0,2,0,0,4,3,6
107,7,27,21,P1 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,8,4,6
108,8,27,21,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,8,4,6
109,9,27,21,P1 Viper,0,0,1,1,0,0,0,4,4,1,5,5,0,1,0,1,12,4,6
110,10,27,25,P2 Slage,4,0,7,2,0,0,0,0,0,1,0,2,0,3,0,1,12,4,6
111,11,27,23,P1 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,2,16,4,6
112,12,27,23,P2 Slage,0,0,1,2,0,0,0,1,1,1,6,3,0,4,0,0,18,6,6
113,13,25,19,P1 Viper,0,0,2,2,0,0,0,1,0,2,0,3,0,1,1,0,23,7,6
114,14,25,19,P2 Slage,0,0,1,1,0,0,0,0,1,1,6,1,0,4,0,3,22,4,6
115,15,25,19,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,5,26,3,6
116,16,21,22,P2 Slage,3,0,1,2,0,0,0,1,0,1,1,3,0,5,0,0,30,8,6
117,17,21,22,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,6,29,3,6
118,18,21,22,P2 Slage,0,0,1,2,0,0,0,2,0,2,1,4,0,5,0,3,36,6,6
119,19,21,22,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,8,31,2,6
120,20,21,20,P2 Slage,0,0,5,3,0,0,0,0,4,1,6,3,0,7,1,1,45,9,6
121,21,21,20,P1 Viper,0,0,1,1,0,0,0,2,2,1,2,3,0,1,1,1,40,9,6
122,22,17,21,P2 Slage,3,0,2,2,0,0,0,1,0,1,1,3,0,8,2,0,55,10,6
123,23,17,21,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,10,40,0,6
124,24,15,21,P2 Slage,0,0,1,2,0,0,0,1,0,2,0,3,0,8,2,-4,69,14,6
125,25,15,21,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,10,40,0,6
126,26,0,21,P2 Slage,0,0,1,1,0,0,0,2,0,1,0,3,0,8,2,4,75,6,6
127,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
128,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,7
129,3,30,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,7
130,4,30,28,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,4,2,7
131,5,30,28,P1 Viper,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,3,3,0,7
132,6,28,28,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,6,2,7
133,7,28,28,P1 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,7,4,7
134,8,28,28,P2 Slage,0,0,1,1,0,0,0,2,0,1,2,3,0,1,0,0,10,4,7
135,9,28,26,P1 Viper,0,0,4,4,0,0,0,2,2,3,2,6,0,2,0,0,12,5,7
136,10,24,30,P2 Slage,4,0,4,2,0,0,0,3,0,1,1,5,0,2,0,0,15,5,7
137,11,21,27,P1 Viper,0,0,1,3,0,0,0,2,2,2,5,5,0,3,0,1,17,5,7
138,12,12,27,P2 Slage,0,0,1,2,0,0,0,2,0,2,0,4,0,2,0,2,19,4,7
139,13,12,11,P1 Viper,0,0,1,2,0,0,0,5,0,2,0,7,0,3,0,0,24,7,7
140,14,12,11,P2 Slage,0,0,1,1,0,0,0,0,4,1,11,1,0,2,0,3,23,4,7
141,15,12,11,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,8,24,0,7
142,16,8,9,P2 Slage,0,0,2,1,0,0,0,1,0,1,0,2,0,2,1,2,29,6,7
143,17,8,9,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,9,24,0,7
144,18,0,9,P2 Slage,0,0,1,0,0,0,0,2,0,0,0,2,0,2,1,9,29,0,7
145,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,8
146,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,8
147,3,30,29,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,8
148,4,30,29,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,8
149,5,30,27,P1 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,5,3,8
150,6,30,27,P2 Slage,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,5,3,8
151,7,30,22,P1 Viper,0,0,1,2,0,0,0,4,0,2,0,6,0,0,0,0,9,4,8
152,8,28,22,P2 Slage,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,0,9,4,8
153,9,28,17,P1 Viper,0,0,1,1,0,0,0,5,1,1,3,6,0,0,0,3,11,2,8
154,10,28,23,P2 Slage,8,0,2,1,0,0,0,0,0,1,0,1,0,1,1,1,13,4,8
155,11,28,5,P1 Viper,0,0,1,1,0,0,0,6,0,1,0,7,0,0,0,4,13,2,8
156,12,28,5,P2 Slage,0,0,1,1,0,0,0,0,1,1,8,1,0,1,1,2,17,4,8
157,13,28,5,P1 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,3,17,4,8
158,14,21,2,P2 Slage,0,0,1,1,0,0,0,1,0,0,4,2,0,2,1,3,21,4,8
159,15,21,2,P1 Viper,0,0,4,4,0,0,0,0,0,3,0,4,0,2,0,2,23,6,8
160,16,17,2,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,2,1,1,28,7,8
161,17,9,0,P1 Viper,0,0,2,3,0,0,0,5,4,3,6,8,0,2,1,2,30,7,8
162,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
163,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
164,3,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,9
165,4,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,9
166,5,30,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,9
167,6,28,28,P2 Slage,0,0,1,2,0,0,0,1,1,0,5,3,0,2,0,0,6,3,9
168,7,28,28,P1 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,9,4,9
169,8,28,28,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,10,4,9
170,9,28,28,P1 Viper,0,0,1,1,0,0,0,3,4,0,4,4,0,2,0,4,10,1,9
171,10,23,28,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,14,4,9
172,11,23,28,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,10,0,9
173,12,16,28,P2 Slage,0,0,5,3,0,0,0,2,0,2,0,5,0,3,0,0,20,6,9
174,13,16,28,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,6,11,1,9
175,14,16,28,P2 Slage,0,0,1,1,0,0,0,0,4,1,5,1,0,3,0,3,24,4,9
176,15,16,28,P1 Viper,0,0,1,2,0,0,0,1,1,2,1,3,0,2,0,0,19,8,9
177,16,12,26,P2 Slage,0,0,2,2,0,0,0,1,0,2,0,3,0,3,1,1,31,7,9
178,17,10,22,P1 Viper,0,0,2,3,0,0,0,2,1,1,2,5,0,4,1,0,28,9,9
179,18,7,19,P2 Slage,0,0,1,2,0,0,0,1,1,1,7,3,0,4,1,3,37,6,9
180,19,7,19,P1 Viper,0,0,1,2,0,0,0,0,0,2,0,2,0,4,1,2,36,8,9
181,20,7,19,P2 Slage,0,0,1,1,0,0,0,0,1,0,4,1,0,5,1,6,41,4,9
182,21,7,11,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,4,1,9,37,1,9
183,22,7,9,P2 Slage,0,0,2,1,0,0,0,0,0,1,0,1,0,5,2,4,47,6,9
184,23,7,0,P1 Viper,0,0,1,0,0,0,0,2,0,0,0,2,0,4,1,10,37,0,9
