,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,29,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1
3,4,28,29,P2 Solegit,0,0,1,3,0,0,0,1,1,1,1,4,0,2,0,0,4,2,1
4,5,28,27,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,4,3,1
5,6,23,27,P2 Solegit,0,0,1,1,0,0,0,4,0,1,0,5,0,2,0,0,7,3,1
6,7,23,24,P1 Viper,0,0,1,2,0,0,0,2,0,2,1,4,0,0,0,0,8,4,1
7,8,18,24,P2 Solegit,0,0,1,2,0,0,0,4,0,2,0,6,0,2,0,1,10,3,1
8,9,18,10,P1 Viper,0,0,1,1,0,0,0,4,0,0,1,5,0,1,0,1,12,4,1
9,10,0,10,P2 Solegit,0,0,1,1,0,0,0,5,0,1,0,6,0,2,0,0,15,5,1
10,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
11,2,30,30,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
12,3,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
13,4,29,30,P2 Solegit,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,2
14,5,29,29,P1 Viper,0,0,1,2,0,0,0,1,0,2,1,3,0,0,0,0,5,3,2
15,6,24,27,P2 Solegit,0,0,2,1,0,0,0,1,0,0,0,2,0,2,1,0,7,3,2
16,7,24,21,P1 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,0,9,4,2
17,8,23,18,P2 Solegit,0,0,1,4,0,0,0,3,2,4,4,7,0,2,1,-3,14,7,2
18,9,23,11,P1 Viper,0,0,1,2,0,0,0,5,0,2,0,7,0,0,0,2,12,3,2
19,10,12,8,P2 Solegit,0,0,4,3,0,0,0,4,1,2,2,7,0,3,1,1,18,4,2
20,11,12,0,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,6,12,0,2
21,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
22,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
23,3,30,29,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,3
24,4,26,29,P2 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,3
25,5,26,28,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,3
26,6,20,28,P2 Solegit,0,0,1,2,0,0,0,3,0,2,0,5,0,1,0,1,6,2,3
27,7,20,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,4,3
28,8,13,28,P2 Solegit,0,0,1,1,0,0,0,5,0,1,1,6,0,1,0,1,9,3,3
29,9,13,28,P1 Viper,0,0,1,1,0,0,0,1,0,0,1,2,0,1,0,1,9,4,3
30,10,0,28,P2 Solegit,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,0,14,5,3
31,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
32,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,4
33,3,30,26,P1 Viper,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,4
34,4,24,26,P2 Solegit,0,0,4,2,0,0,0,2,0,1,0,4,0,2,0,0,4,2,4
35,5,24,24,P1 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,1,5,2,4
