,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,29,P1 Wabeka,0,0,4,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,1
3,4,30,29,P2 Stonekeep,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
4,5,30,24,P1 Wabeka,0,0,1,2,0,0,0,2,1,1,1,4,0,2,0,0,6,3,1
5,6,27,21,P2 Stonekeep,0,0,1,2,0,0,0,0,0,0,3,2,0,3,0,0,5,3,1
6,7,27,21,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,9,3,1
7,8,27,29,P2 Stonekeep,8,0,3,1,0,0,0,0,0,0,0,1,0,4,0,1,8,3,1
8,9,27,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,14,5,1
9,10,27,28,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,0,13,5,1
10,11,25,21,P1 Wabeka,0,0,2,2,0,0,0,2,0,2,0,4,0,2,1,2,18,4,1
11,12,25,21,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,4,0,2,17,4,1
12,13,25,14,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,1,5,20,2,1
13,14,21,14,P2 Stonekeep,0,0,1,1,0,0,1,2,0,1,1,3,0,4,0,0,24,7,1
14,15,21,9,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,1,3,25,5,1
15,16,5,9,P2 Stonekeep,0,0,1,1,0,1,0,3,0,1,0,4,0,4,0,3,29,5,1
16,17,5,0,P1 Wabeka,0,0,1,0,0,0,0,3,0,0,0,3,0,2,1,9,25,0,1
17,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
18,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
19,3,30,29,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,2
20,4,30,29,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
21,5,30,27,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,4,3,2
22,6,30,27,P2 Stonekeep,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,2,1,1,2
23,7,30,23,P1 Wabeka,0,0,1,1,0,0,0,3,0,0,0,4,0,2,0,0,8,4,2
24,8,30,23,P2 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,5,4,2
25,9,30,13,P1 Wabeka,0,0,1,1,0,0,0,7,1,1,1,8,0,2,0,0,13,5,2
26,10,30,13,P2 Stonekeep,0,0,1,1,0,1,0,1,1,0,7,2,0,2,0,1,9,4,2
27,11,30,12,P1 Wabeka,0,0,1,3,0,0,0,1,0,3,0,4,0,2,0,1,18,5,2
28,12,30,12,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,5,2,0,3,0,0,16,6,2
29,13,30,12,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,5,20,2,2
30,14,26,12,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,3,0,1,22,6,2
31,15,26,12,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,4,24,4,2
32,16,26,11,P2 Stonekeep,3,0,1,2,0,0,0,2,0,1,3,4,0,4,0,0,30,8,2
33,17,24,11,P1 Wabeka,0,0,5,2,0,0,0,0,0,1,0,2,0,3,1,2,31,7,2
34,18,24,7,P2 Stonekeep,0,0,1,1,0,0,0,0,3,1,6,1,0,4,0,4,35,5,2
35,19,24,7,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,9,32,1,2
36,20,24,7,P2 Stonekeep,0,0,1,2,0,0,0,1,0,2,1,3,0,4,0,0,45,10,2
37,21,24,7,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,5,37,5,2
38,22,4,7,P2 Stonekeep,0,0,2,3,0,0,0,5,0,1,1,8,0,6,0,1,54,9,2
39,23,4,7,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,8,39,2,2
40,24,0,11,P2 Stonekeep,4,0,1,0,0,0,0,1,0,0,0,1,0,6,0,10,54,0,2
41,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
42,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
43,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
44,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
45,5,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,3
46,6,30,28,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,3
47,7,30,22,P1 Wabeka,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,2,7,2,3
48,8,30,30,P2 Stonekeep,8,0,4,2,0,0,0,1,0,0,2,3,0,3,0,0,8,4,3
49,9,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,12,5,3
50,10,30,28,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,3,0,0,13,5,3
51,11,30,26,P1 Wabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,18,6,3
52,12,30,26,P2 Stonekeep,0,0,1,1,0,0,0,2,1,1,8,3,0,3,0,0,19,6,3
53,13,30,26,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,3,22,4,3
54,14,24,22,P2 Stonekeep,0,0,1,1,0,0,0,2,1,1,4,3,0,3,0,0,26,7,3
55,15,27,22,P1 Wabeka,3,0,1,2,0,0,0,1,0,2,0,3,0,1,0,2,28,6,3
56,16,25,25,P2 Stonekeep,3,0,1,2,0,0,0,2,1,1,3,4,0,4,0,0,34,8,3
57,17,25,25,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,5,32,4,3
58,18,22,22,P2 Stonekeep,0,0,1,2,0,0,0,0,2,1,10,2,0,5,0,1,42,8,3
59,19,22,22,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,5,37,5,3
60,20,18,22,P2 Stonekeep,0,0,1,2,0,0,0,1,1,1,4,3,0,6,0,0,52,10,3
61,21,18,22,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,37,0,3
62,22,18,22,P2 Stonekeep,0,0,1,1,0,0,0,0,1,1,1,1,0,6,0,5,57,5,3
63,23,18,22,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,6,41,4,3
64,24,10,22,P2 Stonekeep,0,0,1,2,0,0,0,3,1,1,3,5,0,7,0,1,66,9,3
65,25,10,22,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,6,45,4,3
66,26,2,25,P2 Stonekeep,3,0,1,2,0,0,0,5,0,1,4,7,0,8,0,0,76,10,3
67,27,2,25,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,5,50,5,3
68,28,-2,25,P2 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,8,0,10,76,0,3
69,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
70,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
71,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
72,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
73,5,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,4
74,6,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
75,7,30,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,9,4,4
76,8,30,29,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,4
77,9,30,25,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,14,5,4
78,10,30,21,P2 Stonekeep,0,0,1,2,0,0,0,1,0,1,6,3,0,1,0,0,10,5,4
