,CurrentPlayer,PlayerStrategy,AvgHealedPerTurn,AvgHeroAttacksPerTurn,AvgCardsDrawnPerTurn,AvgCardsPlayedPerTurn,AvgNumCardsToDraw,AvgFriendlyMinionAttacksPerTurn,AvgFriendlyMinionDeathsPerTurn,AvgMinionsPlayedPerTurn,AvgNumMinionsKilledPerTurn,AvgOptionsPlayedPerTurn,NumSpellsPlayedPerGame,NumHeroPowersUsedPerGame,TotalManaSpentPerGame,AvgRemainingManaPerTurn,AvgManaUsedPerTurn
0,1.0,0.0,0.0,0.0,1.17,1.33,0.0,0.67,0.83,1.17,1.33,2.0,1.0,1.0,14.0,1.17,2.33
1,2.0,0.0,0.0,0.0,1.0,1.33,0.0,2.0,0.0,0.83,0.17,3.33,3.0,0.0,12.0,1.67,1.83
2,1.0,0.0,0.0,0.0,1.0,1.4,0.0,1.2,0.0,0.6,0.2,2.6,4.0,0.0,11.0,0.8,2.2
3,2.0,0.0,0.0,0.0,1.0,1.6,0.0,2.8,0.0,1.2,0.0,4.4,2.0,0.0,10.0,1.2,1.8
4,1.0,0.0,0.0,0.0,1.0,1.17,0.0,1.67,0.0,0.83,0.0,2.83,2.0,0.0,9.0,2.0,1.5
5,2.0,0.0,0.0,0.0,1.0,1.2,0.0,2.8,0.0,1.0,0.0,4.0,1.0,0.0,9.0,1.4,1.6
6,1.0,0.0,0.0,0.0,1.0,1.25,0.0,1.5,0.5,0.75,0.5,2.75,2.0,0.0,8.0,0.5,2.0
7,2.0,0.0,0.0,0.0,1.25,1.75,0.0,1.75,0.0,0.75,0.0,3.5,4.0,1.0,10.0,0.25,2.25
8,1.0,0.0,0.0,0.0,1.0,1.2,0.0,2.0,0.2,1.0,0.2,3.2,1.0,0.0,8.0,1.4,1.6
9,2.0,0.0,0.0,0.0,1.25,2.0,0.0,2.5,0.0,1.5,0.0,4.5,2.0,1.0,11.0,0.0,2.5
10,1.0,0.0,0.0,0.0,1.2,1.6,0.0,1.8,0.8,1.2,1.0,3.4,2.0,1.0,10.0,1.0,2.0
11,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.6,0.4,1.0,0.4,3.6,5.0,0.0,11.0,1.0,2.0
12,1.0,0.0,0.0,0.0,1.0,1.33,0.0,2.5,0.0,1.17,0.17,3.83,1.0,0.0,11.0,1.67,1.83
13,2.0,0.0,0.0,0.0,1.0,1.6,0.0,0.8,0.6,1.2,1.2,2.4,2.0,0.0,11.0,1.0,2.0
14,1.0,0.0,0.0,0.0,1.0,1.4,0.0,1.2,0.8,1.2,1.2,2.6,1.0,0.0,9.0,1.2,1.8
15,2.0,0.0,0.0,0.0,1.0,1.6,0.0,2.0,0.2,1.0,0.2,3.6,3.0,0.0,10.0,1.2,1.8
16,1.0,0.0,0.0,0.0,1.0,1.4,0.0,2.6,0.0,1.2,0.0,4.0,1.0,0.0,10.0,1.0,2.0
17,2.0,0.0,0.0,0.0,1.0,1.2,0.0,3.2,0.0,0.8,0.0,4.4,2.0,0.0,11.0,1.0,2.0
18,1.0,0.0,0.0,0.0,1.0,1.17,0.0,2.83,0.17,1.0,0.33,4.0,1.0,0.0,12.0,1.5,2.0
19,2.0,0.0,0.0,0.0,1.0,1.33,0.0,2.33,0.17,1.0,0.67,3.67,2.0,0.0,10.0,2.0,1.5
20,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.6,0.0,0.8,0.0,2.6,1.0,0.0,7.0,1.6,1.4
21,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.75,0.5,1.0,0.75,2.75,4.0,0.0,8.0,0.75,1.75
22,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.8,0.2,0.8,0.2,2.8,1.0,0.0,9.0,1.2,1.8
23,2.0,0.0,0.0,0.0,1.0,1.75,0.0,2.5,0.0,1.25,0.0,4.25,2.0,0.0,10.0,0.25,2.25
24,1.0,0.0,0.0,0.0,1.0,1.2,0.0,2.4,0.2,0.8,0.2,3.6,2.0,0.0,10.0,1.0,2.0
25,2.0,0.0,0.0,0.0,1.2,1.4,0.0,2.0,0.0,0.8,0.0,3.4,3.0,1.0,11.0,1.0,2.0
26,1.0,0.0,0.0,0.0,1.17,1.0,0.0,1.5,0.0,0.83,0.0,2.5,1.0,1.0,9.0,2.0,1.5
27,2.0,0.0,0.0,0.0,1.0,1.6,0.0,1.0,0.4,0.8,0.6,2.6,4.0,0.0,11.0,1.0,2.0
28,1.0,0.0,0.0,0.0,1.0,1.2,0.0,1.4,0.2,0.4,0.2,2.6,4.0,0.0,11.0,0.8,2.2
29,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.25,0.25,1.25,0.25,3.25,3.0,0.0,11.0,0.0,2.5
30,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.67,0.0,4.0,2.0,0.0,10.0,1.83,1.67
31,2.0,0.0,0.0,0.0,1.0,1.6,0.0,2.6,0.2,1.2,0.2,4.2,2.0,0.0,12.0,0.8,2.2
32,1.0,0.0,0.0,0.0,1.17,1.0,0.0,1.83,0.0,0.67,0.17,2.83,2.0,1.0,12.0,1.5,2.0
33,2.0,0.0,0.0,0.0,1.0,1.5,0.0,2.83,0.0,1.17,0.0,4.33,2.0,0.0,8.0,2.33,1.17
34,1.0,0.0,0.0,0.0,1.0,1.2,0.0,2.6,0.0,1.0,0.0,3.8,1.0,0.0,10.0,1.0,2.0
